Sample	Top over-represented sequence	Sum of remaining over-represented sequences
NS.2150.TSP0001---TSP200X.BS_006_R1	1.0948646180675548	70.6924606761888
NS.2150.TSP0001---TSP200X.BS_006_R2	1.2636486180309372	68.48499481632874
NS.2150.TSP0002---TSP200X.BS_008_R1	1.3430586503868727	69.09405674617724
NS.2150.TSP0002---TSP200X.BS_008_R2	1.581724460991724	68.69506209087814
NS.2150.TSP0003---TSP200X.BS_014_R1	1.2298966441442511	72.20867073369817
NS.2150.TSP0003---TSP200X.BS_014_R2	1.3220626158018283	70.32045704178128
NS.2150.TSP0004---TSP200X.BS_026_R1	1.7033652459942452	68.70892004966382
NS.2150.TSP0004---TSP200X.BS_026_R2	1.801780597023708	68.83116692067341
NS.2150.TSP0005---TSP200X.BS_027_R1	1.593456030714389	70.38885769833306
NS.2150.TSP0005---TSP200X.BS_027_R2	1.7209423198091627	69.16486674005301
NS.2150.TSP0006---TSP200X.BS_028_R1	1.6784018133258953	69.95578421892313
NS.2150.TSP0006---TSP200X.BS_028_R2	1.5216344800760147	68.65098601275814
NS.2150.TSP0007---TSP200X.BS_029_R1	3.2094978413996818	61.9461486025904
NS.2150.TSP0007---TSP200X.BS_029_R2	3.5957736877982276	63.411724608043784
NS.2150.TSP0008---TSP200X.BS_031_R1	1.14304017571154	70.5426924132882
NS.2150.TSP0008---TSP200X.BS_031_R2	1.3050242518532076	69.88651963027358
NS.2150.TSP0009---TSP200X.BS_033_R1	1.5399073687891465	71.76551153883277
NS.2150.TSP0009---TSP200X.BS_033_R2	1.6632699460956535	71.15604455380327
NS.2150.TSP0010---TSP200X.BS_034_R1	1.2813211542568508	73.99957712523789
NS.2150.TSP0010---TSP200X.BS_034_R2	1.4618929276852282	71.98741575707861
NS.2150.TSP0011---TSP200X.BS_036_R1	1.8862722673777446	71.11221649755231
NS.2150.TSP0011---TSP200X.BS_036_R2	2.207190911583996	71.35232199226293
NS.2150.TSP0012---TSP200X.BS_038_R1	1.5806756443017798	70.48709222303235
NS.2150.TSP0012---TSP200X.BS_038_R2	1.698700253985854	71.60110477246485
NS.2150.TSP0013---TSP200X.BS_040_R1	1.360359630649603	70.12489875263246
NS.2150.TSP0013---TSP200X.BS_040_R2	1.4439494573141098	69.20889356876727
NS.2150.TSP0014---TSP200X.BS_042_R1	0.9596663313986213	69.31674525472677
NS.2150.TSP0014---TSP200X.BS_042_R2	1.169131963348128	70.59360899133524
NS.2150.TSP0015---TSP200X.BS_043_R1	1.9373207933981114	68.51903900385928
NS.2150.TSP0015---TSP200X.BS_043_R2	1.9188982366306562	68.72570230093012
NS.2150.TSP0016---TSP200X.BS_044_R1	1.4003848988337595	70.91836511029912
NS.2150.TSP0016---TSP200X.BS_044_R2	1.3965368846769641	71.33205098667463
NS.2150.TSP0017---TSP200X.BS_049_R1	1.6627473878443815	75.01340005610912
NS.2150.TSP0017---TSP200X.BS_049_R2	1.5199655133875114	75.5302430713156
NS.2150.TSP0018---TSP200X.BS_050_R1	1.1576327767367753	69.50085699235646
NS.2150.TSP0018---TSP200X.BS_050_R2	1.2805960948546211	70.43466065222748
NS.2150.TSP0019---TSP200X.BS_051_R1	3.4720494537235767	70.26324999683746
