Sample	Unique Reads	Duplicate Reads
NS.2150.TSP0001---TSP200X.BS_006_R1	57458.0	816440.0
NS.2150.TSP0001---TSP200X.BS_006_R2	69953.0	803945.0
NS.2150.TSP0002---TSP200X.BS_008_R1	62367.0	758446.0
NS.2150.TSP0002---TSP200X.BS_008_R2	68054.0	752759.0
NS.2150.TSP0003---TSP200X.BS_014_R1	119461.0	2404247.0
NS.2150.TSP0003---TSP200X.BS_014_R2	151495.0	2372213.0
NS.2150.TSP0004---TSP200X.BS_026_R1	48355.0	631417.0
NS.2150.TSP0004---TSP200X.BS_026_R2	51680.0	628092.0
NS.2150.TSP0005---TSP200X.BS_027_R1	55548.0	760226.0
NS.2150.TSP0005---TSP200X.BS_027_R2	62906.0	752868.0
NS.2150.TSP0006---TSP200X.BS_028_R1	80460.0	1109839.0
NS.2150.TSP0006---TSP200X.BS_028_R2	100062.0	1090237.0
NS.2150.TSP0007---TSP200X.BS_029_R1	2764.0	14840.0
NS.2150.TSP0007---TSP200X.BS_029_R2	2685.0	14919.0
NS.2150.TSP0008---TSP200X.BS_031_R1	11324.0	97946.0
NS.2150.TSP0008---TSP200X.BS_031_R2	12638.0	96632.0
NS.2150.TSP0009---TSP200X.BS_033_R1	94048.0	1553129.0
NS.2150.TSP0009---TSP200X.BS_033_R2	100123.0	1547054.0
NS.2150.TSP0010---TSP200X.BS_034_R1	100056.0	1782298.0
NS.2150.TSP0010---TSP200X.BS_034_R2	129927.0	1752427.0
NS.2150.TSP0011---TSP200X.BS_036_R1	48833.0	636699.0
NS.2150.TSP0011---TSP200X.BS_036_R2	49595.0	635937.0
NS.2150.TSP0012---TSP200X.BS_038_R1	85804.0	1202063.0
NS.2150.TSP0012---TSP200X.BS_038_R2	86026.0	1201841.0
NS.2150.TSP0013---TSP200X.BS_040_R1	78963.0	1155637.0
NS.2150.TSP0013---TSP200X.BS_040_R2	88675.0	1145925.0
NS.2150.TSP0014---TSP200X.BS_042_R1	38483.0	395001.0
NS.2150.TSP0014---TSP200X.BS_042_R2	38974.0	394510.0
NS.2150.TSP0015---TSP200X.BS_043_R1	59510.0	787278.0
NS.2150.TSP0015---TSP200X.BS_043_R2	61315.0	785473.0
NS.2150.TSP0016---TSP200X.BS_044_R1	122063.0	1930944.0
NS.2150.TSP0016---TSP200X.BS_044_R2	142701.0	1910306.0
NS.2150.TSP0017---TSP200X.BS_049_R1	32831.0	405600.0
NS.2150.TSP0017---TSP200X.BS_049_R2	33338.0	405093.0
NS.2150.TSP0018---TSP200X.BS_050_R1	81340.0	1145042.0
NS.2150.TSP0018---TSP200X.BS_050_R2	82920.0	1143462.0
NS.2150.TSP0019---TSP200X.BS_051_R1	17234.0	219917.0
NS.2150.TSP0019---TSP200X.BS_051_R2	17389.0	219762.0
NS.2150.TSP0020---TSP200X.BS_052_R1	84753.0	1326043.0
