Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
NS.2150.TSP0001---TSP200X.BS_006_R1	NS.2150.TSP0001---TSP200X.BS_006_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	873898.0	0.0	251.0	46.0	6.574909199929511	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0001---TSP200X.BS_006_R2	NS.2150.TSP0001---TSP200X.BS_006_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	873898.0	0.0	251.0	46.0	8.004709931822706	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0002---TSP200X.BS_008_R1	NS.2150.TSP0002---TSP200X.BS_008_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	820813.0	0.0	251.0	48.0	7.598076541185386	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0002---TSP200X.BS_008_R2	NS.2150.TSP0002---TSP200X.BS_008_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	820813.0	0.0	251.0	48.0	8.291048021900238	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0003---TSP200X.BS_014_R1	NS.2150.TSP0003---TSP200X.BS_014_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2523708.0	0.0	251.0	47.0	4.733536619243077	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0003---TSP200X.BS_014_R2	NS.2150.TSP0003---TSP200X.BS_014_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2523708.0	0.0	251.0	47.0	6.002872869420319	251.0	251	pass	pass	pass	pass	pass	fail	pass	pass	fail	fail	fail
NS.2150.TSP0004---TSP200X.BS_026_R1	NS.2150.TSP0004---TSP200X.BS_026_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	679772.0	0.0	251.0	46.0	7.113267389654178	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0004---TSP200X.BS_026_R2	NS.2150.TSP0004---TSP200X.BS_026_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	679772.0	0.0	251.0	46.0	7.602549089988997	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0005---TSP200X.BS_027_R1	NS.2150.TSP0005---TSP200X.BS_027_R1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	815774.0	0.0	251.0	46.0	6.809116250334038	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
NS.2150.TSP0005---TSP200X.BS_027_R2	NS.2150.TSP0005---TSP200X.BS_027_R2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	815774.0	0.0	251.0	46.0	7.711204328649847	251.0	251	pass	pass	pass	pass	warn	fail	pass	pass	fail	fail	fail
