Module	Section	Sample Name	Source
FastQC	all_sections	NS.2150.TSP0003---TSP200X.BS_014_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0003---TSP200X.BS_014_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0056---TSP200X.BS_106_R2	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0056---TSP200X.BS_106_R2_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0099---TSP200X.BS_149_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0099---TSP200X.BS_149_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0105---TSP200X.BS_155_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0105---TSP200X.BS_155_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0048---TSP200X.BS_098_R2	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0048---TSP200X.BS_098_R2_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0153---TSP200X.BS_245_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0153---TSP200X.BS_245_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0063---TSP200X.BS_113_R2	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0063---TSP200X.BS_113_R2_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0036---TSP200X.BS_081_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0036---TSP200X.BS_081_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0012---TSP200X.BS_038_R2	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0012---TSP200X.BS_038_R2_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0078---TSP200X.BS_128_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0078---TSP200X.BS_128_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0026---TSP200X.BS_059_R2	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0026---TSP200X.BS_059_R2_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0046---TSP200X.BS_096_R2	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0046---TSP200X.BS_096_R2_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0007---TSP200X.BS_029_R2	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0007---TSP200X.BS_029_R2_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0121---TSP200X.BS_171_R2	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0121---TSP200X.BS_171_R2_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0106---TSP200X.BS_156_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0106---TSP200X.BS_156_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0011---TSP200X.BS_036_R2	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0011---TSP200X.BS_036_R2_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0096---TSP200X.BS_146_R2	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0096---TSP200X.BS_146_R2_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0173---TSP200X.BS_271_R2	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0173---TSP200X.BS_271_R2_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0009---TSP200X.BS_033_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0009---TSP200X.BS_033_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0131---TSP200X.BS_181_R2	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0131---TSP200X.BS_181_R2_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0081---TSP200X.BS_131_R2	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0081---TSP200X.BS_131_R2_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0130---TSP200X.BS_180_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0130---TSP200X.BS_180_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0048---TSP200X.BS_098_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0048---TSP200X.BS_098_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0095---TSP200X.BS_145_R2	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0095---TSP200X.BS_145_R2_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0035---TSP200X.BS_079_R2	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0035---TSP200X.BS_079_R2_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0086---TSP200X.BS_136_R2	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0086---TSP200X.BS_136_R2_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0007---TSP200X.BS_029_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0007---TSP200X.BS_029_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0157---TSP200X.BS_255_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0157---TSP200X.BS_255_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0073---TSP200X.BS_123_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0073---TSP200X.BS_123_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0149---TSP200X.BS_199_R2	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0149---TSP200X.BS_199_R2_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0113---TSP200X.BS_163_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0113---TSP200X.BS_163_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0098---TSP200X.BS_148_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0098---TSP200X.BS_148_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0070---TSP200X.BS_120_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0070---TSP200X.BS_120_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0091---TSP200X.BS_141_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0091---TSP200X.BS_141_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0163---TSP200X.BS_261_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0163---TSP200X.BS_261_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0059---TSP200X.BS_109_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0059---TSP200X.BS_109_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0057---TSP200X.BS_107_R2	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0057---TSP200X.BS_107_R2_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0121---TSP200X.BS_171_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0121---TSP200X.BS_171_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0031---TSP200X.BS_072_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0031---TSP200X.BS_072_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0079---TSP200X.BS_129_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0079---TSP200X.BS_129_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0062---TSP200X.BS_112_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0062---TSP200X.BS_112_R1_trimmed_fastqc.zip
FastQC	all_sections	NS.2150.TSP0013---TSP200X.BS_040_R1	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/Fastqc/Fastqc_BS384/FastQC_Results_trim_galored_BS384/NS.2150.TSP0013---TSP200X.BS_040_R1_trimmed_fastqc.zip
