Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
NS.2150.TSP0001---TSP200X.BS_006_R1	NS.2150.TSP0001---TSP200X.BS_006_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	868050.0	0.0	20-251	46.0	6.42209550141121	234.31328034099417	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0001---TSP200X.BS_006_R2	NS.2150.TSP0001---TSP200X.BS_006_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	860657.0	0.0	20-251	46.0	7.109336239640182	235.20841403718322	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0002---TSP200X.BS_008_R1	NS.2150.TSP0002---TSP200X.BS_008_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	814725.0	0.0	20-251	48.0	7.439320015956303	235.48124950136548	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0002---TSP200X.BS_008_R2	NS.2150.TSP0002---TSP200X.BS_008_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	808887.0	0.0	20-251	48.0	7.41908325884827	236.68360351940382	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0003---TSP200X.BS_014_R1	NS.2150.TSP0003---TSP200X.BS_014_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2507493.0	0.0	20-251	47.0	4.6005643356985075	235.63068850042652	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0003---TSP200X.BS_014_R2	NS.2150.TSP0003---TSP200X.BS_014_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2488062.0	0.0	20-251	47.0	5.0461663456226535	236.54383210707772	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0004---TSP200X.BS_026_R1	NS.2150.TSP0004---TSP200X.BS_026_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	675140.0	0.0	20-251	46.0	6.970850490268685	233.15160707408833	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0004---TSP200X.BS_026_R2	NS.2150.TSP0004---TSP200X.BS_026_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	670652.0	0.0	20-251	46.0	6.788021209211334	234.727241550014	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0005---TSP200X.BS_027_R1	NS.2150.TSP0005---TSP200X.BS_027_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	810380.0	0.0	20-251	46.0	6.684518374096103	234.7320429921765	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0005---TSP200X.BS_027_R2	NS.2150.TSP0005---TSP200X.BS_027_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	803978.0	0.0	20-251	46.0	6.852550691685594	235.8626604210563	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0006---TSP200X.BS_028_R1	NS.2150.TSP0006---TSP200X.BS_028_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1181657.0	0.0	20-251	47.0	6.5959918995106035	235.21922605290706	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0006---TSP200X.BS_028_R2	NS.2150.TSP0006---TSP200X.BS_028_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1169720.0	0.0	20-251	48.0	7.432633450740347	235.8945593817324	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0007---TSP200X.BS_029_R1	NS.2150.TSP0007---TSP200X.BS_029_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17437.0	0.0	20-251	47.0	15.461375236565921	236.7147445088031	247	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0007---TSP200X.BS_029_R2	NS.2150.TSP0007---TSP200X.BS_029_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17371.0	0.0	20-251	47.0	14.570260779460021	237.3630763916873	242	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0008---TSP200X.BS_031_R1	NS.2150.TSP0008---TSP200X.BS_031_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	108531.0	0.0	20-251	47.0	10.198929338161447	235.74475495480553	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0008---TSP200X.BS_031_R2	NS.2150.TSP0008---TSP200X.BS_031_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	107721.0	0.0	20-251	47.0	10.737924824314666	236.52324987699706	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0009---TSP200X.BS_033_R1	NS.2150.TSP0009---TSP200X.BS_033_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1636082.0	0.0	20-251	47.0	5.565246729687143	235.34950081964107	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0009---TSP200X.BS_033_R2	NS.2150.TSP0009---TSP200X.BS_033_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1626219.0	0.0	20-251	47.0	5.406959333275531	236.60103774460882	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0010---TSP200X.BS_034_R1	NS.2150.TSP0010---TSP200X.BS_034_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1869380.0	0.0	20-251	48.0	5.183643774941425	235.90572863730222	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0010---TSP200X.BS_034_R2	NS.2150.TSP0010---TSP200X.BS_034_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1852715.0	0.0	20-251	48.0	5.890834154412597	236.70768628742144	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0011---TSP200X.BS_036_R1	NS.2150.TSP0011---TSP200X.BS_036_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	680522.0	0.0	20-251	46.0	6.984785209001325	233.4385148459565	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0011---TSP200X.BS_036_R2	NS.2150.TSP0011---TSP200X.BS_036_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	677365.0	0.0	20-251	46.0	6.490444590434994	235.3230887335484	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0012---TSP200X.BS_038_R1	NS.2150.TSP0012---TSP200X.BS_038_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1278541.0	0.0	20-251	47.0	6.499283167297724	235.32915409048283	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0012---TSP200X.BS_038_R2	NS.2150.TSP0012---TSP200X.BS_038_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1271890.0	0.0	20-251	48.0	5.9050704070320545	236.8417418172955	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0013---TSP200X.BS_040_R1	NS.2150.TSP0013---TSP200X.BS_040_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1226324.0	0.0	20-251	47.0	6.273790613247396	236.0315039092442	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0013---TSP200X.BS_040_R2	NS.2150.TSP0013---TSP200X.BS_040_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1217624.0	0.0	20-251	47.0	6.343583897820674	237.06779022095492	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0014---TSP200X.BS_042_R1	NS.2150.TSP0014---TSP200X.BS_042_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	429967.0	0.0	20-251	48.0	8.666944207346146	233.13685003732846	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
NS.2150.TSP0014---TSP200X.BS_042_R2	NS.2150.TSP0014---TSP200X.BS_042_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	427514.0	0.0	20-251	48.0	8.149206809601557	234.6302156186698	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0015---TSP200X.BS_043_R1	NS.2150.TSP0015---TSP200X.BS_043_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	840955.0	0.0	20-251	47.0	6.875754350708421	235.2297078916232	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0015---TSP200X.BS_043_R2	NS.2150.TSP0015---TSP200X.BS_043_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	836016.0	0.0	20-251	47.0	6.464589194465177	236.15037750473675	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0016---TSP200X.BS_044_R1	NS.2150.TSP0016---TSP200X.BS_044_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2037653.0	0.0	20-251	48.0	5.821979269402434	235.22341537052677	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0016---TSP200X.BS_044_R2	NS.2150.TSP0016---TSP200X.BS_044_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2022549.0	0.0	20-251	48.0	5.942081969611463	236.53456751851252	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0017---TSP200X.BS_049_R1	NS.2150.TSP0017---TSP200X.BS_049_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	435052.0	0.0	20-251	45.0	7.337743534106268	235.0937359212232	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0017---TSP200X.BS_049_R2	NS.2150.TSP0017---TSP200X.BS_049_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	432666.0	0.0	20-251	46.0	6.774971918292633	235.74420222527309	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0018---TSP200X.BS_050_R1	NS.2150.TSP0018---TSP200X.BS_050_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1217727.0	0.0	20-251	47.0	6.497761813608468	234.95661424933502	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0018---TSP200X.BS_050_R2	NS.2150.TSP0018---TSP200X.BS_050_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1211225.0	0.0	20-251	47.0	5.999793597391071	236.5289157670953	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0019---TSP200X.BS_051_R1	NS.2150.TSP0019---TSP200X.BS_051_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	235625.0	0.0	20-251	49.0	7.156710875331565	237.86104190981433	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0019---TSP200X.BS_051_R2	NS.2150.TSP0019---TSP200X.BS_051_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	234336.0	0.0	20-251	49.0	6.698074559606719	237.66174211388775	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0020---TSP200X.BS_052_R1	NS.2150.TSP0020---TSP200X.BS_052_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1401514.0	0.0	20-251	48.0	5.905185392368539	235.10827148355278	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0020---TSP200X.BS_052_R2	NS.2150.TSP0020---TSP200X.BS_052_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1394483.0	0.0	20-251	48.0	5.476438221190219	236.28258358115517	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0021---TSP200X.BS_053_R1	NS.2150.TSP0021---TSP200X.BS_053_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3305109.0	0.0	20-251	47.0	4.44457707389601	235.46693679391512	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0021---TSP200X.BS_053_R2	NS.2150.TSP0021---TSP200X.BS_053_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3286607.0	0.0	20-251	47.0	4.432559564066936	236.59475623340424	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0022---TSP200X.BS_054_R1	NS.2150.TSP0022---TSP200X.BS_054_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2283399.0	0.0	20-251	48.0	5.261089275141251	235.81679286011774	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0022---TSP200X.BS_054_R2	NS.2150.TSP0022---TSP200X.BS_054_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2269084.0	0.0	20-251	48.0	5.193638679912916	237.077668786171	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0023---TSP200X.BS_055_R1	NS.2150.TSP0023---TSP200X.BS_055_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2479200.0	0.0	20-251	47.0	4.931323664206467	235.53132341077767	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0023---TSP200X.BS_055_R2	NS.2150.TSP0023---TSP200X.BS_055_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2463227.0	0.0	20-251	48.0	4.87219237187942	236.63347024046098	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0024---TSP200X.BS_056_R1	NS.2150.TSP0024---TSP200X.BS_056_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1923521.0	0.0	20-251	48.0	5.204550530867395	235.7327739078492	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0024---TSP200X.BS_056_R2	NS.2150.TSP0024---TSP200X.BS_056_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1908743.0	0.0	20-251	48.0	5.595642054155741	236.82126037921293	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0025---TSP200X.BS_058_R1	NS.2150.TSP0025---TSP200X.BS_058_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2778576.0	0.0	20-251	48.0	4.650320364059705	235.2445583637086	242	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0025---TSP200X.BS_058_R2	NS.2150.TSP0025---TSP200X.BS_058_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2762378.0	0.0	20-251	48.0	4.580065409799096	236.42889713138462	242	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0026---TSP200X.BS_059_R1	NS.2150.TSP0026---TSP200X.BS_059_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2095293.0	0.0	20-251	48.0	5.478742123277389	235.85282297034354	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0026---TSP200X.BS_059_R2	NS.2150.TSP0026---TSP200X.BS_059_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	2083459.0	0.0	20-251	48.0	5.150867542773612	237.28072546663986	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0027---TSP200X.BS_063_R1	NS.2150.TSP0027---TSP200X.BS_063_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1908773.0	0.0	20-251	47.0	4.959416337091943	236.59080152537783	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0027---TSP200X.BS_063_R2	NS.2150.TSP0027---TSP200X.BS_063_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	1896716.0	0.0	20-251	47.0	4.903633438005479	237.17745461102243	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
NS.2150.TSP0028---TSP200X.BS_066_R1	NS.2150.TSP0028---TSP200X.BS_066_R1_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3489878.0	0.0	20-251	47.0	4.018479430193454	236.74069007569892	247	pass	pass	pass	pass	warn	fail	pass	warn	fail	fail	pass
NS.2150.TSP0028---TSP200X.BS_066_R2	NS.2150.TSP0028---TSP200X.BS_066_R2_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	3440985.0	0.0	20-251	47.0	5.98818214751626	236.80424733034292	247	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
