#Position (bp)	Coverage
4011823.0	1.4923339704087109
1.2035468E7	1.0366526684567925
2.0059113E7	0.33949395816988415
2.8082758E7	1.3098784903868503E-4
3.6106403E7	1.2562868870694054E-4
4.4130048E7	1.2101731818892785E-4
5.2153693E7	3.938359685654089E-5
6.0177338E7	9.28505685383638E-5
6.8200983E7	4.1626966297736255E-5
7.6224628E7	1.8445482072050793E-5
8.4248273E7	0.2965950013989901
9.2271918E7	7.1040032304519956E-6
1.00295563E8	1.6326744266477393E-5
1.08319208E8	2.4926327124392968E-5
1.16342853E8	1.1466110477220764E-5
1.24366498E8	5.608423602988417E-6
1.32390143E8	0.0
1.40413788E8	0.32204764792061463
1.48437433E8	0.19640923794609558
1.56461078E8	2.1312009691355986E-5
1.64484723E8	0.6818377433199001
1.72508368E8	3.240422526171086E-5
1.80532013E8	2.343074749692939E-5
1.88555658E8	2.3306115861307422E-5
1.96579303E8	6.16926596328726E-5
2.04602948E8	1.5952849359611497E-4
2.12626593E8	1.495579627463578E-5
2.20650238E8	7.079076903327603E-5
2.28673883E8	4.2499387747090005E-5
2.36697528E8	4.736002153634664E-6
2.44721173E8	0.0
2.48844709E8	0.0
2.528565315E8	8.84590661440488E-6
2.60768463E8	2.6334664606921166E-4
2.68792108E8	2.0028303844449747E-4
2.76815753E8	2.0987967438738876E-4
2.84839398E8	0.12833194888358096
2.92863043E8	8.026277334054535E-5
3.00886688E8	1.6451375902099357E-5
3.08910333E8	1.1840005384086658E-5
3.16933978E8	1.0269646775249901E-4
3.24957623E8	3.8249448972381005E-4
3.32981268E8	4.461812555266341E-5
3.41004913E8	0.8243839302461662
3.49028558E8	2.8627886702365323E-4
3.57052203E8	9.70880441495106E-5
3.65075848E8	2.222182063139633E-4
3.73099493E8	0.17243073441060766
3.81123138E8	1.718670255226895E-4
3.89146783E8	3.090864563424728E-5
3.97170428E8	7.26602435676055E-5
4.05194073E8	8.649435512164359E-5
4.13217718E8	1.445726973214792E-5
4.21241363E8	2.594830653649308E-4
4.29265008E8	5.608423602988417E-6
4.37288653E8	1.8445482072050793E-5
4.45312298E8	2.4926327124392968E-5
4.53335943E8	1.1466110477220764E-5
4.61359588E8	1.3584848282794166E-5
4.69383233E8	1.5267375363690693E-4
4.77406878E8	2.710738074777735E-4
4.85430523E8	3.7514122322211415E-5
4.902961485E8	3.097904317506497E-4
4.94307971E8	3.847347997692858E-5
5.01477813E8	1.6127333649482248E-4
5.09501458E8	3.738949068658945E-6
5.17525103E8	1.470653300339185E-5
5.25548748E8	8.47495122229361E-6
5.33572393E8	1.6326744266477393E-5
5.41596038E8	0.1976865875795851
5.49619683E8	3.302738343982068E-5
5.57643328E8	2.2932220954441528E-5
5.65666973E8	2.3056852590063495E-5
5.73690618E8	5.658276257237203E-5
5.81714263E8	1.3161100721679485E-4
5.89737908E8	1.4083374825282026E-5
5.97761553E8	1.5578954452745604E-5
6.05785198E8	3.86358070428091E-6
6.13808843E8	1.7697692258319007E-5
6.21832488E8	0.3995745075959866
6.29856133E8	1.1466110477220764E-5
6.37879778E8	5.608423602988417E-6
6.45903423E8	0.5128624210069115
6.53927068E8	1.4831164639013815E-5
6.61950713E8	3.988212339902875E-6
6.69974358E8	2.891453946429584E-5
6.77998003E8	2.4427800581905106E-5
6.85727668E8	2.030747671532616E-4
6.897394905E8	1.649772093339683E-4
6.94045293E8	1.5601602513570827
7.02068938E8	6.468381888779975E-5
7.10092583E8	2.0925651620927894E-4
7.18116228E8	2.343074749692939E-5
7.26139873E8	2.6671170023100473E-5
7.34163518E8	2.554948530250279E-5
7.42187163E8	5.097433896938362E-5
7.50210808E8	1.1216847205976835E-5
7.58234453E8	3.6890964144101586E-5
7.66258098E8	2.8042118014942088E-5
7.74281743E8	1.409583798884422E-4
7.82305388E8	1.7199165715831146E-5
7.90329033E8	1.6850197136089644E-4
7.98352678E8	8.101056315427715E-6
8.06376323E8	4.150233466211429E-5
8.14399968E8	1.0219794121001117E-5
8.22423613E8	1.0145015139627937E-4
8.30447258E8	9.721267578513257E-6
8.38470903E8	6.149324901587745E-4
8.46494548E8	0.0
8.54518193E8	4.7235389900724673E-5
8.62541838E8	4.362107246768769E-6
8.70565483E8	1.3422827156485612E-4
8.771186855E8	2.8724551228072937E-5
8.81130508E8	3.4003369733940633E-4
8.86612773E8	0.1501792514499333
8.94636418E8	5.658276257237203E-5
9.02660063E8	2.5674116938124753E-5
9.10683708E8	1.2463163562196484E-5
9.18707353E8	3.2404225261710855E-6
9.26730998E8	6.3562134167202065E-6
9.34754643E8	1.9405145666339925E-4
9.42778288E8	2.7543591472454226E-5
9.50801933E8	1.0581225864304814E-4
9.58825578E8	1.9816430063892408E-5
9.66849223E8	2.2059799505087775E-5
9.74872868E8	2.866527619305191E-5
9.82896513E8	4.112843975524839E-6
9.90920158E8	7.97642467980575E-6
9.98943803E8	1.495579627463578E-5
1.006967448E9	1.3098784903868503E-4
1.014991093E9	7.602529772939854E-5
1.023014738E9	2.1187378055734022E-5
1.031038383E9	7.976424679805749E-5
1.039062028E9	7.97642467980575E-6
1.047085673E9	1.5080427910257744E-5
1.055109318E9	1.9467461484150907E-4
1.0601597325E9	0.0
1.064171555E9	2.324071409868828E-4
1.071156608E9	1.9816430063892408E-5
1.079180253E9	1.2662574179191628E-4
1.087203898E9	1.3031055087806103
1.095227543E9	4.3745704103309655E-4
1.103251188E9	1.251301621644527E-4
1.111274833E9	1.520505954587971E-5
1.119298478E9	2.8042118014942088E-5
1.127322123E9	1.208926865533059E-5
1.135345768E9	8.848846129159504E-6
1.143369413E9	2.3056852590063495E-5
1.151393058E9	8.101056315427715E-6
1.159416703E9	7.72716140856182E-6
1.167440348E9	8.101056315427715E-6
1.175463993E9	2.218443114070974E-5
1.183487638E9	0.0
1.191511283E9	8.973477764781467E-6
1.199534928E9	0.0923864403273076
1.207558573E9	3.4687896834917296
1.215582218E9	1.832085043642883E-5
1.223605863E9	5.1223602240627546E-5
1.2298109945E9	1.5319318892139685E-4
1.233822817E9	3.390131555251033E-4
1.239653153E9	0.7189222603941227
1.247676798E9	3.352590998230854E-5
1.255700443E9	1.0469057392245046E-5
1.263724088E9	8.288003768860661E-5
1.271747733E9	4.873096952818825E-5
1.279771378E9	3.128254054111317E-4
1.287795023E9	3.9632860127784815E-5
1.295818668E9	2.4303168946283142E-5
1.303842313E9	1.7298871024328717E-4
1.311865958E9	0.6763565686168818
1.319889603E9	0.008301713248779078
1.327913248E9	4.0380649941516604E-5
1.335936893E9	2.3306115861307424E-4
1.343960538E9	1.3210953375928271E-5
1.351984183E9	7.493026673039497
1.360007828E9	1.0020383504005973E-4
1.368031473E9	1.2787205814813592E-4
1.376055118E9	1.0756045413275388
1.384078763E9	1.1416257822971978E-4
1.389720431E9	0.019732851978914567
1.3937322535E9	1.8346104937201326E-4
1.400126053E9	4.3882798902493815E-4
1.408149698E9	5.047581242689576E-5
1.416173343E9	1.782232389394097E-5
1.424196988E9	4.2050713858850935E-4
1.432220633E9	2.2932220954441528E-5
1.440244278E9	4.611370518012698E-6
1.448267923E9	0.0
1.456291568E9	2.0788556821743734E-4
1.464315213E9	1.6326744266477393E-5
1.472338858E9	7.490361300880086E-5
1.480362503E9	5.645813093675007E-5
1.488386148E9	8.724214493537538E-6
1.496409793E9	1.2669843942497456
1.504433438E9	8.487414385855806E-5
1.512457083E9	3.078401399862531E-5
1.520480728E9	4.28732826539559E-5
1.528504373E9	3.6055932185434427E-4
1.534502554E9	3.40572963037639E-4
1.5385143765E9	8.146281543389564E-6
1.544551663E9	3.3401278346686575E-5
1.552575308E9	1.931790352140455E-5
1.560598953E9	2.7543591472454226E-5
1.568622598E9	2.1187378055734022E-5
1.576646243E9	0.0014087113774350684
1.584669888E9	0.0
1.592693533E9	0.0
1.600717178E9	4.2574166728463184E-4
1.608740823E9	1.9567166792648477E-5
1.616764468E9	0.31227166705406334
1.624788113E9	3.5532479315822173E-4
1.632811758E9	1.2338531926574518E-5
1.640835403E9	2.2309062776331706E-5
1.648859048E9	1.8806913815354494E-4
1.656882693E9	2.3754789749546497E-4
1.664906338E9	1.620788432190108
1.671900895E9	1.1901830350639657E-5
1.6759127175E9	0.0
1.680953628E9	4.1003808119626426E-5
1.688977273E9	2.1062746420112055E-5
1.697000918E9	3.389980488917444E-5
1.705024563E9	1.651369171991034E-4
1.713048208E9	1.1466110477220764E-5
1.721071853E9	1.9567166792648478E-4
1.729095498E9	1.0219794121001117E-5
1.737119143E9	1.2837058469062377E-5
1.745142788E9	1.4507122386396706E-4
1.753166433E9	3.664170087285766E-4
1.761190078E9	7.22863486607396E-6
1.769213723E9	0.7048813849565877
1.777237368E9	2.872759201086289E-4
1.785261013E9	1.1316552514474406E-4
1.793284658E9	1.6077480995233462E-5
1.801308303E9	2.4103758329287997E-4
1.8070005885E9	5.581795017206568E-4
1.811012411E9	0.0019302042434896892
1.817355593E9	2.3306115861307422E-5
1.825379238E9	2.3293652697745226E-4
1.833402883E9	1.59528493596115E-5
1.841426528E9	1.395874318966006E-5
1.849450173E9	4.237475611146805E-6
1.857473818E9	9.995457176881579E-5
1.865497463E9	6.80488730495928E-5
1.873521108E9	1.126669986022562E-4
1.881544753E9	0.0010761941735956662
1.889568398E9	1.757306062269704E-5
1.897592043E9	3.75639749764602E-4
1.905615688E9	1.0219794121001117E-5
1.913639333E9	1.682527080896525E-5
1.921662978E9	3.589391105912587E-5
1.929686623E9	3.79004803926395E-4
1.937710268E9	7.68977191787523E-5
1.942744882E9	0.0
1.9467567045E9	3.711905296398733E-4
1.953757558E9	5.261400772342246
1.961781203E9	1.208926865533059E-5
1.969804848E9	2.3804642403795284E-5
1.977828493E9	6.119413309038473E-5
1.985852138E9	1.1840005384086658E-5
1.993875783E9	2.1461567654102343E-4
2.001899428E9	1.3335585011550237E-5
2.009923073E9	0.0013955004240591403
2.017946718E9	4.349644083206573E-5
2.025970363E9	2.3929274039417248E-5
2.033994008E9	4.112843975524839E-6
2.042017653E9	3.452296306728426E-5
2.050041298E9	1.2961690104684342E-5
2.058064943E9	9.472004307269327E-5
2.066088588E9	2.505095876001493E-4
2.0735716965E9	6.556647882081741E-4
2.077583519E9	0.0
2.082135878E9	0.0
2.090159523E9	0.0
2.098183168E9	1.5080427910257744E-5
2.106206813E9	4.860633789256628E-6
2.114230458E9	1.9442535157026513E-5
2.122254103E9	1.6451375902099357E-5
2.130277748E9	6.181729126849456E-5
2.138301393E9	8.973477764781467E-6
2.146325038E9	1.1067289243230477E-4
2.154348683E9	2.2807589318819564E-5
2.162372328E9	2.3804642403795284E-5
2.170395973E9	3.8261912135943204E-5
2.178419618E9	1.1964637019708624E-5
2.186443263E9	6.281434435347027E-5
2.190931198E9	0.0
2.1949430205E9	0.0
2.202490553E9	0.0
2.210514198E9	0.0
2.218537843E9	6.493308215904367E-5
2.226561488E9	1.682527080896525E-5
2.234585133E9	0.0
2.242608778E9	1.3709479918416131E-5
2.250632423E9	5.4837919673664525E-5
2.258656068E9	3.656692189148448E-4
2.266679713E9	4.062991321276053E-5
2.274703358E9	3.0036224184893524E-5
2.282727003E9	0.009327805504854713
2.290750648E9	3.075908767150092E-4
2.2966067495E9	0.0021252207502227157
2.300618572E9	0.0
2.306797938E9	0.0
2.314821583E9	5.982318509854312E-6
2.322845228E9	4.985265424878593E-6
2.330868873E9	6.493308215904367E-5
2.338892518E9	0.6744827319753055
2.346916163E9	8.113519478989911E-5
2.354939808E9	3.308969925763166E-4
2.362963453E9	1.6276891612228606E-4
2.370987098E9	1.8158829310120276E-4
2.379010743E9	9.384762162333951E-5
2.387034388E9	0.0
2.395058033E9	7.47789813731789E-6
2.3997560365E9	3.3518852897413366E-5
2.403767859E9	0.0010453622256036917
2.411105323E9	9.870825541259615E-5
2.419128968E9	6.246537577372877E-4
2.427152613E9	3.299596505079674
2.435176258E9	4.0654839539884925E-4
2.443199903E9	8.225687951049678E-6
2.451223548E9	2.597323286361747E-4
2.459247193E9	0.8417376391901685
2.467270838E9	0.3870497760057929
2.475294483E9	1.3335585011550237E-5
2.483318128E9	3.452296306728426E-4
2.4890552565E9	7.161048532839971E-4
2.493067079E9	2.1889192577442584E-4
2.499365418E9	8.803978740335596E-4
2.507389063E9	6.044634327665294E-5
2.515412708E9	6.0321711641030976E-5
2.523436353E9	1.6214575794417624E-4
2.531459998E9	0.0010108871965297567
2.539483643E9	9.386008478690171E-4
2.547507288E9	1.3298195520863648E-4
2.555530933E9	0.0
2.563554578E9	1.6488765392785946E-4
2.570802202E9	3.7625917411806626E-4
2.5748140245E9	1.9329373818492024E-5
2.579601868E9	2.3056852590063495E-5
2.587625513E9	4.212549284022411E-5
2.595649158E9	2.26829576831976E-5
2.603672803E9	8.973477764781467E-6
2.611696448E9	1.368455359129174E-4
2.619720093E9	4.187622956898018E-5
2.627743738E9	2.6172643480612615E-5
2.635767383E9	8.088593151865518E-5
2.643791028E9	2.4926327124392968E-5
2.6511070695E9	3.91923174583767E-4
2.655118892E9	3.4341265977344657E-4
2.659838318E9	0.0019043713923036225
2.667861963E9	1.9816430063892408E-5
2.675885608E9	5.691926798855134E-4
2.683909253E9	3.204279351840716E-4
2.691932898E9	1.5190953737360016
2.699956543E9	7.259792774979452E-4
2.707980188E9	2.779285474369816E-4
2.7125104575E9	0.0
2.71652228E9	0.0018708266546210105
2.724027478E9	7.290950683884943E-5
2.732051123E9	8.47495122229361E-6
2.740074768E9	0.015035186626526972
2.748098413E9	2.4365484764094124E-4
2.756122058E9	1.6289354775790804E-4
2.764145703E9	1.694990244458722E-5
2.772169348E9	0.367765273762735
2.776827121E9	9.66018293971442E-4
2.7808389435E9	0.0
2.788216638E9	1.5703586088367568E-5
2.796240283E9	1.8071587165184902E-5
2.804263928E9	4.362107246768769E-6
2.812287573E9	3.7015595779723554E-5
2.820241225E9	7.496519065576022E-5
2.8242530475E9	0.0
2.828334863E9	0.0
2.836358508E9	0.0
2.844382153E9	3.747673283152482E-4
2.852405798E9	2.9138876408415376E-4
2.860429443E9	2.2333989103456097E-4
2.868453088E9	6.669038822131338E-4
2.8737332165E9	0.0034002046824662185
2.877745039E9	2.533245198270176E-5
2.884500378E9	1.6077480995233462E-5
2.892524023E9	4.062991321276053E-5
2.900547668E9	2.26829576831976E-5
2.908571313E9	2.505095876001493E-5
2.916594958E9	3.502148960977212E-5
2.924618603E9	6.966908431267834E-5
2.932642248E9	1.6700639173343288E-5
2.940665893E9	1.994106169951437E-5
2.948689538E9	2.554948530250279E-5
2.956713183E9	5.4090129859932736E-5
2.964736828E9	4.860633789256628E-6
2.972760473E9	1.757306062269704E-5
2.980784118E9	0.0
2.988807763E9	2.7418959836832262E-5
2.996831408E9	3.227959362608889E-5
3.004855053E9	1.6326744266477393E-5
3.012878698E9	1.9816430063892408E-5
3.020902343E9	9.347372671647362E-6
3.0279782915E9	2.3252960224220544E-4
3.031990114E9	0.0
3.036949633E9	2.068885151324616E-5
3.044973278E9	1.580329139686514E-4
3.052996923E9	1.9442535157026513E-5
3.061020568E9	0.0
3.069044213E9	0.0
3.077067858E9	0.0
3.0846747565E9	0.0
3.088278117E9	0.0
3.088373929E9	0.0
3.0884774725E9	0.0
3.0885573295E9	0.0
3.0886546005E9	0.0
3.0887081185E9	0.0
3.0887493115E9	0.0
3.088858438E9	8.908158802110847
3.088966832E9	0.0
3.089008063E9	0.0
3.0890661235E9	0.0
3.089146859E9	0.0
3.089267292E9	0.0
3.08942189E9	0.0
3.089604443E9	0.0
3.089755642E9	0.0
3.0898220175E9	0.0
3.0898610755E9	0.0
3.089968525E9	0.0
3.0900764725E9	0.0
3.0901461555E9	0.0
3.090297168E9	0.0
3.090503609E9	0.0
3.0907062205E9	0.0
3.09089898E9	0.0
3.091013772E9	0.0
3.091052607E9	0.0
3.0911587895E9	0.0
3.091267064E9	0.0
3.0915130575E9	4.818761042994057E-4
3.092673561E9	9.985267725318634E-5
3.093702736E9	0.0
3.093935951E9	0.0
3.094132646E9	0.0
3.0942642985E9	0.0
3.094360447E9	0.0
3.0944711045E9	0.0
3.0946435155E9	0.0
3.094747446E9	0.0
3.0948598115E9	0.0
3.0950026905E9	0.0
3.095104297E9	0.0
3.095190977E9	0.0
3.0952465895E9	0.0
3.0952663465E9	0.0
3.095268566E9	0.0
3.0952706195E9	0.0
3.0952723265E9	0.0
3.0952838005E9	0.0
3.0952967465E9	0.0
3.095299555E9	0.0
3.0953008775E9	0.0
3.0953027375E9	0.0
3.0953043745E9	0.0
3.095311073E9	0.0
3.0953361175E9	0.0
3.095355552E9	0.0
3.0953574645E9	0.0
3.095360032E9	0.0
3.095361791E9	0.0
3.095363378E9	0.0
3.095365611E9	0.0
3.0953678415E9	0.0
3.095369933E9	0.0
3.095371677E9	0.0
3.09537289E9	0.0
3.0953743225E9	0.0
3.095375945E9	0.0
3.095572656E9	0.0
3.095769303E9	0.0
3.0957708065E9	0.0
3.0957736535E9	0.0
3.095822105E9	0.0
3.095924849E9	0.0
3.095983129E9	0.0
3.095986364E9	0.0
3.0959887305E9	0.0
3.0959909825E9	0.0
3.095993051E9	0.0
3.0959946765E9	0.0
3.096006671E9	0.0
3.0960870785E9	0.0
3.0961589785E9	0.0
3.096165879E9	0.0
3.096173123E9	0.0
3.09617898E9	0.0
3.096183283E9	0.0
3.096185859E9	0.0
3.0961883E9	0.0
3.0961908755E9	0.0
3.096192456E9	0.0
3.096238607E9	0.0
3.0962848625E9	0.0
3.096286263E9	0.0
3.0962877625E9	0.0
3.096289947E9	0.0
3.096292208E9	0.0
3.0962965075E9	0.0
3.096315547E9	0.0
3.0963533005E9	0.0
3.09637788E9	0.0
3.096382479E9	0.0
3.0963879875E9	0.0
3.0963943185E9	0.0
3.096398918E9	0.0
3.0964033365E9	0.0
3.0964070605E9	0.0
3.0964084065E9	0.0
3.0964096105E9	0.0
3.096411644E9	0.0
3.0964135175E9	0.0
3.0964147555E9	0.0
3.0964161835E9	0.0
3.0964174105E9	0.0
3.096418484E9	0.0
3.096419946E9	0.0
3.096422275E9	0.0
3.0964254675E9	0.0
3.0964313925E9	0.0
3.0964360765E9	0.0
3.096437123E9	0.0
3.0964382945E9	0.0
3.096440137E9	0.0
3.096442099E9	0.0
3.096443439E9	0.0
3.0964449505E9	0.0
3.0964464985E9	0.0
3.0964475915E9	0.0
3.0964489705E9	0.0
3.0964506065E9	0.0
3.0964522235E9	0.0
3.0964537525E9	0.0
3.0964552355E9	0.0
3.09645655E9	0.0
3.0964580005E9	0.0
3.0964594605E9	0.0
3.096462063E9	0.0
3.0964647385E9	0.0
3.0964666345E9	0.0
3.0964687875E9	0.0
3.096470338E9	0.0
3.0964722525E9	0.0
3.096474844E9	0.0
3.0964802425E9	0.0
3.0964880595E9	0.0
3.0965833285E9	0.0
3.0967643755E9	0.0
3.0969348755E9	0.0
3.0970713735E9	0.2037609942982535
3.09716122E9	0.0
3.0972741855E9	0.0
3.0973604055E9	0.0
3.097450029E9	0.0
3.0976374775E9	0.0
3.0978270425E9	0.0
3.097932224E9	0.0
3.0979864125E9	0.0
3.098119023E9	0.0
3.098265051E9	0.0
3.098391091E9	1.5124433890362121
3.0985448955E9	2.0826335236815588E-4
3.0986946915E9	0.0
3.098783935E9	0.0
3.0988292795E9	0.0
3.098880847E9	0.0
3.098919304E9	0.0
3.0989774605E9	0.0
3.099052881E9	0.0
3.0991573655E9	0.0
3.099319594E9	0.0
3.0995012675E9	0.0
3.099670145E9	0.0
3.0999279405E9	0.0
3.100233298E9	0.0
3.1004161975E9	0.0
3.100563604E9	0.0
