#Insert size (bp)	insert size
1.0	481.0
2.0	74.0
3.0	89.0
4.0	33.0
5.0	238.0
6.0	29.0
7.0	27.0
8.0	15.0
9.0	21.0
10.0	20.0
11.0	24.0
12.0	12.0
13.0	21.0
14.0	11.0
15.0	13.0
16.0	15.0
17.0	14.0
18.0	12.0
19.0	7.0
20.0	13.0
21.0	13.0
22.0	8.0
23.0	8.0
24.0	16.0
25.0	5.0
26.0	5.0
27.0	5.0
28.0	4.0
29.0	5.0
30.0	4.0
31.0	6.0
32.0	5.0
33.0	9.0
34.0	8.0
35.0	12.0
36.0	8.0
37.0	9.0
38.0	14.0
39.0	22.0
40.0	13.0
41.0	15.0
42.0	12.0
43.0	25.0
44.0	10.0
45.0	17.0
46.0	17.0
47.0	51.0
48.0	32.0
49.0	23.0
50.0	16.0
51.0	23.0
52.0	17.0
53.0	28.0
54.0	17.0
55.0	21.0
56.0	19.0
57.0	28.0
58.0	17.0
59.0	21.0
60.0	28.0
61.0	29.0
62.0	26.0
63.0	29.0
64.0	28.0
65.0	24.0
66.0	27.0
67.0	27.0
68.0	31.0
69.0	16.0
70.0	21.0
71.0	27.0
72.0	36.0
73.0	21.0
74.0	25.0
75.0	24.0
76.0	20.0
77.0	26.0
78.0	24.0
79.0	23.0
80.0	24.0
81.0	21.0
82.0	26.0
83.0	18.0
84.0	21.0
85.0	30.0
86.0	17.0
87.0	26.0
88.0	28.0
89.0	22.0
90.0	27.0
91.0	32.0
92.0	31.0
93.0	24.0
94.0	27.0
95.0	36.0
96.0	39.0
97.0	57.0
98.0	39.0
99.0	166.0
100.0	146.0
101.0	59.0
102.0	37.0
103.0	55.0
104.0	143.0
105.0	63.0
106.0	61.0
107.0	60.0
108.0	49.0
109.0	43.0
110.0	47.0
111.0	48.0
112.0	61.0
113.0	87.0
114.0	243.0
115.0	44.0
116.0	149.0
117.0	63.0
118.0	81.0
119.0	42.0
120.0	69.0
121.0	87.0
122.0	67.0
123.0	73.0
124.0	53.0
125.0	44.0
126.0	105.0
127.0	60.0
128.0	77.0
129.0	46.0
130.0	67.0
131.0	90.0
132.0	72.0
133.0	40.0
134.0	51.0
135.0	72.0
136.0	162.0
137.0	117.0
138.0	136.0
139.0	93.0
140.0	83.0
141.0	77.0
142.0	49.0
143.0	46.0
144.0	79.0
145.0	39.0
146.0	36.0
147.0	64.0
148.0	92.0
149.0	72.0
150.0	120.0
151.0	143.0
152.0	56.0
153.0	59.0
154.0	38.0
155.0	717.0
156.0	91.0
157.0	26.0
158.0	70.0
159.0	124.0
160.0	38.0
161.0	48.0
162.0	55.0
163.0	91.0
164.0	69.0
165.0	63.0
166.0	66.0
167.0	60.0
168.0	62.0
169.0	204.0
170.0	61.0
171.0	75.0
172.0	81.0
173.0	125.0
174.0	174.0
175.0	123.0
176.0	122.0
177.0	75.0
178.0	57.0
179.0	106.0
180.0	18257.0
181.0	10446.0
182.0	109.0
183.0	42.0
184.0	64.0
185.0	130.0
186.0	119.0
187.0	13307.0
188.0	92.0
189.0	56.0
190.0	88.0
191.0	10686.0
192.0	57.0
193.0	118.0
194.0	96.0
195.0	84.0
196.0	15812.0
197.0	97.0
198.0	10905.0
199.0	13682.0
200.0	220.0
201.0	70.0
202.0	74.0
203.0	830.0
204.0	85.0
205.0	91.0
206.0	124.0
207.0	244.0
208.0	417.0
209.0	89.0
210.0	122.0
211.0	130.0
212.0	162.0
213.0	248.0
214.0	219.0
215.0	539.0
216.0	71995.0
217.0	50873.0
218.0	60565.0
219.0	57832.0
220.0	35645.0
221.0	47090.0
222.0	78576.0
223.0	73720.0
224.0	14587.0
225.0	34814.0
226.0	52345.0
227.0	58686.0
228.0	24804.0
229.0	76664.0
230.0	53700.0
231.0	45694.0
232.0	18890.0
233.0	40753.0
234.0	120963.0
235.0	96139.0
236.0	75993.0
237.0	51649.0
238.0	74929.0
239.0	76891.0
240.0	194875.0
241.0	632.0
242.0	5630.0
243.0	70.0
244.0	6713.0
245.0	7522.0
246.0	229.0
247.0	50.0
248.0	76.0
249.0	5672.0
250.0	10665.0
