#Duplication rate	Coverage
1.0	16450.0
2.0	4246.0
3.0	1605.0
4.0	891.0
5.0	519.0
6.0	416.0
7.0	255.0
8.0	224.0
9.0	150.0
10.0	171.0
11.0	120.0
12.0	130.0
13.0	94.0
14.0	92.0
15.0	76.0
16.0	63.0
17.0	70.0
18.0	60.0
19.0	50.0
20.0	40.0
21.0	51.0
22.0	46.0
23.0	41.0
24.0	48.0
25.0	40.0
26.0	40.0
27.0	42.0
28.0	27.0
29.0	27.0
30.0	26.0
31.0	16.0
32.0	20.0
33.0	21.0
34.0	23.0
35.0	17.0
36.0	18.0
37.0	21.0
38.0	21.0
39.0	22.0
40.0	17.0
41.0	15.0
42.0	9.0
43.0	14.0
44.0	11.0
45.0	22.0
46.0	15.0
47.0	9.0
48.0	10.0
49.0	17.0
50.0	1475.0
