#Mapping quality	mapping quality
0.0	152735.0
1.0	5738.0
2.0	4906.0
3.0	6963.0
4.0	2563.0
5.0	3747.0
6.0	2847.0
7.0	2240.0
8.0	2580.0
9.0	1687.0
10.0	1834.0
11.0	1380.0
12.0	1484.0
13.0	1637.0
14.0	1218.0
15.0	702.0
16.0	1078.0
17.0	1055.0
18.0	1129.0
19.0	635.0
20.0	980.0
21.0	393.0
22.0	807.0
23.0	645.0
24.0	1404.0
25.0	685.0
26.0	678.0
27.0	1623.0
28.0	699.0
29.0	871.0
30.0	1347.0
31.0	981.0
32.0	330.0
33.0	610.0
34.0	160.0
35.0	347.0
36.0	533.0
37.0	649.0
38.0	146.0
39.0	1051.0
40.0	1048.0
41.0	498.0
42.0	1560.0
43.0	642.0
44.0	947.0
45.0	2373.0
46.0	1024.0
47.0	493.0
48.0	996.0
49.0	215.0
50.0	412.0
51.0	486.0
52.0	926.0
53.0	1040.0
54.0	669.0
55.0	1091.0
56.0	1033.0
57.0	2267.0
58.0	3401.0
59.0	113076.0
60.0	452123.0
