#Insert size (bp)	insert size
1.0	1497.0
2.0	217.0
3.0	206.0
4.0	57.0
5.0	718.0
6.0	46.0
7.0	79.0
8.0	45.0
9.0	48.0
10.0	38.0
11.0	34.0
12.0	29.0
13.0	31.0
14.0	28.0
15.0	19.0
16.0	11.0
17.0	22.0
18.0	18.0
19.0	19.0
20.0	89.0
21.0	40.0
22.0	24.0
23.0	44.0
24.0	92.0
25.0	11.0
26.0	14.0
27.0	25.0
28.0	13.0
29.0	15.0
30.0	27.0
31.0	23.0
32.0	22.0
33.0	15.0
34.0	21.0
35.0	26.0
36.0	10.0
37.0	27.0
38.0	14.0
39.0	21.0
40.0	17.0
41.0	14.0
42.0	26.0
43.0	20.0
44.0	31.0
45.0	16.0
46.0	15.0
47.0	35.0
48.0	42.0
49.0	21.0
50.0	17.0
51.0	37.0
52.0	38.0
53.0	27.0
54.0	32.0
55.0	37.0
56.0	37.0
57.0	43.0
58.0	41.0
59.0	33.0
60.0	35.0
61.0	43.0
62.0	47.0
63.0	43.0
64.0	36.0
65.0	26.0
66.0	36.0
67.0	42.0
68.0	60.0
69.0	59.0
70.0	28.0
71.0	28.0
72.0	43.0
73.0	24.0
74.0	23.0
75.0	23.0
76.0	28.0
77.0	29.0
78.0	31.0
79.0	34.0
80.0	31.0
81.0	32.0
82.0	39.0
83.0	27.0
84.0	20.0
85.0	28.0
86.0	29.0
87.0	32.0
88.0	27.0
89.0	37.0
90.0	40.0
91.0	36.0
92.0	39.0
93.0	34.0
94.0	40.0
95.0	51.0
96.0	44.0
97.0	96.0
98.0	80.0
99.0	365.0
100.0	284.0
101.0	123.0
102.0	57.0
103.0	94.0
104.0	235.0
105.0	86.0
106.0	118.0
107.0	86.0
108.0	97.0
109.0	69.0
110.0	103.0
111.0	90.0
112.0	86.0
113.0	115.0
114.0	349.0
115.0	68.0
116.0	216.0
117.0	70.0
118.0	105.0
119.0	71.0
120.0	119.0
121.0	107.0
122.0	123.0
123.0	87.0
124.0	67.0
125.0	73.0
126.0	117.0
127.0	76.0
128.0	106.0
129.0	68.0
130.0	99.0
131.0	134.0
132.0	68.0
133.0	80.0
134.0	52.0
135.0	114.0
136.0	344.0
137.0	183.0
138.0	192.0
139.0	138.0
140.0	103.0
141.0	133.0
142.0	78.0
143.0	102.0
144.0	138.0
145.0	82.0
146.0	68.0
147.0	156.0
148.0	190.0
149.0	94.0
150.0	137.0
151.0	215.0
152.0	81.0
153.0	140.0
154.0	68.0
155.0	862.0
156.0	133.0
157.0	47.0
158.0	143.0
159.0	208.0
160.0	76.0
161.0	59.0
162.0	65.0
163.0	103.0
164.0	113.0
165.0	82.0
166.0	100.0
167.0	120.0
168.0	115.0
169.0	577.0
170.0	75.0
171.0	120.0
172.0	85.0
173.0	143.0
174.0	263.0
175.0	220.0
176.0	175.0
177.0	145.0
178.0	96.0
179.0	141.0
180.0	17925.0
181.0	10034.0
182.0	79.0
183.0	75.0
184.0	94.0
185.0	283.0
186.0	142.0
187.0	11785.0
188.0	129.0
189.0	62.0
190.0	126.0
191.0	11758.0
192.0	68.0
193.0	196.0
194.0	121.0
195.0	165.0
196.0	17252.0
197.0	148.0
198.0	12018.0
199.0	13177.0
200.0	253.0
201.0	75.0
202.0	84.0
203.0	1336.0
204.0	120.0
205.0	118.0
206.0	143.0
207.0	246.0
208.0	354.0
209.0	125.0
210.0	143.0
211.0	158.0
212.0	248.0
213.0	294.0
214.0	291.0
215.0	613.0
216.0	74119.0
217.0	53796.0
218.0	57745.0
219.0	62758.0
220.0	36378.0
221.0	41721.0
222.0	67476.0
223.0	73057.0
224.0	15765.0
225.0	33944.0
226.0	52013.0
227.0	63467.0
228.0	22092.0
229.0	69107.0
230.0	56536.0
231.0	41377.0
232.0	20583.0
233.0	47317.0
234.0	116348.0
235.0	101365.0
236.0	81373.0
237.0	54570.0
238.0	76309.0
239.0	82790.0
240.0	187017.0
241.0	1429.0
242.0	7202.0
243.0	89.0
244.0	7189.0
245.0	6087.0
246.0	313.0
247.0	105.0
248.0	143.0
249.0	14208.0
250.0	14034.0
251.0	238.0
252.0	456.0
253.0	13706.0
254.0	134.0
255.0	1474.0
256.0	7967.0
257.0	704.0
258.0	10592.0
259.0	148.0
260.0	115.0
261.0	229.0
262.0	132.0
263.0	13909.0
264.0	295.0
265.0	149.0
266.0	262.0
267.0	7186.0
268.0	170.0
269.0	318.0
270.0	69938.0
271.0	22575.0
272.0	32990.0
273.0	5385.0
274.0	44591.0
275.0	40679.0
276.0	37045.0
277.0	16087.0
278.0	22813.0
279.0	34070.0
280.0	9956.0
281.0	14912.0
282.0	4401.0
283.0	46353.0
284.0	32553.0
285.0	32039.0
286.0	45611.0
287.0	29349.0
288.0	9684.0
289.0	19919.0
290.0	14385.0
291.0	33657.0
292.0	8790.0
293.0	21968.0
294.0	27983.0
295.0	23505.0
296.0	36787.0
297.0	32852.0
298.0	27271.0
299.0	40539.0
300.0	77437.0
301.0	256.0
302.0	136.0
303.0	65.0
304.0	156.0
305.0	63.0
306.0	164.0
307.0	12110.0
308.0	6801.0
309.0	329.0
310.0	4397.0
311.0	1413.0
312.0	161.0
313.0	402.0
314.0	404.0
315.0	45538.0
316.0	25380.0
317.0	16554.0
318.0	15165.0
319.0	3591.0
320.0	18267.0
321.0	17199.0
322.0	18489.0
323.0	5958.0
324.0	10783.0
325.0	20173.0
326.0	43365.0
327.0	49136.0
328.0	35137.0
329.0	24392.0
330.0	10342.0
331.0	31145.0
332.0	6370.0
333.0	2142.0
334.0	45095.0
335.0	61291.0
336.0	10491.0
337.0	10681.0
338.0	16847.0
339.0	46756.0
340.0	21425.0
341.0	5143.0
342.0	29619.0
343.0	14415.0
344.0	13121.0
345.0	27665.0
346.0	36630.0
347.0	23832.0
348.0	23710.0
349.0	32844.0
350.0	71336.0
351.0	5372.0
352.0	189.0
353.0	11.0
354.0	103.0
355.0	232.0
356.0	157.0
357.0	91.0
358.0	188.0
359.0	109.0
360.0	48.0
361.0	29.0
362.0	469.0
363.0	67.0
364.0	104.0
365.0	17.0
366.0	150.0
367.0	66.0
368.0	154.0
369.0	98.0
370.0	25.0
371.0	146.0
372.0	23.0
373.0	13.0
374.0	73.0
375.0	18.0
376.0	59.0
377.0	6.0
378.0	40.0
379.0	26.0
380.0	58.0
381.0	115.0
382.0	169.0
383.0	69.0
384.0	194.0
385.0	1.0
386.0	39.0
387.0	35.0
388.0	14.0
389.0	15.0
390.0	110.0
391.0	31.0
392.0	7.0
393.0	108.0
394.0	92.0
395.0	20.0
396.0	8.0
397.0	3.0
398.0	40.0
