#GC Content (%)	Sample	HUMAN (hg19)
1.0	3.5142912166616766E-5	0.0
2.0	1.8274314326640716E-5	3.0E-6
3.0	2.2491463786634723E-5	3.0E-6
4.0	3.373719567995209E-5	1.0E-5
5.0	3.514291216661676E-5	8.0E-6
6.0	4.076577811327544E-5	1.2000000000000002E-5
7.0	4.0765778113275446E-5	6.999999999999999E-6
8.0	1.9680030813305386E-5	9.999999999999999E-6
9.0	3.092576270662275E-5	1.6E-5
10.0	1.6868597839976046E-5	1.5000000000000002E-5
11.0	1.8274314326640716E-5	1.9999999999999998E-5
12.0	8.434298919988023E-6	1.6E-5
13.0	5.622865946658682E-6	1.6E-5
14.0	1.1245731893317363E-5	2.4999999999999998E-5
15.0	8.434298919988023E-6	2.2000000000000003E-5
16.0	4.2171494599940116E-6	2.6999999999999996E-5
17.0	8.434298919988023E-6	3.3E-5
18.0	8.434298919988023E-6	3.7000000000000005E-5
19.0	7.028582433323353E-6	4.7000000000000004E-5
20.0	1.1245731893317363E-5	5.4999999999999995E-5
21.0	9.840015406652693E-6	6.400000000000001E-5
22.0	2.2491463786634726E-5	9.3E-5
23.0	2.1085747299970056E-5	1.66E-4
24.0	4.076577811327544E-5	3.03E-4
25.0	1.8696029272640118E-4	7.059999999999999E-4
26.0	8.49052757945461E-4	0.0016020000000000001
27.0	0.001591271062904407	0.0033690000000000005
28.0	0.0028367358700893052	0.006167999999999999
29.0	0.001253899106104886	0.010352
30.0	0.005340316932839083	0.015647
31.0	0.009661489412846282	0.022148
32.0	0.009408460445246639	0.028808
33.0	0.016702723294549617	0.035106000000000005
34.0	0.020999998594283514	0.041161
35.0	0.022616572553947886	0.047408
36.0	0.02547579988782382	0.052698999999999996
37.0	0.03395227030241179	0.057517000000000006
38.0	0.03201659870027453	0.061487999999999994
39.0	0.03816801404591913	0.063321
40.0	0.04805863524609175	0.060248
41.0	0.043014924491938916	0.055508
42.0	0.04084028108706867	0.051446000000000006
43.0	0.037009703660907445	0.048194
44.0	0.0235471568681199	0.044423
45.0	0.011727892648243346	0.040655000000000004
46.0	0.011618246762283502	0.03652
47.0	0.013451301060894233	0.032315
48.0	0.013066134743548114	0.028137999999999996
49.0	0.02144420500406955	0.02458
50.0	0.023952003216279317	0.020810000000000002
51.0	0.026710018963115405	0.017532
52.0	0.03712356669632728	0.014506999999999997
53.0	0.0320419015970345	0.012007
54.0	0.017889148009294593	0.010018
55.0	0.024417295373365327	0.008414999999999999
56.0	0.024739204448811537	0.007258
57.0	0.03338857799125925	0.006174999999999999
58.0	0.037934665109132806	0.005363000000000001
59.0	0.03097074563419602	0.0046159999999999994
60.0	0.03705468658848072	0.003946
61.0	0.03777441342965302	0.0034579999999999993
62.0	0.028118546882753403	0.002915
63.0	0.016576208810749796	0.0024610000000000005
64.0	0.022852732923707545	0.0019950000000000002
65.0	0.013791484450667083	0.0016779999999999998
66.0	0.015157840875705143	0.0013500000000000003
67.0	0.013276992216547814	0.001069
68.0	0.0137310386417405	8.119999999999999E-4
69.0	0.010996920075177719	6.4E-4
70.0	0.005771871894245137	5.05E-4
71.0	0.005615837364225359	4.0299999999999993E-4
72.0	0.0013916593217980237	3.2E-4
73.0	7.914183819922096E-4	2.79E-4
74.0	1.0683445298651497E-4	2.0700000000000002E-4
75.0	3.7954345139946106E-5	2.0099999999999998E-4
76.0	1.5462881353311376E-5	1.54E-4
77.0	1.4057164866646705E-5	1.12E-4
78.0	5.622865946658682E-6	7.699999999999999E-5
79.0	1.4057164866646706E-6	6.3E-5
80.0	0.0	3.7E-5
81.0	0.0	2.8000000000000003E-5
82.0	1.4057164866646706E-6	1.6E-5
83.0	0.0	9.0E-6
84.0	2.811432973329341E-6	4.0E-6
85.0	0.0	0.0
86.0	0.0	1.0E-6
87.0	1.4057164866646706E-6	0.0
88.0	0.0	0.0
89.0	0.0	0.0
90.0	0.0	0.0
91.0	0.0	0.0
92.0	0.0	0.0
93.0	2.811432973329341E-6	0.0
94.0	4.2171494599940116E-6	0.0
95.0	1.2651448379982035E-5	0.0
96.0	5.201151000659281E-5	0.0
97.0	1.19485901366497E-4	0.0
98.0	3.022290446329042E-4	0.0
99.0	4.3858354383937727E-4	0.0
100.0	0.0014942766253245449	0.0
