#Position (bp)	Coverage
4011823.0	3.6926057920060025
1.2035468E7	1.6077761416413612
2.0059113E7	0.6747909460101986
2.8082758E7	8.046218395754049E-4
3.6106403E7	6.822335733946355E-4
4.4130048E7	2.359276862323794E-4
5.2153693E7	2.7194622892712727E-4
6.0177338E7	4.062991321276053E-5
6.8200983E7	8.275540605298464E-5
7.6224628E7	3.078401399862531E-5
8.4248273E7	0.45583061065139346
9.2271918E7	1.0307036265936491E-4
1.00295563E8	1.445726973214792E-5
1.08319208E8	2.0676388349683965E-4
1.16342853E8	2.72943282012103E-5
1.24366498E8	1.7697692258319007E-5
1.32390143E8	0.0
1.40413788E8	0.7241324859212989
1.48437433E8	0.4149535529051946
1.56461078E8	3.129500370467537E-4
1.64484723E8	1.4333283688398477
1.72508368E8	1.620211263085543E-5
1.80532013E8	3.041011909175942E-5
1.88555658E8	7.05415057620321E-5
1.96579303E8	5.7704447292969714E-5
2.04602948E8	5.913771110262231E-4
2.12626593E8	5.384086658868881E-5
2.20650238E8	1.5329691181501675E-4
2.28673883E8	1.970426159183264E-4
2.36697528E8	7.789477226372802E-5
2.44721173E8	1.0007920340443776E-4
2.48844709E8	2.909227622444915E-4
2.528565315E8	9.794598048413519E-5
2.60768463E8	3.237929893458646E-4
2.68792108E8	6.605476687964136E-5
2.76815753E8	1.8021734510936113E-4
2.84839398E8	0.31642987694495456
2.92863043E8	8.325393259547251E-5
3.00886688E8	1.5516638634934622E-4
3.08910333E8	2.1174914892171825E-4
3.16933978E8	4.2499387747090006E-4
3.24957623E8	4.681164233960999E-4
3.32981268E8	3.6267805965991764E-5
3.41004913E8	1.5991885234204655
3.49028558E8	4.39326515567426E-4
3.57052203E8	1.2961690104684343E-4
3.65075848E8	6.779960977834887E-5
3.73099493E8	0.3293000874290924
3.81123138E8	7.037948463572354E-4
3.89146783E8	9.995457176881579E-5
3.97170428E8	5.645813093675007E-5
4.05194073E8	1.6413986411412769E-4
4.13217718E8	2.629727511623458E-5
4.21241363E8	5.06752230438909E-4
4.29265008E8	1.7946955529562935E-5
4.37288653E8	3.639243760161373E-5
4.45312298E8	5.782907892859168E-5
4.53335943E8	4.399496737455358E-5
4.61359588E8	3.452296306728426E-5
