#Mapping quality	mapping quality
0.0	83781.0
1.0	2696.0
2.0	2416.0
3.0	4495.0
4.0	1481.0
5.0	3470.0
6.0	1940.0
7.0	1551.0
8.0	1090.0
9.0	994.0
10.0	939.0
11.0	673.0
12.0	695.0
13.0	512.0
14.0	571.0
15.0	588.0
16.0	1087.0
17.0	741.0
18.0	608.0
19.0	243.0
20.0	429.0
21.0	304.0
22.0	557.0
23.0	789.0
24.0	603.0
25.0	684.0
26.0	704.0
27.0	425.0
28.0	195.0
29.0	178.0
30.0	47.0
31.0	219.0
32.0	528.0
33.0	218.0
34.0	70.0
35.0	126.0
36.0	525.0
37.0	51.0
38.0	193.0
39.0	215.0
40.0	599.0
41.0	508.0
42.0	754.0
43.0	780.0
44.0	316.0
45.0	1857.0
46.0	145.0
47.0	595.0
48.0	310.0
49.0	470.0
50.0	81.0
51.0	404.0
52.0	515.0
53.0	505.0
54.0	444.0
55.0	431.0
56.0	694.0
57.0	837.0
58.0	1607.0
59.0	89480.0
60.0	196736.0
