#Duplication rate	Coverage
1.0	17181.0
2.0	4266.0
3.0	1534.0
4.0	872.0
5.0	487.0
6.0	404.0
7.0	283.0
8.0	223.0
9.0	183.0
10.0	173.0
11.0	141.0
12.0	104.0
13.0	110.0
14.0	95.0
15.0	84.0
16.0	79.0
17.0	67.0
18.0	52.0
19.0	50.0
20.0	58.0
21.0	51.0
22.0	45.0
23.0	33.0
24.0	35.0
25.0	35.0
26.0	44.0
27.0	25.0
28.0	28.0
29.0	33.0
30.0	24.0
31.0	29.0
32.0	24.0
33.0	23.0
34.0	18.0
35.0	24.0
36.0	18.0
37.0	27.0
38.0	16.0
39.0	21.0
40.0	20.0
41.0	13.0
42.0	8.0
43.0	14.0
44.0	15.0
45.0	10.0
46.0	18.0
47.0	12.0
48.0	12.0
49.0	7.0
50.0	1494.0
