#Duplication rate	Coverage
1.0	23532.0
2.0	6718.0
3.0	2692.0
4.0	1497.0
5.0	892.0
6.0	610.0
7.0	449.0
8.0	366.0
9.0	276.0
10.0	255.0
11.0	183.0
12.0	182.0
13.0	146.0
14.0	135.0
15.0	97.0
16.0	94.0
17.0	89.0
18.0	87.0
19.0	72.0
20.0	58.0
21.0	65.0
22.0	59.0
23.0	53.0
24.0	57.0
25.0	43.0
26.0	54.0
27.0	42.0
28.0	44.0
29.0	40.0
30.0	43.0
31.0	23.0
32.0	35.0
33.0	35.0
34.0	26.0
35.0	25.0
36.0	28.0
37.0	21.0
38.0	32.0
39.0	27.0
40.0	16.0
41.0	25.0
42.0	29.0
43.0	20.0
44.0	14.0
45.0	23.0
46.0	25.0
47.0	26.0
48.0	24.0
49.0	10.0
50.0	1776.0
