#Coverage	Number of genomic locations
0.0	3.209058786E9
1.0	105263.0
2.0	64452.0
3.0	8890.0
4.0	19869.0
5.0	3886.0
6.0	10583.0
7.0	1150.0
8.0	4684.0
9.0	974.0
10.0	4122.0
11.0	633.0
12.0	2594.0
13.0	652.0
14.0	1324.0
15.0	566.0
16.0	1033.0
17.0	715.0
18.0	1552.0
19.0	384.0
20.0	916.0
21.0	260.0
22.0	763.0
23.0	438.0
24.0	660.0
25.0	251.0
26.0	864.0
27.0	90.0
28.0	1158.0
29.0	986.0
30.0	898.0
31.0	77.0
32.0	329.0
33.0	326.0
34.0	394.0
35.0	188.0
36.0	810.0
37.0	252.0
38.0	263.0
39.0	384.0
40.0	514.0
41.0	66.0
42.0	192.0
43.0	91.0
44.0	103.0
45.0	193.0
46.0	501.0
47.0	69.0
48.0	21.0
49.0	175.0
50.0	305.0
51.0	232.0
52.0	306.0
53.0	338.0
54.0	146.0
55.0	93.0
56.0	167.0
57.0	329.0
58.0	226.0
59.0	18.0
60.0	222.0
61.0	8.0
62.0	465.0
63.0	281.0
64.0	245.0
65.0	93.0
66.0	473.0
67.0	153.0
68.0	105.0
69.0	298.0
70.0	102.0
71.0	191.0
72.0	51.0
73.0	198.0
74.0	108.0
75.0	110.0
76.0	66.0
77.0	81.0
78.0	344.0
79.0	490.0
80.0	224.0
81.0	70.0
82.0	212.0
83.0	89.0
84.0	5.0
85.0	13.0
86.0	153.0
87.0	42.0
88.0	178.0
89.0	81.0
90.0	93.0
91.0	190.0
92.0	360.0
93.0	204.0
94.0	66.0
95.0	60.0
96.0	24.0
97.0	45.0
98.0	100.0
99.0	79.0
100.0	37.0
101.0	206.0
102.0	346.0
103.0	108.0
104.0	228.0
105.0	332.0
106.0	22.0
107.0	22.0
108.0	597.0
109.0	90.0
110.0	147.0
111.0	422.0
112.0	124.0
113.0	127.0
114.0	239.0
115.0	66.0
116.0	262.0
117.0	115.0
118.0	40.0
119.0	152.0
120.0	162.0
121.0	181.0
122.0	237.0
123.0	93.0
124.0	218.0
125.0	258.0
126.0	237.0
127.0	270.0
128.0	104.0
129.0	57.0
130.0	4.0
131.0	206.0
132.0	159.0
133.0	128.0
134.0	141.0
135.0	180.0
136.0	212.0
137.0	87.0
138.0	244.0
139.0	98.0
140.0	58.0
141.0	55.0
142.0	282.0
143.0	70.0
144.0	42.0
145.0	9.0
146.0	3.0
147.0	38.0
148.0	105.0
149.0	26.0
150.0	12.0
151.0	14.0
152.0	40.0
153.0	201.0
154.0	35.0
155.0	19.0
156.0	204.0
157.0	83.0
158.0	66.0
159.0	73.0
160.0	74.0
161.0	273.0
162.0	90.0
163.0	23.0
164.0	77.0
165.0	124.0
166.0	67.0
167.0	16.0
168.0	5.0
169.0	51.0
170.0	162.0
171.0	158.0
172.0	33.0
173.0	33.0
174.0	156.0
175.0	242.0
176.0	60.0
177.0	25.0
178.0	124.0
179.0	252.0
180.0	96.0
181.0	114.0
182.0	14.0
183.0	56.0
184.0	239.0
185.0	107.0
186.0	101.0
187.0	82.0
188.0	131.0
189.0	27.0
190.0	33.0
191.0	6.0
192.0	122.0
193.0	163.0
194.0	13.0
195.0	31.0
196.0	44.0
197.0	6.0
198.0	26.0
199.0	22.0
200.0	157.0
201.0	41.0
202.0	15.0
203.0	71.0
204.0	299.0
205.0	152.0
206.0	126.0
207.0	115.0
208.0	266.0
209.0	104.0
210.0	116.0
211.0	28.0
212.0	80.0
213.0	36.0
214.0	1.0
215.0	39.0
216.0	3.0
217.0	18.0
218.0	100.0
219.0	93.0
220.0	269.0
221.0	58.0
222.0	445.0
223.0	268.0
224.0	87.0
225.0	51.0
226.0	116.0
227.0	6.0
228.0	9.0
229.0	8.0
230.0	32.0
231.0	133.0
232.0	76.0
233.0	17.0
234.0	92.0
235.0	64.0
236.0	45.0
237.0	50.0
238.0	41.0
239.0	7.0
240.0	62.0
241.0	264.0
242.0	158.0
243.0	139.0
244.0	101.0
245.0	92.0
246.0	27.0
247.0	61.0
248.0	72.0
249.0	43.0
250.0	220.0
251.0	10.0
252.0	93.0
253.0	119.0
254.0	199.0
255.0	83.0
256.0	60.0
257.0	69.0
258.0	1.0
260.0	9.0
261.0	38.0
262.0	56.0
263.0	165.0
264.0	1.0
265.0	3.0
266.0	4.0
267.0	37.0
268.0	112.0
269.0	46.0
270.0	43.0
271.0	257.0
272.0	306.0
273.0	156.0
274.0	24.0
275.0	149.0
276.0	121.0
277.0	200.0
278.0	189.0
279.0	2.0
280.0	7.0
281.0	9.0
282.0	25.0
283.0	58.0
284.0	50.0
285.0	3.0
286.0	145.0
287.0	20.0
288.0	97.0
289.0	108.0
290.0	19.0
291.0	82.0
292.0	211.0
293.0	34.0
294.0	179.0
295.0	46.0
296.0	242.0
297.0	54.0
298.0	93.0
299.0	117.0
300.0	24.0
301.0	172.0
302.0	61.0
303.0	121.0
304.0	34.0
305.0	30.0
306.0	13.0
307.0	17.0
308.0	38.0
309.0	13.0
310.0	14.0
311.0	65.0
312.0	126.0
313.0	17.0
314.0	3.0
315.0	24.0
316.0	169.0
317.0	95.0
318.0	111.0
319.0	113.0
320.0	86.0
321.0	73.0
322.0	16.0
323.0	77.0
324.0	28.0
325.0	47.0
326.0	8.0
327.0	275.0
328.0	56.0
329.0	4.0
330.0	6.0
331.0	29.0
332.0	133.0
333.0	168.0
334.0	5.0
335.0	31.0
336.0	124.0
337.0	104.0
338.0	62.0
339.0	18.0
340.0	137.0
341.0	374.0
342.0	174.0
343.0	31.0
344.0	106.0
345.0	120.0
346.0	44.0
347.0	54.0
348.0	32.0
349.0	36.0
350.0	30.0
351.0	15.0
352.0	10.0
353.0	18.0
354.0	43.0
355.0	169.0
356.0	151.0
357.0	102.0
358.0	211.0
359.0	126.0
360.0	30.0
361.0	18.0
362.0	7.0
363.0	11.0
364.0	123.0
365.0	78.0
366.0	54.0
367.0	6.0
368.0	114.0
369.0	5.0
370.0	9.0
371.0	29.0
372.0	14.0
373.0	94.0
374.0	57.0
375.0	18.0
376.0	98.0
377.0	110.0
378.0	94.0
379.0	53.0
380.0	4.0
381.0	119.0
382.0	260.0
383.0	79.0
384.0	151.0
385.0	50.0
386.0	19.0
387.0	34.0
388.0	137.0
389.0	60.0
390.0	15.0
391.0	169.0
392.0	147.0
393.0	20.0
394.0	13.0
395.0	17.0
396.0	11.0
397.0	40.0
398.0	117.0
399.0	3.0
400.0	27.0
401.0	8.0
402.0	2.0
403.0	67.0
404.0	64.0
405.0	2.0
406.0	42.0
407.0	58.0
408.0	68.0
