#GC Content (%)	Sample	HUMAN (hg19)
1.0	4.063827490523027E-5	0.0
2.0	1.7779245271038245E-5	3.0E-6
3.0	2.793881399734581E-5	3.0E-6
4.0	1.904919136182669E-5	1.0E-5
5.0	2.2859029634192028E-5	8.0E-6
6.0	7.6196765447306766E-6	1.2000000000000002E-5
7.0	1.5239353089461353E-5	6.999999999999999E-6
8.0	1.904919136182669E-5	9.999999999999999E-6
9.0	1.269946090788446E-5	1.6E-5
10.0	6.34973045394223E-6	1.5000000000000002E-5
11.0	5.079784363153784E-6	1.9999999999999998E-5
12.0	1.0159568726307568E-5	1.6E-5
13.0	2.539892181576892E-6	1.6E-5
14.0	7.619676544730676E-6	2.4999999999999998E-5
15.0	1.269946090788446E-6	2.2000000000000003E-5
16.0	3.8098382723653383E-6	2.6999999999999996E-5
17.0	6.349730453942231E-6	3.3E-5
18.0	2.539892181576892E-6	3.7000000000000005E-5
19.0	7.6196765447306766E-6	4.7000000000000004E-5
20.0	6.34973045394223E-6	5.4999999999999995E-5
21.0	3.8098382723653383E-6	6.400000000000001E-5
22.0	1.5239353089461353E-5	9.3E-5
23.0	1.7779245271038245E-5	1.66E-4
24.0	4.063827490523027E-5	3.03E-4
25.0	2.133509432524589E-4	7.059999999999999E-4
26.0	0.0010756443388978138	0.0016020000000000001
27.0	0.0020395334218062445	0.0033690000000000005
28.0	0.0034720326122156114	0.006167999999999999
29.0	0.0013169340961476184	0.010352
30.0	0.0049756487837091315	0.015647
31.0	0.009886530316788053	0.022148
32.0	0.010647228025170331	0.028808
33.0	0.018212296887997102	0.035106000000000005
34.0	0.022641868852667203	0.041161
35.0	0.022928876669185395	0.047408
36.0	0.026310743108955023	0.052698999999999996
37.0	0.03532863029964378	0.057517000000000006
38.0	0.03195692342860046	0.061487999999999994
39.0	0.03816061008210202	0.063321
40.0	0.04726612355305517	0.060248
41.0	0.043171817356353226	0.055508
42.0	0.03888574929994222	0.051446000000000006
43.0	0.036434753344720516	0.048194
44.0	0.0228183913592868	0.044423
45.0	0.014201807133287192	0.040655000000000004
46.0	0.013560484357439024	0.03652
47.0	0.016203242172369785	0.032315
48.0	0.013063935435940742	0.028137999999999996
49.0	0.021708458475937695	0.02458
50.0	0.022434867639868687	0.020810000000000002
51.0	0.023742912113380785	0.017532
52.0	0.03564992666061326	0.014506999999999997
53.0	0.029339564535485467	0.012007
54.0	0.016031799450113342	0.010018
55.0	0.024814746614006233	0.008414999999999999
56.0	0.023553690145853307	0.007258
57.0	0.034451097550908964	0.006174999999999999
58.0	0.03678398851968734	0.005363000000000001
59.0	0.028628394724643937	0.0046159999999999994
60.0	0.034305053750468294	0.003946
61.0	0.03394184916850279	0.0034579999999999993
62.0	0.027971832595706313	0.002915
63.0	0.019093639475004285	0.0024610000000000005
64.0	0.022801882060106544	0.0019950000000000002
65.0	0.01454596252389086	0.0016779999999999998
66.0	0.016144824652193513	0.0013500000000000003
67.0	0.013354753090731298	0.001069
68.0	0.012618184358074	8.119999999999999E-4
69.0	0.011813038536514123	6.4E-4
70.0	0.006660867246185399	5.05E-4
71.0	0.006822150399715532	4.0299999999999993E-4
72.0	0.0014921866566764243	3.2E-4
73.0	7.733971692901636E-4	2.79E-4
74.0	1.3588423171436372E-4	2.0700000000000002E-4
75.0	3.174865226971115E-5	2.0099999999999998E-4
76.0	1.0159568726307568E-5	1.54E-4
77.0	6.34973045394223E-6	1.12E-4
78.0	5.079784363153784E-6	7.699999999999999E-5
79.0	1.269946090788446E-6	6.3E-5
80.0	6.34973045394223E-6	3.7E-5
81.0	1.269946090788446E-6	2.8000000000000003E-5
82.0	1.269946090788446E-6	1.6E-5
83.0	0.0	9.0E-6
84.0	1.269946090788446E-6	4.0E-6
85.0	0.0	0.0
86.0	1.269946090788446E-6	1.0E-6
87.0	0.0	0.0
88.0	1.269946090788446E-6	0.0
89.0	0.0	0.0
90.0	0.0	0.0
91.0	1.269946090788446E-6	0.0
92.0	0.0	0.0
93.0	3.8098382723653383E-6	0.0
94.0	7.6196765447306766E-6	0.0
95.0	2.4128975724980474E-5	0.0
96.0	5.460768190390318E-5	0.0
97.0	1.790623988011709E-4	0.0
98.0	3.6701442023786093E-4	0.0
99.0	7.429184631112409E-4	0.0
100.0	0.0038441268168166263	0.0
