#Coverage	Number of genomic locations
0.0	3.209279871E9
1.0	10179.0
2.0	9667.0
3.0	1187.0
4.0	2535.0
5.0	1063.0
6.0	1154.0
7.0	939.0
8.0	1739.0
9.0	756.0
10.0	1516.0
11.0	375.0
12.0	1465.0
13.0	615.0
14.0	1242.0
15.0	344.0
16.0	1123.0
17.0	863.0
18.0	1246.0
19.0	967.0
20.0	1269.0
21.0	454.0
22.0	1245.0
23.0	687.0
24.0	1080.0
25.0	605.0
26.0	1326.0
27.0	570.0
28.0	1361.0
29.0	719.0
30.0	1283.0
31.0	604.0
32.0	1381.0
33.0	889.0
34.0	1392.0
35.0	874.0
36.0	1598.0
37.0	720.0
38.0	1521.0
39.0	618.0
40.0	1517.0
41.0	1082.0
42.0	794.0
43.0	946.0
44.0	1246.0
45.0	556.0
46.0	1772.0
47.0	613.0
48.0	961.0
49.0	430.0
50.0	1097.0
51.0	888.0
52.0	1670.0
53.0	800.0
54.0	1808.0
55.0	786.0
56.0	1188.0
57.0	791.0
58.0	1285.0
59.0	928.0
60.0	1039.0
61.0	649.0
62.0	1047.0
63.0	444.0
64.0	1623.0
65.0	925.0
66.0	1138.0
67.0	1121.0
68.0	1792.0
69.0	1002.0
70.0	864.0
71.0	832.0
72.0	1078.0
73.0	735.0
74.0	882.0
75.0	528.0
76.0	1088.0
77.0	1058.0
78.0	940.0
79.0	529.0
80.0	865.0
81.0	407.0
82.0	912.0
83.0	418.0
84.0	1283.0
85.0	568.0
86.0	626.0
87.0	849.0
88.0	1305.0
89.0	382.0
90.0	1022.0
91.0	509.0
92.0	409.0
93.0	402.0
94.0	730.0
95.0	373.0
96.0	744.0
97.0	487.0
98.0	751.0
99.0	488.0
100.0	670.0
101.0	960.0
102.0	885.0
103.0	568.0
104.0	772.0
105.0	155.0
106.0	522.0
107.0	617.0
108.0	852.0
109.0	724.0
110.0	1107.0
111.0	255.0
112.0	473.0
113.0	299.0
114.0	591.0
115.0	561.0
116.0	801.0
117.0	249.0
118.0	670.0
119.0	335.0
120.0	770.0
121.0	565.0
122.0	627.0
123.0	591.0
124.0	548.0
125.0	340.0
126.0	525.0
127.0	244.0
128.0	580.0
129.0	516.0
130.0	910.0
131.0	551.0
132.0	568.0
133.0	297.0
134.0	619.0
135.0	509.0
136.0	459.0
137.0	354.0
138.0	672.0
139.0	617.0
140.0	406.0
141.0	620.0
142.0	531.0
143.0	249.0
144.0	837.0
145.0	333.0
146.0	376.0
147.0	362.0
148.0	332.0
149.0	603.0
150.0	803.0
151.0	470.0
152.0	809.0
153.0	321.0
154.0	468.0
155.0	353.0
156.0	595.0
157.0	334.0
158.0	794.0
159.0	319.0
160.0	347.0
161.0	245.0
162.0	618.0
163.0	482.0
164.0	550.0
165.0	370.0
166.0	626.0
167.0	576.0
168.0	488.0
169.0	612.0
170.0	521.0
171.0	344.0
172.0	215.0
173.0	268.0
174.0	214.0
175.0	121.0
176.0	449.0
177.0	156.0
178.0	320.0
179.0	214.0
180.0	574.0
181.0	204.0
182.0	511.0
183.0	497.0
184.0	435.0
185.0	128.0
186.0	762.0
187.0	132.0
188.0	215.0
189.0	649.0
190.0	216.0
191.0	167.0
192.0	323.0
193.0	255.0
194.0	191.0
