#Insert size (bp)	insert size
1.0	12.0
2.0	1.0
3.0	2.0
4.0	1.0
5.0	25.0
7.0	4.0
8.0	1.0
14.0	1.0
15.0	1.0
17.0	1.0
18.0	1.0
24.0	1.0
35.0	1.0
40.0	1.0
41.0	1.0
42.0	2.0
46.0	1.0
47.0	3.0
54.0	1.0
57.0	1.0
58.0	1.0
60.0	1.0
61.0	1.0
62.0	2.0
63.0	1.0
66.0	2.0
67.0	1.0
75.0	2.0
76.0	1.0
78.0	1.0
87.0	1.0
89.0	1.0
95.0	1.0
96.0	1.0
97.0	1.0
98.0	1.0
99.0	5.0
100.0	1.0
101.0	1.0
102.0	4.0
103.0	6.0
104.0	3.0
105.0	2.0
106.0	4.0
107.0	1.0
111.0	1.0
112.0	1.0
114.0	4.0
116.0	1.0
117.0	1.0
118.0	1.0
120.0	1.0
121.0	3.0
122.0	1.0
124.0	1.0
125.0	1.0
126.0	2.0
127.0	1.0
132.0	2.0
133.0	1.0
135.0	1.0
136.0	1.0
138.0	1.0
141.0	1.0
142.0	3.0
149.0	1.0
151.0	2.0
152.0	1.0
155.0	17.0
159.0	4.0
161.0	1.0
162.0	1.0
163.0	3.0
167.0	1.0
168.0	1.0
169.0	6.0
171.0	2.0
173.0	1.0
174.0	1.0
175.0	4.0
176.0	1.0
177.0	1.0
178.0	1.0
180.0	123.0
181.0	58.0
182.0	1.0
185.0	2.0
186.0	1.0
187.0	74.0
188.0	1.0
191.0	63.0
193.0	1.0
195.0	3.0
196.0	91.0
197.0	1.0
198.0	54.0
199.0	92.0
200.0	3.0
201.0	1.0
202.0	2.0
203.0	15.0
206.0	1.0
207.0	1.0
208.0	5.0
211.0	2.0
212.0	2.0
213.0	2.0
214.0	1.0
215.0	4.0
216.0	683.0
217.0	501.0
218.0	497.0
219.0	450.0
220.0	409.0
221.0	577.0
222.0	642.0
223.0	782.0
224.0	121.0
225.0	366.0
226.0	598.0
227.0	496.0
228.0	289.0
229.0	635.0
230.0	538.0
231.0	378.0
232.0	169.0
233.0	631.0
234.0	941.0
235.0	915.0
236.0	1187.0
237.0	503.0
238.0	830.0
239.0	1009.0
240.0	1807.0
241.0	14.0
242.0	45.0
244.0	82.0
245.0	90.0
248.0	2.0
249.0	49.0
250.0	64.0
251.0	2.0
252.0	4.0
253.0	94.0
254.0	1.0
255.0	70.0
256.0	84.0
257.0	8.0
258.0	58.0
260.0	1.0
261.0	2.0
263.0	135.0
264.0	2.0
266.0	1.0
267.0	59.0
268.0	1.0
269.0	2.0
270.0	525.0
271.0	201.0
272.0	312.0
273.0	81.0
274.0	364.0
275.0	377.0
276.0	317.0
277.0	142.0
278.0	215.0
279.0	312.0
280.0	123.0
281.0	186.0
282.0	23.0
283.0	300.0
284.0	278.0
285.0	362.0
286.0	395.0
287.0	283.0
288.0	84.0
289.0	190.0
290.0	139.0
291.0	331.0
292.0	70.0
293.0	209.0
294.0	306.0
295.0	266.0
296.0	399.0
297.0	271.0
298.0	281.0
299.0	338.0
300.0	689.0
301.0	3.0
302.0	1.0
305.0	1.0
307.0	52.0
308.0	53.0
310.0	63.0
311.0	9.0
312.0	5.0
313.0	1.0
314.0	2.0
315.0	264.0
316.0	240.0
317.0	156.0
318.0	151.0
319.0	64.0
320.0	167.0
321.0	119.0
322.0	160.0
323.0	79.0
324.0	155.0
325.0	202.0
326.0	369.0
327.0	405.0
328.0	279.0
329.0	181.0
330.0	101.0
331.0	228.0
332.0	79.0
333.0	5.0
334.0	322.0
335.0	387.0
336.0	142.0
337.0	84.0
338.0	139.0
339.0	300.0
340.0	221.0
341.0	58.0
342.0	283.0
343.0	108.0
344.0	90.0
345.0	258.0
346.0	330.0
347.0	289.0
348.0	310.0
349.0	282.0
350.0	665.0
351.0	24.0
352.0	2.0
354.0	1.0
355.0	3.0
356.0	1.0
359.0	1.0
360.0	3.0
362.0	7.0
364.0	1.0
366.0	2.0
367.0	1.0
368.0	1.0
371.0	3.0
374.0	1.0
375.0	5.0
376.0	2.0
384.0	1.0
389.0	1.0
391.0	2.0
393.0	1.0
394.0	2.0
397.0	1.0
398.0	2.0
399.0	2.0
403.0	2.0
406.0	1.0
408.0	2.0
409.0	1.0
410.0	1.0
414.0	1.0
421.0	1.0
425.0	1.0
426.0	3.0
428.0	3.0
431.0	1.0
432.0	2.0
435.0	1.0
447.0	1.0
449.0	3.0
451.0	1.0
452.0	20.0
461.0	4.0
471.0	1.0
476.0	3.0
486.0	1.0
491.0	3.0
493.0	1.0
495.0	1.0
496.0	1.0
506.0	1.0
511.0	1.0
517.0	1.0
523.0	1.0
532.0	1.0
536.0	1.0
547.0	1.0
548.0	1.0
557.0	1.0
563.0	1.0
570.0	2.0
579.0	1.0
584.0	1.0
588.0	1.0
