#Mapping quality	mapping quality
0.0	12890.0
1.0	367.0
2.0	447.0
3.0	2578.0
4.0	286.0
5.0	449.0
6.0	811.0
7.0	23.0
8.0	298.0
9.0	555.0
10.0	127.0
11.0	7.0
12.0	277.0
13.0	114.0
14.0	43.0
15.0	156.0
16.0	122.0
17.0	920.0
18.0	261.0
19.0	46.0
20.0	153.0
21.0	72.0
23.0	33.0
24.0	61.0
25.0	432.0
26.0	93.0
27.0	434.0
29.0	1.0
30.0	46.0
34.0	162.0
35.0	187.0
37.0	118.0
38.0	114.0
40.0	79.0
41.0	96.0
42.0	362.0
43.0	354.0
44.0	214.0
45.0	1694.0
46.0	127.0
48.0	190.0
49.0	104.0
50.0	154.0
51.0	259.0
52.0	223.0
53.0	87.0
55.0	109.0
56.0	432.0
57.0	1135.0
58.0	1656.0
59.0	8075.0
60.0	140024.0
