Sample	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate
BS_006_aligned	46.93198533844559	244	0.011032112211567212	0.006000857600274485	0.005413593320049279	0.004874748431349433	0.004697615715247974	0	0.1289	99.39784423465105	1750072.0	1760674.0	0.74
BS_008_aligned	48.87703726433125	270	0.011069377071454167	0.00610561049236474	0.005577483924568835	0.005071012103948041	0.004931611616377605	0	0.1236	99.4200094646053	1665998.0	1675717.0	0.84
BS_014_aligned	47.67026613726492	270	0.017238767804779277	0.0070875831714594766	0.006092679959878882	0.005319808012139799	0.0050829767412361605	0	0.3776	99.44670144283089	5095466.0	5123816.0	0.77
BS_026_aligned	46.7604551036047	240	0.009207224603942526	0.005516694842930498	0.005143391927959244	0.004769902065530364	0.004684467077394884	0	0.101	99.44538761356021	1374202.0	1381866.0	0.76
BS_027_aligned	46.72249157070335	250	0.01019418254857398	0.005647963116094164	0.005297187369766948	0.004811030506208275	0.004679606443496585	0	0.1225	99.45728610652432	1657579.0	1666624.0	0.7799999999999999
BS_028_aligned	48.46284964496845	270	0.013266975593767622	0.006469721824002673	0.005819736671743653	0.005213995751122992	0.0049642027898238895	0	0.1768	99.34303949954739	2389064.0	2404863.0	0.8699999999999999
BS_029_aligned	48.30562088428976	253	0.005054747675134503	0.004299916157056414	0.003836317620051382	0.002216044004799305	0.0013719450757043855	0	0.0026	99.19628104959534	35422.0	35709.0	0.8
BS_031_aligned	47.49224543572371	272	0.0063272990192006036	0.004938154777394546	0.004767907959315676	0.00449957604180191	0.004324624379372765	0	0.0165	99.45039206559491	222204.0	223432.0	0.76
BS_033_aligned	47.767894166146554	263	0.014316529778794471	0.006703343830217051	0.00596798600564176	0.005206019326264245	0.004920519400558411	0	0.2447	99.4613983058244	3304782.0	3322678.0	0.77
BS_034_aligned	49.33351940577438	272	0.0183006916799191	0.0076404491194813386	0.006514558055923518	0.005458741131066168	0.005196111111010021	0	0.282	99.3904391980487	3801407.0	3824721.0	0.8099999999999999
BS_036_aligned	47.24909444430985	241	0.009324160238688133	0.005464692291800624	0.005107965384738952	0.0047555382692026985	0.004674029177677384	0	0.1027	99.4424740419597	1393200.0	1401011.0	0.75
BS_038_aligned	48.444353114162524	258	0.01331997519800484	0.00668545919010408	0.005925455459031647	0.005089364112705079	0.004893038124287262	0	0.19	99.42041339814516	2565847.0	2580805.0	0.77
BS_040_aligned	48.328623949579836	270	0.01512654195478209	0.007212464073154225	0.0062709032028164975	0.005300209686998583	0.005027983030784257	0	0.1836	99.44079113946944	2474244.0	2488158.0	0.7799999999999999
BS_042_aligned	49.27051839513468	240	0.0111593611143919	0.005950849155359297	0.005405336474004092	0.004752017425417393	0.00451661941835556	0	0.0642	99.39631767418656	874621.0	879933.0	0.8099999999999999
BS_043_aligned	47.98908376040303	270	0.011909456630210109	0.006316175645471805	0.005629268370331477	0.00509104663982372	0.004907028025699672	0	0.1288	99.44365157522506	1739889.0	1749623.0	0.79
BS_044_aligned	48.28676457361908	272	0.01513501690619451	0.006684212873719901	0.005928135039257633	0.005218295542648409	0.005021439869767316	0	0.3113	99.43200137311577	4194185.0	4218144.0	0.95
BS_049_aligned	46.37454608169091	253	0.008671962874847195	0.005420323428523846	0.005038763667507406	0.0046071019878469645	0.004300383525700481	0	0.0649	99.39797771227002	878038.0	883356.0	0.77
BS_050_aligned	47.91980299713757	270	0.013985913199981352	0.006774352706205656	0.005995529597732119	0.005239389447450641	0.005000345964965084	0	0.1847	99.48592724844974	2492989.0	2505871.0	0.84
BS_051_aligned	49.39754712379359	274	0.006940611311855153	0.005080733371744638	0.0048299745152477975	0.004355003341237131	0.003947520199429765	0	0.0357	99.50144898550181	477598.0	479991.0	0.75
BS_052_aligned	48.55496578571521	267	0.01476716662540404	0.0068918180254145395	0.006020362451686888	0.005279240413834769	0.0050133699711797566	0	0.2128	99.53645627332179	2873938.0	2887322.0	0.79
BS_053_aligned	47.600574504505346	270	0.020708824197430014	0.007991287181627763	0.0066640225482962	0.005603656568636596	0.00535174486948439	0	0.5026	99.50226635561005	6778571.0	6812479.0	0.8099999999999999
BS_054_aligned	48.65202867221207	271	0.022499282314941752	0.009088201389253418	0.007210158387843494	0.005717351780783337	0.0053797558302188155	0	0.3463	99.34111781991803	4666852.0	4697805.0	0.8200000000000001
BS_055_aligned	48.32520857052751	270	0.020905119027938228	0.008277347949706478	0.006828006626544568	0.005643227113834284	0.005297498948862993	0	0.3719	99.44723576305421	5023058.0	5050978.0	0.79
BS_056_aligned	48.80037534326565	270	0.016284151770317272	0.007498867578238589	0.006369424512985858	0.005433035855642474	0.005145199086716304	0	0.2888	99.40701068620945	3895551.0	3918789.0	0.79
BS_058_aligned	48.55047891608402	253	0.017878439688959212	0.007487931151967418	0.006385159257336119	0.005412160056207473	0.005166791518072207	0	0.4181	99.42720485752518	5651325.0	5683882.0	0.7799999999999999
BS_059_aligned	48.442480185103136	271	0.01764304168189738	0.007592715201967278	0.0065442515437765855	0.005472699874568975	0.005173802047733215	0	0.316	99.43702851605455	4256403.0	4280501.0	0.8200000000000001
BS_063_aligned	48.15921310535991	271	0.01951507120675364	0.008113862398011781	0.006714716467222686	0.005403747420614264	0.005088522849145758	0	0.2867	99.41780785753343	3859963.0	3882567.0	0.8099999999999999
BS_066_aligned	48.18111360963546	272	0.02452893970448707	0.009522916544055099	0.007548221707052083	0.005836998153664534	0.005510774840105647	0	0.5326	99.43943790371333	7168603.0	7209014.0	0.83
BS_068_aligned	47.63123472969231	240	0.007707656730498198	0.005254158296603164	0.0049549177327617554	0.004407691366378304	0.003994630958751736	0	0.0752	99.47587671397913	1015592.0	1020943.0	0.76
BS_069_aligned	48.05306180732772	274	0.024347507196860192	0.009647828603659453	0.007504164422871351	0.005858559427110833	0.005447617757337369	0	0.3377	99.42214584179891	4546012.0	4572434.0	0.8099999999999999
BS_072_aligned	48.36334495320575	274	0.02537026557962719	0.009348525723998835	0.007477493252249917	0.0058103269830431	0.005487998408184773	0	0.547	99.40404780744775	7360326.0	7404453.0	0.83
BS_073_aligned	48.05400479484097	272	0.0214003116852822	0.008753658913830136	0.007235271662984703	0.005705355985585614	0.005340528022026778	0	0.3838	99.3994433752935	5172256.0	5203506.0	0.8099999999999999
BS_074_aligned	48.33967659068356	271	0.017690245914948166	0.007463627982475924	0.006373506199144044	0.005489151250840139	0.005187168790953536	0	0.3599	99.42115794250832	4848061.0	4876287.0	0.8099999999999999
BS_078_aligned	49.127695454446545	240	0.008148447677672751	0.005145292560445117	0.004858297055078268	0.0043665006098811835	0.003954499571181168	0	0.0571	99.38870497018969	770663.0	775403.0	0.79
BS_079_aligned	50.85848099755383	274	0.006326208492364447	0.004907900447168597	0.004665710015812988	0.0041627590389775	0.00356683285988225	0	0.0052	99.4603138438755	69847.0	70226.0	0.84
BS_081_aligned	49.76568450591299	275	0.005708035565811598	0.004756784585586878	0.004502380253666313	0.0038239167720288	0.003109278957340487	0	0.0046	99.44388352004103	62050.0	62397.0	0.8099999999999999
BS_083_aligned	47.955546723279404	272	0.025315521132452123	0.009654963764958878	0.0076969072516846525	0.0059785173790880735	0.005596147512421917	0	0.4815	99.43726831842416	6482231.0	6518915.0	0.8200000000000001
BS_085_aligned	48.43121977881951	271	0.016070564299978572	0.007005450921742071	0.0060550100471670676	0.005225773440953484	0.004949278151123344	0	0.1855	99.38692484533281	2505281.0	2520735.0	0.8200000000000001
BS_086_aligned	48.45739067484995	272	0.029581475168039655	0.01061777432964686	0.008413975383322114	0.0061561174638336	0.005699498298579971	0	0.5089	99.40143511078723	6851728.0	6892987.0	0.84
BS_087_aligned	46.95172810943515	270	0.009519395700269793	0.0054011301562074876	0.005063845784739011	0.004695777398581309	0.004517865734739739	0	0.0615	99.43959077816686	832021.0	836710.0	0.8
BS_088_aligned	47.97213953028537	270	0.012171151912978122	0.006322656490669536	0.005648243537280604	0.005033747244061085	0.004808724820897543	0	0.1132	99.43230998370231	1530132.0	1538868.0	0.8
BS_089_aligned	48.24267205594835	274	0.023879920447425786	0.009076330225694113	0.007191588273719225	0.005763590118636383	0.0054524160754164585	0	0.5764	99.42685520504581	7745876.0	7790527.0	0.84
BS_090_aligned	48.22318414538999	274	0.027848690341205806	0.009102378238123456	0.007288489372589152	0.00589096365309949	0.0055222097929304905	0	0.7215	99.4124331317266	9703072.0	9760421.0	0.8
BS_091_aligned	48.77859406006415	270	0.014905663533595945	0.006432238858748486	0.005785743392365167	0.005218794069202081	0.005004801546038525	0	0.3463	99.39360182969114	4668268.0	4696749.0	0.79
BS_092_ii_aligned	49.35513901339487	240	0.018686083863816892	0.007042404202532983	0.0061065140717432706	0.005283727152817814	0.005120459706490348	0	0.4807	99.41260328218407	6527183.0	6565750.0	0.75
BS_095_aligned	47.9925269675369	270	0.02066660522991595	0.0074057677443404085	0.006345277133042387	0.005403591631066242	0.005212655961009999	0	0.6525	99.37018651668946	8797497.0	8853256.0	0.77
BS_096_aligned	50.16417290108064	275	0.005855381320331176	0.00486804948078447	0.004672689387564391	0.004257198662988674	0.003744837997452634	0	0.006	99.45514255859084	79950.0	80388.0	0.83
BS_097_aligned	49.629594993165966	275	0.005602628357619648	0.004715811934456989	0.004454646336152252	0.0035383233725941525	0.0027263482483014497	0	0.0043	99.36667356940706	57581.0	57948.0	0.7799999999999999
BS_098_aligned	47.46529646945188	275	0.03858576830672821	0.013470000532750402	0.009913823677952883	0.006875117385866539	0.006091682906771539	0	0.6249	99.37977086835859	8411633.0	8464130.0	0.9199999999999999
BS_099_aligned	48.54327292638495	250	0.012782251994050753	0.006202854328240317	0.005675195129088479	0.005099864328241788	0.0049513034152476355	0	0.1477	99.47758638539153	1998640.0	2009136.0	0.8
BS_100_aligned	48.282999916192296	240	0.015037087596307635	0.0069376824683523314	0.006010298446884642	0.005211129223439379	0.0050182929208972635	0	0.2487	99.48402931724051	3370695.0	3388177.0	0.79
