Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
BS_006_aligned	BS_006_aligned.bam	1760674.0	1750072.0	413848996.0	413758848.0	30468.7534	244.0	14.4104	0.0074	0.1289	99.39784423465105
BS_008_aligned	BS_008_aligned.bam	1675717.0	1665998.0	396730480.0	396656430.0	30247.4847	270.0	14.8889	0.0084	0.1236	99.4200094646053
BS_014_aligned	BS_014_aligned.bam	5123816.0	5095466.0	1211969264.0	1211738517.0	28210.1075	270.0	15.8605	0.0077	0.3776	99.44670144283089
BS_026_aligned	BS_026_aligned.bam	1381866.0	1374202.0	324190444.0	324095664.0	32503.598	240.0	11.4292	0.0076	0.101	99.44538761356021
BS_027_aligned	BS_027_aligned.bam	1666624.0	1657579.0	393311856.0	393240369.0	28965.7921	253.0	13.0778	0.0078	0.1225	99.45728610652432
BS_028_aligned	BS_028_aligned.bam	2404863.0	2389064.0	567463135.0	567354670.0	26700.9809	270.0	16.263	0.0087	0.1768	99.34303949954739
BS_029_aligned	BS_029_aligned.bam	35709.0	35422.0	8450551.0	8447916.0	37877.0766	255.0	3.9296	0.008	0.0026	99.19628104959534
BS_031_aligned	BS_031_aligned.bam	223432.0	222204.0	52889546.0	52879766.0	30666.3476	272.0	8.2181	0.0076	0.0165	99.45039206559491
BS_033_aligned	BS_033_aligned.bam	3322678.0	3304782.0	785353681.0	785181471.0	30850.0485	263.0	16.2829	0.0077	0.2447	99.4613983058244
BS_034_aligned	BS_034_aligned.bam	3824721.0	3801407.0	905063018.0	904845247.0	31740.6414	272.0	17.9067	0.0081	0.282	99.3904391980487
BS_036_aligned	BS_036_aligned.bam	1401011.0	1393200.0	329461186.0	329393630.0	32084.507	242.0	12.4389	0.0075	0.1027	99.4424740419597
BS_038_aligned	BS_038_aligned.bam	2580805.0	2565847.0	609662967.0	609528196.0	37922.9255	262.0	15.6455	0.0077	0.19	99.42041339814516
