Module	Section	Sample Name	Source
QualiMap	genome_results	BS_187_aligned	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/MultiQC_Results/aligned_bam/BS_187_aligned/genome_results.txt
QualiMap	genome_results	BS_435_aligned	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/MultiQC_Results/aligned_bam/BS_435_aligned/genome_results.txt
QualiMap	genome_results	BS_033_aligned	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/MultiQC_Results/aligned_bam/BS_033_aligned/genome_results.txt
QualiMap	genome_results	BS_315_aligned	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/MultiQC_Results/aligned_bam/BS_315_aligned/genome_results.txt
QualiMap	genome_results	BS_189_aligned	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/MultiQC_Results/aligned_bam/BS_189_aligned/genome_results.txt
QualiMap	genome_results	BS_102_aligned	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/MultiQC_Results/aligned_bam/BS_102_aligned/genome_results.txt
QualiMap	genome_results	BS_413_aligned	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/MultiQC_Results/aligned_bam/BS_413_aligned/genome_results.txt
QualiMap	genome_results	BS_363_aligned	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/MultiQC_Results/aligned_bam/BS_363_aligned/genome_results.txt
QualiMap	genome_results	BS_272_aligned	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/MultiQC_Results/aligned_bam/BS_272_aligned/genome_results.txt
QualiMap	genome_results	BS_291_aligned	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/MultiQC_Results/aligned_bam/BS_291_aligned/genome_results.txt
QualiMap	genome_results	BS_447_aligned	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/MultiQC_Results/aligned_bam/BS_447_aligned/genome_results.txt
QualiMap	genome_results	BS_293_aligned	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/MultiQC_Results/aligned_bam/BS_293_aligned/genome_results.txt
QualiMap	genome_results	BS_487_aligned	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/MultiQC_Results/aligned_bam/BS_487_aligned/genome_results.txt
QualiMap	genome_results	BS_373_aligned	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/MultiQC_Results/aligned_bam/BS_373_aligned/genome_results.txt
QualiMap	genome_results	BS_482_aligned	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/MultiQC_Results/aligned_bam/BS_482_aligned/genome_results.txt
QualiMap	genome_results	BS_401_aligned	/media/Second_stor/wasif/WK_Rprojects/RP_230718_Taste_Genes_Analysis_1/MultiQC_Results/aligned_bam/BS_401_aligned/genome_results.txt
