#Position (bp)	Coverage
4011823.0	9.689699506894934
1.2035468E7	5.100978296023815
2.0059113E7	1.9361112063158328
2.8082758E7	0.0011897335936472762
3.6106403E7	8.132214224333206E-4
4.4130048E7	3.22422041354023E-4
5.2153693E7	6.726369374517442E-4
6.0177338E7	1.2774742651251394E-4
6.8200983E7	1.5304764854377282E-4
7.6224628E7	6.430992398093385E-5
8.4248273E7	1.310568700384925
9.2271918E7	1.4407417077899135E-4
1.00295563E8	1.9018787595911834E-4
1.08319208E8	3.1232687886864385E-4
1.16342853E8	1.70122182623982E-4
1.24366498E8	3.86358070428091E-6
1.32390143E8	0.0
1.40413788E8	1.5507471978134626
1.48437433E8	1.1014158776964833
1.56461078E8	2.289483146375494E-4
1.64484723E8	4.257442097699985
1.72508368E8	1.0232257284563313E-4
1.80532013E8	2.9612476623778843E-4
1.88555658E8	1.0082699321816955E-4
1.96579303E8	1.8470408399175187E-4
2.04602948E8	2.0115545989385123E-4
2.12626593E8	3.15318038123571E-5
2.20650238E8	4.0604986885636144E-4
2.28673883E8	3.7003132616161355E-4
2.36697528E8	5.658276257237203E-5
2.44721173E8	6.430992398093385E-5
2.48844709E8	0.0012487300102494328
2.528565315E8	3.8729686785677014E-4
2.60768463E8	0.0010962598669308026
2.68792108E8	4.21753454944729E-4
2.76815753E8	3.3214330893253626E-4
2.84839398E8	0.45200367164798544
2.92863043E8	1.5890533541800515E-4
3.00886688E8	8.605814439696671E-4
3.08910333E8	2.710738074777735E-4
3.16933978E8	4.774637960677473E-4
3.24957623E8	3.979488125409337E-4
3.32981268E8	3.004868734845572E-4
3.41004913E8	4.645567569352831
3.49028558E8	9.934387675426817E-4
3.57052203E8	3.888507031405303E-4
3.65075848E8	7.206201171662006E-4
3.73099493E8	0.9165935182825262
3.81123138E8	4.0455428922889783E-4
3.89146783E8	1.8420555744926402E-4
3.97170428E8	1.668817600978109E-4
4.05194073E8	5.511210927203285E-4
4.13217718E8	2.7306791364772496E-4
4.21241363E8	5.910032161193572E-4
4.29265008E8	7.814403553497195E-5
4.37288653E8	7.926572025556963E-5
4.45312298E8	1.137886833228539E-4
4.53335943E8	3.393719437986102E-4
4.61359588E8	2.518805355919909E-4
4.69383233E8	8.89495983433963E-4
4.77406878E8	0.001520132059681105
4.85430523E8	5.533644621615239E-4
4.902961485E8	0.0028209083359978823
4.94307971E8	7.06138768300829E-5
5.01477813E8	5.497501447284869E-4
5.09501458E8	1.0855415462673137E-4
5.17525103E8	1.534215434506387E-4
5.25548748E8	5.42147614955547E-5
5.33572393E8	2.5861064391557705E-4
5.41596038E8	1.21100808921631
5.49619683E8	1.4644217185580868E-4
5.57643328E8	2.0140472316509516E-4
5.65666973E8	8.325393259547251E-5
5.73690618E8	1.105482607966828E-4
5.81714263E8	1.059368902786701E-4
5.89737908E8	4.611370518012699E-5
5.97761553E8	1.7585523786259238E-4
6.05785198E8	5.648305726387446E-4
6.13808843E8	1.424539595159058E-4
6.21832488E8	3.0172634756398122
6.29856133E8	1.3697016754853934E-4
6.37879778E8	3.340127834668657E-4
6.45903423E8	2.7633842225073515
6.53927068E8	4.9977285884407896E-5
6.61950713E8	6.468381888779975E-5
6.69974358E8	1.034442575662308E-4
6.77998003E8	1.8906619123852065E-4
6.85727668E8	4.7110656247541417E-4
6.897394905E8	1.649772093339683E-4
6.94045293E8	6.410125447972836
7.02068938E8	8.649435512164359E-5
7.10092583E8	0.001144616941552125
7.18116228E8	1.0680931172802386E-4
7.26139873E8	4.9852654248785935E-5
7.34163518E8	1.304893224961972E-4
7.42187163E8	5.050073875402015E-4
7.50210808E8	1.6426449574974964E-4
7.58234453E8	1.5940386196049302E-4
7.66258098E8	2.1810536233843845E-4
7.74281743E8	3.0534750727381386E-4
7.82305388E8	8.312930095985054E-5
7.90329033E8	7.353266501695925E-5
7.98352678E8	1.0755710154175565E-4
8.06376323E8	7.465434973755693E-5
8.14399968E8	1.3946280026097863E-4
8.22423613E8	4.1103513428124E-4
8.30447258E8	8.275540605298464E-5
8.38470903E8	4.342166185069255E-4
8.46494548E8	1.839562941780201E-4
8.54518193E8	3.269087802364138E-4
8.62541838E8	1.5865607214676124E-4
8.70565483E8	9.28505685383638E-5
8.771186855E8	5.087786950397029E-4
8.81130508E8	4.4340394133058584E-4
8.86612773E8	0.858920228898462
8.94636418E8	6.368676580282403E-5
9.02660063E8	1.0481520555807243E-4
9.10683708E8	3.5395384516638014E-4
9.18707353E8	7.415582319506907E-5
9.26730998E8	1.0606152191429207E-4
9.34754643E8	0.0020819714730649225
9.42778288E8	1.38216483904759E-4
9.50801933E8	7.26602435676055E-5
9.58825578E8	1.4930869947511386E-4
9.66849223E8	2.0551756714062E-4
9.74872868E8	2.4253316292034355E-4
9.82896513E8	6.605476687964136E-5
9.90920158E8	3.467252103003062E-4
9.98943803E8	5.907539528481133E-5
1.006967448E9	4.1751597933358216E-5
1.014991093E9	6.472120837848634E-4
1.023014738E9	1.3011542758933128E-4
1.031038383E9	1.105482607966828E-4
1.039062028E9	1.0369352083747474E-4
1.047085673E9	4.636296845137092E-5
1.055109318E9	9.472004307269327E-4
1.0601597325E9	3.562515405472024E-5
1.064171555E9	2.85043490573637E-4
1.071156608E9	2.5350074685507646E-4
1.079180253E9	5.271918186809112E-4
1.087203898E9	7.7909847706372855
1.095227543E9	8.430083833469701E-4
1.103251188E9	3.547016349801119E-4
1.111274833E9	1.463175402201867E-4
1.119298478E9	1.5491712307810228E-4
1.127322123E9	4.686149499385878E-5
1.135345768E9	4.0879176484004466E-5
1.143369413E9	3.975749176340678E-5
1.151393058E9	8.82391980203511E-5
1.159416703E9	1.2164047636703767E-4
1.167440348E9	1.868228217973253E-4
1.175463993E9	9.521856961518114E-5
1.183487638E9	6.580550360839743E-5
1.191511283E9	6.057097491227491E-5
1.199534928E9	0.5235029715297723
1.207558573E9	13.30090750525478
1.215582218E9	1.5491712307810228E-4
1.223605863E9	2.819167597768844E-4
1.2298109945E9	0.003022829888538277
1.233822817E9	0.0052185480063799364
1.239653153E9	2.7043013493244032
1.247676798E9	9.546783288642506E-5
1.255700443E9	1.9330366684966745E-4
1.263724088E9	6.02220063325334E-4
1.271747733E9	1.5117817400944335E-4
1.279771378E9	4.971555944960177E-4
1.287795023E9	1.5578954452745604E-4
1.295818668E9	1.8121439819433687E-4
1.303842313E9	0.0021452843439608805
1.311865958E9	2.554228782554562
1.319889603E9	0.019897315995411065
1.327913248E9	1.7635376440508025E-4
1.335936893E9	0.0013721943081978327
1.343960538E9	1.0967583934732905E-4
1.351984183E9	27.666194105048266
1.360007828E9	8.281772187079563E-4
1.368031473E9	7.791969859085241E-4
1.376055118E9	6.127528573360362
1.384078763E9	4.92668855613627E-4
1.389720431E9	0.04706979894720082
1.3937322535E9	0.0012160067036751405
1.400126053E9	9.604113841028609E-4
1.408149698E9	3.317694140256704E-4
1.416173343E9	3.6691553527106444E-4
1.424196988E9	4.436886228141948E-4
1.432220633E9	4.53659153663952E-5
1.440244278E9	1.7273944697204327E-4
1.448267923E9	8.474951222293609E-5
1.456291568E9	1.230114243588793E-4
1.464315213E9	2.1872852051654828E-4
1.472338858E9	9.336155824441385E-4
1.480362503E9	8.425098568044822E-5
1.488386148E9	4.4206841155110927E-4
1.496409793E9	4.8738633127462645
1.504433438E9	2.0913188457365699E-4
1.512457083E9	9.147962054652219E-5
1.520480728E9	4.919210657998951E-4
1.528504373E9	8.779052413211203E-4
1.534502554E9	0.0030070100638933004
1.5385143765E9	2.1081589206226327E-4
1.544551663E9	2.6446833078980935E-4
1.552575308E9	3.039765592819722E-4
1.560598953E9	7.889182534870374E-5
1.568622598E9	1.3547458792107577E-4
1.576646243E9	0.009613461213700257
1.584669888E9	7.602529772939855E-6
1.592693533E9	0.0
1.600717178E9	0.004191860432509165
1.608740823E9	5.0600444062517724E-5
1.616764468E9	1.5671986983471975
1.624788113E9	0.0038917474539314737
1.632811758E9	3.0946035124933865E-4
1.640835403E9	1.7809860730378773E-4
1.648859048E9	1.7460892150637273E-4
1.656882693E9	0.0012090514971686808
1.664906338E9	5.872284853081112
1.671900895E9	0.0020526466569518675
1.6759127175E9	0.007450771945645076
1.680953628E9	0.0010189882528451844
1.688977273E9	2.3268726370620835E-4
1.697000918E9	1.3024005922495326E-4
1.705024563E9	5.239513961547401E-4
1.713048208E9	3.389980488917444E-5
1.721071853E9	8.428837517113481E-4
1.729095498E9	4.013138667027268E-5
