#GC Content (%)	Sample	HUMAN (hg19)
1.0	3.624607199376049E-5	0.0
2.0	1.2297774426454456E-5	3.0E-6
3.0	1.9417538568085982E-5	3.0E-6
4.0	2.006478985368885E-5	1.0E-5
5.0	2.006478985368885E-5	8.0E-6
6.0	1.3592276997660186E-5	1.2000000000000002E-5
7.0	1.5534030854468785E-5	6.999999999999999E-6
8.0	8.414266712837259E-6	9.999999999999999E-6
9.0	1.1003271855248724E-5	1.6E-5
10.0	1.3592276997660189E-5	1.5000000000000002E-5
11.0	8.414266712837259E-6	1.9999999999999998E-5
12.0	7.767015427234392E-6	1.6E-5
13.0	5.178010284822929E-6	1.6E-5
14.0	1.941753856808598E-6	2.4999999999999998E-5
15.0	6.47251285602866E-6	2.2000000000000003E-5
16.0	3.23625642801433E-6	2.6999999999999996E-5
17.0	6.4725128560286605E-6	3.3E-5
18.0	7.767015427234392E-6	3.7000000000000005E-5
19.0	5.178010284822928E-6	4.7000000000000004E-5
20.0	5.825261570425794E-6	5.4999999999999995E-5
21.0	8.414266712837259E-6	6.400000000000001E-5
22.0	1.8770287282483113E-5	9.3E-5
23.0	2.5242800138511776E-5	1.66E-4
24.0	4.6602092563406354E-5	3.03E-4
25.0	2.2265444224738593E-4	7.059999999999999E-4
26.0	9.79938446402739E-4	0.0016020000000000001
27.0	0.0019527571286638468	0.0033690000000000005
28.0	0.0032401399357279478	0.006167999999999999
29.0	0.001371525474192473	0.010352
30.0	0.005442088809348898	0.015647
31.0	0.009123006870572397	0.022148
32.0	0.010477056560053594	0.028808
33.0	0.01754309884498008	0.035106000000000005
34.0	0.022188421321751854	0.041161
35.0	0.023055738044459692	0.047408
36.0	0.026861575603804543	0.052698999999999996
37.0	0.03543765513804251	0.057517000000000006
38.0	0.032533438619542464	0.061487999999999994
39.0	0.037536691057252616	0.063321
40.0	0.046477820316570606	0.060248
41.0	0.04219625306230764	0.055508
42.0	0.03933540237994297	0.051446000000000006
43.0	0.03769850387865333	0.048194
44.0	0.02339166146168758	0.044423
45.0	0.011766381120974502	0.040655000000000004
46.0	0.011759908608118473	0.03652
47.0	0.013691306444357424	0.032315
48.0	0.013163149395305485	0.028137999999999996
49.0	0.021127576464648756	0.02458
50.0	0.024172893763410235	0.020810000000000002
51.0	0.02715478043618264	0.017532
52.0	0.0392279586665329	0.014506999999999997
53.0	0.031027284877944587	0.012007
54.0	0.01692173761080133	0.010018
55.0	0.025350891103207453	0.008414999999999999
56.0	0.025039563234832474	0.007258
57.0	0.035675196359858774	0.006174999999999999
58.0	0.039004009721714306	0.005363000000000001
59.0	0.0286123903313603	0.0046159999999999994
60.0	0.03729138282000913	0.003946
61.0	0.03700594500305827	0.0034579999999999993
62.0	0.02970689225531474	0.002915
63.0	0.01785636846721187	0.0024610000000000005
64.0	0.023959948090446895	0.0019950000000000002
65.0	0.013908135625034384	0.0016779999999999998
66.0	0.015583869203460205	0.0013500000000000003
67.0	0.011026572901530425	0.001069
68.0	0.011256347107919442	8.119999999999999E-4
69.0	0.008458927051543856	6.4E-4
70.0	0.004786423257033195	5.05E-4
71.0	0.004209075110275439	4.0299999999999993E-4
72.0	9.436923744089787E-4	3.2E-4
73.0	4.3301111006831743E-4	2.79E-4
74.0	8.090641070035824E-5	2.0700000000000002E-4
75.0	2.2653794996100314E-5	2.0099999999999998E-4
76.0	1.2945025712057321E-5	1.54E-4
77.0	1.0356020569645858E-5	1.12E-4
78.0	3.883507713617196E-6	7.699999999999999E-5
79.0	1.941753856808598E-6	6.3E-5
80.0	1.294502571205732E-6	3.7E-5
81.0	1.941753856808598E-6	2.8000000000000003E-5
82.0	2.589005142411464E-6	1.6E-5
83.0	1.294502571205732E-6	9.0E-6
84.0	0.0	4.0E-6
85.0	6.47251285602866E-7	0.0
86.0	0.0	1.0E-6
87.0	0.0	0.0
88.0	0.0	0.0
89.0	6.47251285602866E-7	0.0
90.0	1.294502571205732E-6	0.0
91.0	1.294502571205732E-6	0.0
92.0	6.47251285602866E-7	0.0
93.0	1.294502571205732E-6	0.0
94.0	5.825261570425794E-6	0.0
95.0	1.5534030854468785E-5	0.0
96.0	4.983834899142069E-5	0.0
97.0	1.2103599040773596E-4	0.0
98.0	2.7637629895242385E-4	0.0
99.0	3.812310072200881E-4	0.0
100.0	0.0014899724594577978	0.0
