#Duplication rate	Coverage
1.0	14893.0
2.0	3566.0
3.0	1272.0
4.0	677.0
5.0	434.0
6.0	321.0
7.0	274.0
8.0	214.0
9.0	129.0
10.0	157.0
11.0	92.0
12.0	102.0
13.0	90.0
14.0	71.0
15.0	63.0
16.0	67.0
17.0	60.0
18.0	55.0
19.0	51.0
20.0	51.0
21.0	31.0
22.0	32.0
23.0	39.0
24.0	29.0
25.0	37.0
26.0	29.0
27.0	37.0
28.0	32.0
29.0	22.0
30.0	15.0
31.0	25.0
32.0	17.0
33.0	16.0
34.0	23.0
35.0	12.0
36.0	15.0
37.0	12.0
38.0	14.0
39.0	22.0
40.0	10.0
41.0	12.0
42.0	19.0
43.0	13.0
44.0	14.0
45.0	6.0
46.0	6.0
47.0	14.0
48.0	7.0
49.0	6.0
50.0	1386.0
