#Duplication rate	Coverage
1.0	17496.0
2.0	4603.0
3.0	1648.0
4.0	989.0
5.0	583.0
6.0	467.0
7.0	275.0
8.0	241.0
9.0	186.0
10.0	176.0
11.0	123.0
12.0	136.0
13.0	122.0
14.0	100.0
15.0	71.0
16.0	80.0
17.0	64.0
18.0	77.0
19.0	46.0
20.0	58.0
21.0	53.0
22.0	40.0
23.0	33.0
24.0	34.0
25.0	39.0
26.0	42.0
27.0	28.0
28.0	27.0
29.0	26.0
30.0	39.0
31.0	19.0
32.0	29.0
33.0	29.0
34.0	19.0
35.0	21.0
36.0	21.0
37.0	20.0
38.0	15.0
39.0	16.0
40.0	21.0
41.0	17.0
42.0	27.0
43.0	21.0
44.0	15.0
45.0	11.0
46.0	16.0
47.0	10.0
48.0	14.0
49.0	16.0
50.0	1554.0
