#Mapping quality	mapping quality
0.0	107658.0
1.0	3334.0
2.0	2773.0
3.0	4973.0
4.0	2101.0
5.0	3253.0
6.0	2024.0
7.0	1931.0
8.0	1706.0
9.0	882.0
10.0	1313.0
11.0	1229.0
12.0	973.0
13.0	1032.0
14.0	1210.0
15.0	792.0
16.0	1559.0
17.0	1239.0
18.0	1298.0
19.0	519.0
20.0	640.0
21.0	398.0
22.0	556.0
23.0	324.0
24.0	558.0
25.0	1074.0
26.0	1186.0
27.0	755.0
28.0	529.0
29.0	426.0
30.0	420.0
31.0	199.0
32.0	289.0
33.0	716.0
34.0	375.0
35.0	385.0
36.0	514.0
37.0	190.0
38.0	373.0
39.0	148.0
40.0	1962.0
41.0	769.0
42.0	962.0
43.0	592.0
44.0	337.0
45.0	2378.0
46.0	158.0
47.0	282.0
48.0	724.0
49.0	310.0
50.0	446.0
51.0	447.0
52.0	412.0
53.0	520.0
54.0	1035.0
55.0	614.0
56.0	588.0
57.0	1721.0
58.0	2210.0
59.0	95812.0
60.0	293235.0
