#Position (bp)	insert size
4011823.0	18881.607159472733
1.2035468E7	1854.168560127914
2.0059113E7	19396.766659007353
2.8082758E7	170.55555555555554
3.6106403E7	246.86666666666667
4.4130048E7	174.66666666666666
5.2153693E7	164.1
6.0177338E7	395.3333333333333
6.8200983E7	2.4152007666666668E7
7.6224628E7	0.0
8.4248273E7	3465.402801867912
9.2271918E7	246.0
1.00295563E8	0.0
1.08319208E8	264.0
1.16342853E8	90.0
1.24366498E8	0.0
1.32390143E8	0.0
1.40413788E8	230.1114185110664
1.48437433E8	231.88735948612066
1.56461078E8	287.5
1.64484723E8	292.02962211514074
1.72508368E8	355.0
1.80532013E8	142.0
1.88555658E8	88.0
1.96579303E8	159.0
2.04602948E8	296.8
2.12626593E8	123.0
2.20650238E8	197.6153846153846
2.28673883E8	179.55
2.36697528E8	245.0
2.44721173E8	0.0
2.48844709E8	0.0
2.528565315E8	324.0
2.60768463E8	253.75
2.68792108E8	267.5
2.76815753E8	169.10526315789474
2.84839398E8	6.604643204958678E7
2.92863043E8	252.33333333333334
3.00886688E8	306.8
3.08910333E8	266.0
3.16933978E8	143.5
3.24957623E8	215.8
3.32981268E8	442.0
3.41004913E8	232.68610911701364
3.49028558E8	321.3333333333333
3.57052203E8	173.88888888888889
3.65075848E8	294.6666666666667
3.73099493E8	14784.134632418069
3.81123138E8	209.8181818181818
3.89146783E8	0.0
3.97170428E8	0.0
4.05194073E8	0.0
4.13217718E8	0.0
4.21241363E8	584.0
4.29265008E8	0.0
4.37288653E8	0.0
4.45312298E8	386.0
4.53335943E8	0.0
4.61359588E8	266.0
4.69383233E8	208.0
4.77406878E8	213.29310344827587
4.85430523E8	0.0
4.902961485E8	236.0
4.94307971E8	224.0
5.01477813E8	225.9
5.09501458E8	171.6
5.17525103E8	162.0
5.25548748E8	285.0
5.33572393E8	231.0
5.41596038E8	12578.37524590164
5.49619683E8	0.0
5.57643328E8	143.0
5.65666973E8	336.3333333333333
5.73690618E8	0.0
5.81714263E8	0.0
5.89737908E8	118.0
5.97761553E8	0.0
6.05785198E8	206.0
6.13808843E8	0.0
6.21832488E8	288.8824194460147
6.29856133E8	228.33333333333334
