#Duplication rate	Coverage
1.0	16802.0
2.0	4040.0
3.0	1463.0
4.0	799.0
5.0	529.0
6.0	359.0
7.0	280.0
8.0	212.0
9.0	157.0
10.0	138.0
11.0	114.0
12.0	132.0
13.0	100.0
14.0	75.0
15.0	89.0
16.0	79.0
17.0	57.0
18.0	50.0
19.0	61.0
20.0	49.0
21.0	39.0
22.0	48.0
23.0	29.0
24.0	36.0
25.0	30.0
26.0	37.0
27.0	44.0
28.0	38.0
29.0	23.0
30.0	25.0
31.0	34.0
32.0	17.0
33.0	23.0
34.0	22.0
35.0	12.0
36.0	23.0
37.0	27.0
38.0	10.0
39.0	18.0
40.0	13.0
41.0	19.0
42.0	16.0
43.0	11.0
44.0	18.0
45.0	19.0
46.0	14.0
47.0	8.0
48.0	15.0
49.0	6.0
50.0	1429.0
