#Insert size (bp)	insert size
1.0	373.0
2.0	49.0
3.0	51.0
4.0	22.0
5.0	174.0
6.0	10.0
7.0	13.0
8.0	6.0
9.0	9.0
10.0	8.0
11.0	13.0
12.0	14.0
13.0	11.0
14.0	8.0
15.0	4.0
16.0	8.0
17.0	5.0
18.0	5.0
19.0	6.0
20.0	6.0
21.0	6.0
22.0	9.0
23.0	4.0
24.0	6.0
25.0	2.0
26.0	1.0
28.0	2.0
29.0	4.0
30.0	4.0
31.0	2.0
34.0	12.0
35.0	7.0
36.0	4.0
37.0	3.0
38.0	11.0
39.0	5.0
40.0	2.0
41.0	5.0
42.0	9.0
43.0	7.0
44.0	6.0
45.0	10.0
46.0	6.0
47.0	15.0
48.0	18.0
49.0	13.0
50.0	5.0
51.0	15.0
52.0	9.0
53.0	11.0
54.0	11.0
55.0	9.0
56.0	16.0
57.0	13.0
58.0	8.0
59.0	12.0
60.0	6.0
61.0	13.0
62.0	7.0
63.0	17.0
64.0	10.0
65.0	11.0
66.0	6.0
67.0	15.0
68.0	17.0
69.0	10.0
70.0	12.0
71.0	13.0
72.0	15.0
73.0	12.0
74.0	8.0
75.0	17.0
76.0	13.0
77.0	11.0
78.0	13.0
79.0	9.0
80.0	10.0
81.0	9.0
82.0	9.0
83.0	7.0
84.0	5.0
85.0	9.0
86.0	8.0
87.0	16.0
88.0	16.0
89.0	8.0
90.0	10.0
91.0	16.0
92.0	12.0
93.0	10.0
94.0	15.0
95.0	20.0
96.0	25.0
97.0	25.0
98.0	21.0
99.0	122.0
100.0	71.0
101.0	25.0
102.0	28.0
103.0	35.0
104.0	66.0
105.0	22.0
106.0	32.0
107.0	15.0
108.0	29.0
109.0	18.0
110.0	21.0
111.0	30.0
112.0	25.0
113.0	37.0
114.0	121.0
115.0	13.0
116.0	68.0
117.0	34.0
118.0	36.0
119.0	28.0
120.0	25.0
121.0	52.0
122.0	30.0
123.0	30.0
124.0	29.0
125.0	15.0
126.0	55.0
127.0	19.0
128.0	38.0
129.0	17.0
130.0	30.0
131.0	40.0
132.0	28.0
133.0	23.0
134.0	19.0
135.0	33.0
136.0	90.0
137.0	43.0
138.0	51.0
139.0	37.0
140.0	44.0
141.0	34.0
142.0	27.0
143.0	28.0
144.0	42.0
145.0	15.0
146.0	23.0
147.0	32.0
148.0	45.0
149.0	34.0
150.0	57.0
151.0	85.0
152.0	28.0
153.0	32.0
154.0	19.0
155.0	327.0
156.0	32.0
157.0	15.0
158.0	38.0
159.0	68.0
160.0	14.0
161.0	19.0
162.0	15.0
163.0	40.0
164.0	17.0
165.0	39.0
166.0	26.0
167.0	17.0
168.0	27.0
169.0	55.0
170.0	24.0
171.0	29.0
172.0	23.0
173.0	42.0
174.0	52.0
175.0	34.0
176.0	39.0
177.0	32.0
178.0	30.0
179.0	45.0
180.0	7885.0
181.0	4489.0
182.0	36.0
183.0	24.0
184.0	32.0
185.0	40.0
186.0	50.0
187.0	5993.0
188.0	39.0
189.0	32.0
190.0	37.0
191.0	5395.0
192.0	30.0
193.0	36.0
194.0	39.0
195.0	43.0
196.0	7063.0
197.0	33.0
198.0	5585.0
199.0	5905.0
200.0	76.0
201.0	17.0
202.0	39.0
203.0	375.0
204.0	26.0
205.0	35.0
206.0	78.0
207.0	99.0
208.0	191.0
209.0	37.0
210.0	65.0
211.0	60.0
212.0	71.0
213.0	114.0
214.0	112.0
215.0	320.0
216.0	36317.0
217.0	24407.0
218.0	27265.0
219.0	24569.0
220.0	19457.0
221.0	21342.0
222.0	32550.0
223.0	31689.0
224.0	7401.0
225.0	14372.0
226.0	24860.0
227.0	29069.0
228.0	10806.0
229.0	33771.0
230.0	24171.0
231.0	20697.0
232.0	9193.0
233.0	17710.0
234.0	51609.0
235.0	43758.0
236.0	33625.0
237.0	25897.0
238.0	34349.0
239.0	36408.0
240.0	79421.0
241.0	225.0
242.0	2399.0
243.0	33.0
244.0	2561.0
245.0	3235.0
246.0	112.0
247.0	23.0
248.0	21.0
249.0	2275.0
250.0	4855.0
251.0	85.0
252.0	168.0
253.0	4229.0
254.0	28.0
255.0	422.0
256.0	3513.0
257.0	143.0
258.0	3447.0
259.0	26.0
260.0	41.0
261.0	47.0
262.0	24.0
263.0	5299.0
264.0	45.0
265.0	54.0
266.0	112.0
267.0	2670.0
268.0	47.0
269.0	172.0
270.0	27506.0
271.0	10364.0
272.0	12469.0
273.0	2328.0
274.0	17966.0
275.0	15813.0
276.0	13798.0
277.0	5734.0
278.0	9008.0
279.0	13993.0
280.0	3284.0
281.0	5142.0
282.0	1334.0
283.0	15737.0
284.0	11398.0
285.0	12465.0
286.0	18601.0
287.0	10907.0
288.0	4777.0
289.0	7498.0
290.0	6816.0
291.0	14312.0
292.0	2864.0
293.0	9699.0
294.0	12553.0
295.0	9971.0
296.0	14176.0
297.0	11525.0
298.0	12276.0
299.0	16352.0
300.0	29155.0
301.0	79.0
302.0	25.0
303.0	23.0
304.0	10.0
305.0	22.0
306.0	55.0
307.0	3650.0
308.0	2189.0
309.0	104.0
310.0	1857.0
311.0	642.0
312.0	66.0
313.0	91.0
314.0	126.0
315.0	14792.0
316.0	8462.0
317.0	5087.0
318.0	6172.0
319.0	1161.0
320.0	6402.0
321.0	6561.0
322.0	7828.0
323.0	1939.0
324.0	3402.0
325.0	6932.0
326.0	17805.0
327.0	17428.0
328.0	11594.0
329.0	9115.0
330.0	4123.0
331.0	10457.0
332.0	2103.0
333.0	211.0
334.0	16386.0
335.0	19819.0
336.0	3502.0
337.0	3908.0
338.0	6762.0
339.0	14123.0
340.0	6548.0
341.0	1535.0
342.0	9233.0
343.0	4674.0
344.0	3399.0
345.0	9881.0
346.0	12231.0
347.0	9998.0
348.0	8965.0
349.0	12191.0
350.0	25719.0
351.0	1266.0
352.0	78.0
354.0	27.0
355.0	24.0
356.0	60.0
357.0	12.0
358.0	38.0
359.0	71.0
360.0	17.0
361.0	8.0
362.0	148.0
363.0	23.0
364.0	37.0
365.0	12.0
366.0	40.0
367.0	21.0
368.0	81.0
369.0	31.0
370.0	5.0
371.0	27.0
372.0	2.0
373.0	7.0
374.0	10.0
375.0	5.0
376.0	23.0
378.0	5.0
379.0	3.0
380.0	20.0
381.0	24.0
382.0	57.0
383.0	14.0
384.0	73.0
386.0	5.0
387.0	8.0
388.0	1.0
389.0	13.0
390.0	45.0
391.0	13.0
392.0	3.0
393.0	43.0
394.0	33.0
395.0	7.0
398.0	11.0
399.0	14.0
400.0	1.0
403.0	55.0
404.0	42.0
405.0	1.0
406.0	7.0
407.0	1.0
408.0	55.0
409.0	28.0
410.0	11.0
411.0	26.0
412.0	3.0
413.0	3.0
414.0	44.0
415.0	6.0
416.0	1.0
417.0	1.0
418.0	1.0
419.0	28.0
421.0	39.0
423.0	5.0
424.0	2.0
426.0	49.0
428.0	28.0
431.0	26.0
432.0	58.0
433.0	6.0
434.0	5.0
435.0	52.0
436.0	22.0
437.0	5.0
438.0	2.0
439.0	41.0
440.0	4.0
441.0	1.0
442.0	13.0
443.0	35.0
444.0	19.0
445.0	1.0
446.0	14.0
447.0	21.0
448.0	68.0
449.0	192.0
450.0	2.0
451.0	27.0
452.0	666.0
454.0	35.0
455.0	8.0
456.0	24.0
457.0	4.0
458.0	28.0
459.0	19.0
460.0	13.0
461.0	63.0
462.0	11.0
463.0	5.0
465.0	2.0
467.0	26.0
470.0	2.0
471.0	51.0
472.0	15.0
475.0	11.0
476.0	48.0
477.0	1.0
479.0	1.0
480.0	2.0
481.0	2.0
483.0	8.0
484.0	1.0
485.0	2.0
486.0	19.0
487.0	8.0
488.0	7.0
489.0	17.0
491.0	7.0
493.0	26.0
495.0	23.0
496.0	5.0
497.0	13.0
498.0	1.0
499.0	7.0
505.0	9.0
506.0	25.0
509.0	6.0
511.0	6.0
514.0	8.0
518.0	8.0
519.0	1.0
523.0	8.0
528.0	1.0
529.0	5.0
532.0	15.0
534.0	10.0
535.0	3.0
536.0	13.0
539.0	1.0
540.0	2.0
543.0	12.0
544.0	4.0
545.0	9.0
546.0	3.0
547.0	21.0
548.0	6.0
549.0	2.0
550.0	28.0
552.0	1.0
555.0	12.0
556.0	11.0
557.0	5.0
558.0	6.0
559.0	14.0
560.0	2.0
563.0	8.0
566.0	1.0
567.0	2.0
568.0	21.0
569.0	3.0
570.0	6.0
571.0	3.0
573.0	4.0
574.0	4.0
575.0	3.0
577.0	7.0
578.0	1.0
579.0	9.0
580.0	2.0
582.0	1.0
583.0	7.0
584.0	6.0
585.0	7.0
586.0	1.0
587.0	1.0
588.0	14.0
589.0	4.0
590.0	1.0
591.0	1.0
596.0	8.0
597.0	1.0
