#Duplication rate	Coverage
1.0	15007.0
2.0	3677.0
3.0	1293.0
4.0	723.0
5.0	444.0
6.0	317.0
7.0	224.0
8.0	236.0
9.0	150.0
10.0	165.0
11.0	108.0
12.0	104.0
13.0	105.0
14.0	74.0
15.0	75.0
16.0	73.0
17.0	47.0
18.0	53.0
19.0	72.0
20.0	45.0
21.0	36.0
22.0	40.0
23.0	38.0
24.0	47.0
25.0	34.0
26.0	18.0
27.0	43.0
28.0	25.0
29.0	22.0
30.0	18.0
31.0	21.0
32.0	22.0
33.0	23.0
34.0	22.0
35.0	18.0
36.0	14.0
37.0	14.0
38.0	17.0
39.0	17.0
40.0	11.0
41.0	19.0
42.0	21.0
43.0	10.0
44.0	9.0
45.0	10.0
46.0	7.0
47.0	8.0
48.0	10.0
49.0	19.0
50.0	1376.0
