#Position (bp)	insert size
4011823.0	18853.179364174663
1.2035468E7	18124.862677826743
2.0059113E7	336.06475217451333
2.8082758E7	202.56
3.6106403E7	213.08333333333334
4.4130048E7	1.0950589333333334E7
5.2153693E7	227.2
6.0177338E7	1.1990540857142856E7
6.8200983E7	181.75
7.6224628E7	0.0
8.4248273E7	288.0905218317359
9.2271918E7	0.0
1.00295563E8	0.0
1.08319208E8	723.0
1.16342853E8	280.0
1.24366498E8	0.0
1.32390143E8	0.0
1.40413788E8	234.07483962936564
1.48437433E8	234.06207376478775
1.56461078E8	330.25
1.64484723E8	2106.4444367513674
1.72508368E8	0.0
1.80532013E8	145.0
1.88555658E8	86.0
1.96579303E8	282.0
2.04602948E8	291.8421052631579
2.12626593E8	0.0
2.20650238E8	229.0
2.28673883E8	225.4
2.36697528E8	229.0
2.44721173E8	0.0
2.48844709E8	0.0
2.528565315E8	233.23076923076923
2.60768463E8	425.6666666666667
2.68792108E8	274.5
2.76815753E8	307.14285714285717
2.84839398E8	6.2621265712707184E7
2.92863043E8	0.0
3.00886688E8	0.0
3.08910333E8	0.0
3.16933978E8	2.4117363285714287E7
3.24957623E8	329.6666666666667
3.32981268E8	337.6666666666667
3.41004913E8	293.4604087029
3.49028558E8	338.47058823529414
3.57052203E8	177.0
3.65075848E8	277.5
3.73099493E8	333.84753104244874
3.81123138E8	288.0
3.89146783E8	167.0
3.97170428E8	0.0
4.05194073E8	0.0
4.13217718E8	0.0
4.21241363E8	538.7142857142857
4.29265008E8	0.0
4.37288653E8	0.0
4.45312298E8	0.0
4.53335943E8	0.0
4.61359588E8	141.0
4.69383233E8	205.04761904761904
4.77406878E8	216.45
4.85430523E8	277.8888888888889
4.902961485E8	342.6
4.94307971E8	0.0
5.01477813E8	339.3333333333333
5.09501458E8	190.0
5.17525103E8	162.0
5.25548748E8	241.0
5.33572393E8	185.0
5.41596038E8	328.7232824427481
5.49619683E8	273.0
5.57643328E8	0.0
5.65666973E8	198.0
5.73690618E8	0.0
5.81714263E8	249.0
5.89737908E8	0.0
5.97761553E8	0.0
6.05785198E8	544.0
6.13808843E8	303.42857142857144
6.21832488E8	291.02196622083375
6.29856133E8	118.0
6.37879778E8	175.78571428571428
6.45903423E8	291.01476578411405
6.53927068E8	301.0
6.61950713E8	0.0
6.69974358E8	0.0
6.77998003E8	137.0
6.85727668E8	270.0
6.897394905E8	0.0
6.94045293E8	19197.241825521418
7.02068938E8	0.0
7.10092583E8	0.0
7.18116228E8	266.0
7.26139873E8	0.0
7.34163518E8	0.0
7.42187163E8	172.0
7.50210808E8	0.0
7.58234453E8	0.0
7.66258098E8	132.66666666666666
7.74281743E8	349.0
7.82305388E8	206.5
7.90329033E8	0.0
7.98352678E8	330.0
8.06376323E8	0.0
8.14399968E8	0.0
8.22423613E8	0.0
8.30447258E8	0.0
8.38470903E8	192.0909090909091
8.46494548E8	147.0
8.54518193E8	0.0
8.62541838E8	329.0
8.70565483E8	312.2
8.771186855E8	311.0
8.81130508E8	277.0
8.86612773E8	333.5234375
8.94636418E8	172.4
9.02660063E8	0.0
9.10683708E8	138.0
9.18707353E8	0.0
9.26730998E8	0.0
9.34754643E8	293.0
9.42778288E8	229.75
9.50801933E8	549.0
9.58825578E8	0.0
9.66849223E8	157.5
9.74872868E8	188.0
9.82896513E8	0.0
9.90920158E8	264.0
9.98943803E8	0.0
1.006967448E9	245.0
1.014991093E9	286.5
1.023014738E9	0.0
1.031038383E9	274.6
1.039062028E9	121.0
1.047085673E9	0.0
1.055109318E9	233.28571428571428
1.0601597325E9	557.0
1.064171555E9	223.5
1.071156608E9	291.25
1.079180253E9	6.21900265E7
1.087203898E9	9508.015030217408
1.095227543E9	195.91304347826087
1.103251188E9	211.42857142857142
1.111274833E9	0.0
1.119298478E9	0.0
1.127322123E9	200.0
1.135345768E9	307.0
1.143369413E9	281.0
1.151393058E9	400.0
1.159416703E9	0.0
1.167440348E9	0.0
1.175463993E9	0.0
1.183487638E9	0.0
1.191511283E9	453.0
1.199534928E9	289.5056107034959
1.207558573E9	831.9941343779627
1.215582218E9	182.0
1.223605863E9	296.3333333333333
1.2298109945E9	121.75
1.233822817E9	295.85714285714283
1.239653153E9	24509.00530873106
1.247676798E9	0.0
1.255700443E9	199.0
1.263724088E9	257.0
1.271747733E9	1.94451135E7
1.279771378E9	9063621.0
1.287795023E9	365.875
1.295818668E9	273.8333333333333
1.303842313E9	446.82608695652175
1.311865958E9	13663.907110680277
1.319889603E9	195.53481012658227
1.327913248E9	280.5
1.335936893E9	2489577.0
1.343960538E9	216.0
1.351984183E9	2796.8841943329744
1.360007828E9	318.0
1.368031473E9	0.0
1.376055118E9	340.4534504842588
1.384078763E9	204.66666666666666
1.389720431E9	196.0
1.3937322535E9	212.83333333333334
1.400126053E9	224.16666666666666
1.408149698E9	0.0
1.416173343E9	264.9166666666667
1.424196988E9	301.0
1.432220633E9	436.5
1.440244278E9	0.0
1.448267923E9	221.25
1.456291568E9	338.5625
1.464315213E9	406.0
1.472338858E9	458.27272727272725
1.480362503E9	585.0
1.488386148E9	252.7
1.496409793E9	2182.1896562159545
1.504433438E9	0.0
1.512457083E9	273.0
1.520480728E9	363.0
1.528504373E9	184.45454545454547
1.534502554E9	226.68421052631578
1.5385143765E9	328.0
1.544551663E9	251.4
1.552575308E9	0.0
1.560598953E9	0.0
1.568622598E9	148.33333333333334
1.576646243E9	321.3128205128205
1.584669888E9	0.0
1.592693533E9	0.0
1.600717178E9	263.5
1.608740823E9	0.0
1.616764468E9	5419.388468158348
1.624788113E9	534.1111111111111
1.632811758E9	219.0
1.640835403E9	130.0
1.648859048E9	290.0
1.656882693E9	259.97058823529414
1.664906338E9	474.0361662240275
1.671900895E9	174.48387096774192
1.6759127175E9	207.29166666666666
1.680953628E9	363.7142857142857
1.688977273E9	240.0
1.697000918E9	0.0
1.705024563E9	286.375
1.713048208E9	197.0
1.721071853E9	206.53846153846155
1.729095498E9	0.0
1.737119143E9	0.0
1.745142788E9	273.0
1.753166433E9	288.7647058823529
1.761190078E9	268.3333333333333
1.769213723E9	227.17705973530462
1.777237368E9	289.0
1.785261013E9	241.66666666666666
1.793284658E9	373.0
1.801308303E9	228.71428571428572
1.8070005885E9	236.6315789473684
1.811012411E9	144.22222222222223
1.817355593E9	246.71428571428572
1.825379238E9	0.0
1.833402883E9	279.0
1.841426528E9	330.0
1.849450173E9	374.0
1.857473818E9	209.0
1.865497463E9	183.66666666666666
1.873521108E9	259.6
1.881544753E9	376.0882352941176
1.889568398E9	0.0
1.897592043E9	284.5
1.905615688E9	0.0
1.913639333E9	0.0
1.921662978E9	173.22222222222223
1.929686623E9	195.5
1.937710268E9	142.4
1.942744882E9	0.0
1.9467567045E9	181.0
1.953757558E9	16364.625606071617
1.961781203E9	400.0
1.969804848E9	191.36363636363637
1.977828493E9	278.3333333333333
1.985852138E9	306.8235294117647
1.993875783E9	0.0
2.001899428E9	130.0
2.009923073E9	0.0
2.017946718E9	205.0
2.025970363E9	198.0
2.033994008E9	0.0
2.042017653E9	251.0
2.050041298E9	0.0
2.058064943E9	265.0
2.066088588E9	180.76315789473685
2.0735716965E9	271.54716981132077
2.077583519E9	0.0
2.082135878E9	0.0
2.090159523E9	0.0
2.098183168E9	360.0
2.106206813E9	373.0
2.114230458E9	108.0
2.122254103E9	531.0
2.130277748E9	279.5
2.138301393E9	0.0
2.146325038E9	0.0
2.154348683E9	140.0
2.162372328E9	507.0
2.170395973E9	0.0
2.178419618E9	284.0
2.186443263E9	0.0
2.190931198E9	0.0
2.1949430205E9	0.0
2.202490553E9	0.0
2.210514198E9	0.0
2.218537843E9	384.0
2.226561488E9	411.4
2.234585133E9	0.0
2.242608778E9	0.0
2.250632423E9	175.42307692307693
2.258656068E9	349.9230769230769
2.266679713E9	213.5
2.274703358E9	0.0
