#Mapping quality	mapping quality
0.0	95199.0
1.0	3068.0
2.0	2399.0
3.0	5082.0
4.0	2294.0
5.0	3022.0
6.0	2662.0
7.0	1439.0
8.0	1579.0
9.0	1006.0
10.0	1228.0
11.0	1030.0
12.0	812.0
13.0	966.0
14.0	787.0
15.0	700.0
16.0	1069.0
17.0	1143.0
18.0	1451.0
19.0	425.0
20.0	655.0
21.0	161.0
22.0	166.0
23.0	374.0
24.0	646.0
25.0	1006.0
26.0	719.0
27.0	1053.0
28.0	621.0
29.0	119.0
30.0	728.0
31.0	206.0
32.0	75.0
33.0	384.0
34.0	218.0
35.0	49.0
36.0	237.0
37.0	70.0
38.0	43.0
39.0	294.0
40.0	1253.0
41.0	817.0
42.0	695.0
43.0	397.0
44.0	537.0
45.0	2131.0
46.0	438.0
47.0	505.0
48.0	489.0
49.0	442.0
50.0	440.0
51.0	300.0
52.0	358.0
53.0	255.0
54.0	352.0
55.0	659.0
56.0	1289.0
57.0	1059.0
58.0	1816.0
59.0	94430.0
60.0	258857.0
