#Coverage	Number of genomic locations
0.0	3.209254123E9
1.0	22413.0
2.0	18264.0
3.0	1506.0
4.0	5101.0
5.0	538.0
6.0	1853.0
7.0	552.0
8.0	1528.0
9.0	645.0
10.0	1222.0
11.0	742.0
12.0	1047.0
13.0	91.0
14.0	517.0
15.0	137.0
16.0	694.0
17.0	582.0
18.0	1088.0
19.0	364.0
20.0	1073.0
21.0	215.0
22.0	401.0
23.0	564.0
24.0	518.0
25.0	169.0
26.0	341.0
27.0	205.0
28.0	632.0
29.0	940.0
30.0	291.0
31.0	259.0
32.0	126.0
33.0	546.0
34.0	745.0
35.0	361.0
36.0	897.0
37.0	228.0
38.0	878.0
39.0	166.0
40.0	442.0
41.0	669.0
42.0	1107.0
43.0	380.0
44.0	312.0
45.0	231.0
46.0	634.0
47.0	329.0
48.0	419.0
49.0	464.0
50.0	397.0
51.0	316.0
52.0	784.0
53.0	627.0
54.0	535.0
55.0	220.0
56.0	823.0
57.0	778.0
58.0	723.0
59.0	632.0
60.0	565.0
61.0	203.0
62.0	1019.0
63.0	322.0
64.0	307.0
65.0	520.0
66.0	967.0
67.0	278.0
68.0	271.0
69.0	362.0
70.0	1068.0
71.0	575.0
72.0	197.0
73.0	582.0
74.0	973.0
75.0	506.0
76.0	707.0
77.0	353.0
78.0	796.0
79.0	824.0
80.0	885.0
81.0	100.0
82.0	853.0
83.0	570.0
84.0	340.0
85.0	366.0
86.0	872.0
87.0	646.0
88.0	296.0
89.0	381.0
90.0	369.0
91.0	399.0
92.0	588.0
93.0	711.0
94.0	421.0
95.0	108.0
96.0	315.0
97.0	664.0
98.0	660.0
99.0	632.0
100.0	314.0
101.0	474.0
102.0	645.0
103.0	584.0
104.0	990.0
105.0	592.0
106.0	611.0
107.0	468.0
108.0	298.0
109.0	294.0
110.0	589.0
111.0	635.0
112.0	667.0
113.0	223.0
114.0	261.0
115.0	497.0
116.0	883.0
117.0	499.0
118.0	347.0
119.0	245.0
120.0	715.0
121.0	540.0
122.0	488.0
123.0	395.0
124.0	1091.0
125.0	798.0
126.0	841.0
127.0	470.0
128.0	636.0
129.0	667.0
130.0	554.0
131.0	295.0
132.0	572.0
133.0	353.0
134.0	592.0
135.0	405.0
136.0	442.0
137.0	226.0
138.0	576.0
139.0	658.0
140.0	549.0
141.0	565.0
142.0	672.0
143.0	454.0
144.0	613.0
145.0	745.0
146.0	617.0
147.0	651.0
148.0	331.0
149.0	654.0
150.0	558.0
151.0	166.0
152.0	338.0
153.0	613.0
154.0	648.0
155.0	267.0
156.0	608.0
157.0	364.0
158.0	377.0
