#Insert size (bp)	insert size
1.0	2581.0
2.0	646.0
3.0	241.0
4.0	91.0
5.0	389.0
6.0	91.0
7.0	89.0
8.0	56.0
9.0	48.0
10.0	101.0
11.0	117.0
12.0	73.0
13.0	93.0
14.0	98.0
15.0	76.0
16.0	68.0
17.0	35.0
18.0	33.0
19.0	31.0
20.0	25.0
21.0	43.0
22.0	28.0
23.0	19.0
24.0	32.0
25.0	20.0
26.0	13.0
27.0	13.0
28.0	12.0
29.0	10.0
30.0	9.0
31.0	6.0
32.0	6.0
33.0	2.0
34.0	14.0
35.0	10.0
36.0	16.0
37.0	15.0
38.0	12.0
39.0	13.0
40.0	11.0
41.0	21.0
42.0	18.0
43.0	17.0
44.0	14.0
45.0	14.0
46.0	21.0
47.0	47.0
48.0	22.0
49.0	19.0
50.0	21.0
51.0	25.0
52.0	26.0
53.0	24.0
54.0	19.0
55.0	24.0
56.0	32.0
57.0	32.0
58.0	24.0
59.0	30.0
60.0	31.0
61.0	35.0
62.0	33.0
63.0	38.0
64.0	34.0
65.0	29.0
66.0	33.0
67.0	28.0
68.0	43.0
69.0	48.0
70.0	33.0
71.0	20.0
72.0	27.0
73.0	24.0
74.0	31.0
75.0	22.0
76.0	27.0
77.0	31.0
78.0	19.0
79.0	34.0
80.0	26.0
81.0	24.0
82.0	21.0
83.0	18.0
84.0	25.0
85.0	31.0
86.0	32.0
87.0	28.0
88.0	20.0
89.0	28.0
90.0	32.0
91.0	30.0
92.0	31.0
93.0	33.0
94.0	36.0
95.0	39.0
96.0	65.0
97.0	70.0
98.0	54.0
99.0	384.0
100.0	217.0
101.0	77.0
102.0	51.0
103.0	69.0
104.0	117.0
105.0	81.0
106.0	57.0
107.0	76.0
108.0	64.0
109.0	41.0
110.0	74.0
111.0	53.0
112.0	81.0
113.0	73.0
114.0	247.0
115.0	47.0
116.0	168.0
117.0	74.0
118.0	98.0
119.0	43.0
120.0	49.0
121.0	72.0
122.0	97.0
123.0	90.0
124.0	60.0
125.0	50.0
126.0	95.0
127.0	49.0
128.0	104.0
129.0	46.0
130.0	66.0
131.0	105.0
132.0	91.0
133.0	43.0
134.0	34.0
135.0	83.0
136.0	217.0
137.0	130.0
138.0	135.0
139.0	81.0
140.0	91.0
141.0	72.0
142.0	81.0
143.0	79.0
144.0	106.0
145.0	40.0
146.0	48.0
147.0	80.0
148.0	84.0
149.0	86.0
150.0	143.0
151.0	210.0
152.0	70.0
153.0	81.0
154.0	45.0
155.0	729.0
156.0	115.0
157.0	44.0
158.0	56.0
159.0	112.0
160.0	57.0
161.0	52.0
162.0	85.0
163.0	89.0
164.0	84.0
165.0	119.0
166.0	91.0
167.0	63.0
168.0	71.0
169.0	350.0
170.0	49.0
171.0	90.0
172.0	75.0
173.0	143.0
174.0	208.0
175.0	110.0
176.0	114.0
177.0	89.0
178.0	76.0
179.0	107.0
180.0	17356.0
181.0	9799.0
182.0	113.0
183.0	64.0
184.0	56.0
185.0	174.0
186.0	144.0
187.0	12486.0
188.0	89.0
189.0	73.0
190.0	104.0
191.0	9819.0
192.0	64.0
193.0	113.0
194.0	78.0
195.0	116.0
196.0	15133.0
197.0	116.0
198.0	9927.0
199.0	13226.0
200.0	161.0
201.0	54.0
202.0	83.0
203.0	761.0
204.0	96.0
205.0	71.0
206.0	128.0
207.0	250.0
208.0	444.0
209.0	134.0
210.0	182.0
211.0	192.0
212.0	297.0
213.0	331.0
214.0	309.0
215.0	664.0
216.0	66093.0
217.0	52077.0
218.0	55600.0
219.0	52126.0
220.0	35168.0
221.0	44578.0
222.0	71194.0
223.0	68306.0
224.0	15272.0
225.0	32890.0
226.0	49590.0
227.0	53047.0
228.0	24300.0
229.0	62846.0
230.0	51387.0
231.0	41932.0
232.0	18810.0
233.0	45447.0
234.0	102181.0
235.0	89554.0
236.0	69203.0
237.0	44122.0
238.0	73164.0
239.0	77047.0
240.0	176261.0
241.0	908.0
242.0	5425.0
243.0	90.0
244.0	6967.0
245.0	5994.0
246.0	303.0
247.0	71.0
248.0	152.0
249.0	10317.0
250.0	7854.0
251.0	157.0
252.0	409.0
253.0	8462.0
254.0	80.0
255.0	891.0
256.0	6848.0
257.0	483.0
258.0	7954.0
259.0	67.0
260.0	47.0
261.0	185.0
262.0	92.0
263.0	9102.0
264.0	184.0
265.0	134.0
266.0	216.0
267.0	6074.0
268.0	101.0
269.0	338.0
