#GC Content (%)	Sample	HUMAN (hg19)
1.0	3.72110921727829E-5	0.0
2.0	1.542898943749535E-5	3.0E-6
3.0	1.8151752279406293E-5	3.0E-6
4.0	2.541245319116881E-5	1.0E-5
5.0	2.178210273528755E-5	8.0E-6
6.0	2.0874515121317235E-5	1.2000000000000002E-5
7.0	1.4521401823525034E-5	6.999999999999999E-6
8.0	2.0874515121317238E-5	9.999999999999999E-6
9.0	1.6336577051465663E-5	1.6E-5
10.0	1.4521401823525034E-5	1.5000000000000002E-5
11.0	1.0891051367643776E-5	1.9999999999999998E-5
12.0	1.0891051367643776E-5	1.6E-5
13.0	5.445525683821888E-6	1.6E-5
14.0	5.445525683821888E-6	2.4999999999999998E-5
15.0	6.3531132977922024E-6	2.2000000000000003E-5
16.0	3.6303504558812585E-6	2.6999999999999996E-5
17.0	2.722762841910944E-6	3.3E-5
18.0	5.445525683821888E-6	3.7000000000000005E-5
19.0	1.179863898161409E-5	4.7000000000000004E-5
20.0	9.983463753673461E-6	5.4999999999999995E-5
21.0	6.3531132977922024E-6	6.400000000000001E-5
22.0	1.2706226595584405E-5	9.3E-5
23.0	2.6320040805139123E-5	1.66E-4
24.0	4.5379380698515735E-5	3.03E-4
25.0	1.9331616177567702E-4	7.059999999999999E-4
26.0	9.538745822828007E-4	0.0016020000000000001
27.0	0.0019104719274075123	0.0033690000000000005
28.0	0.0034306811808077894	0.006167999999999999
29.0	0.0012933123499076983	0.010352
30.0	0.00551087199202775	0.015647
31.0	0.010051532824721236	0.022148
32.0	0.010321993933684387	0.028808
33.0	0.017448371878579297	0.035106000000000005
34.0	0.022380202972893986	0.041161
35.0	0.022990101849482036	0.047408
36.0	0.027449079796918196	0.052698999999999996
37.0	0.03560193933321353	0.057517000000000006
38.0	0.03252703249708211	0.061487999999999994
39.0	0.038031551375812066	0.063321
40.0	0.04650206657699701	0.060248
41.0	0.04064268094120466	0.055508
42.0	0.036831720550143304	0.051446000000000006
43.0	0.03702594429953296	0.048194
44.0	0.023296866463004003	0.044423
45.0	0.012308703220665409	0.040655000000000004
46.0	0.011578095191419304	0.03652
47.0	0.013641041837973829	0.032315
48.0	0.013306142008418783	0.028137999999999996
49.0	0.020984333222607645	0.02458
50.0	0.023407592151908387	0.020810000000000002
51.0	0.024776234273775618	0.017532
52.0	0.03696785869223885	0.014506999999999997
53.0	0.029003777379649345	0.012007
54.0	0.016654232716355275	0.010018
55.0	0.02387863012355898	0.008414999999999999
56.0	0.023464770171588514	0.007258
57.0	0.033221337021769395	0.006174999999999999
58.0	0.03672462521169481	0.005363000000000001
59.0	0.027475399837723333	0.0046159999999999994
60.0	0.03780556205993346	0.003946
61.0	0.036925202074382255	0.0034579999999999993
62.0	0.02741277629235938	0.002915
63.0	0.018410414749387833	0.0024610000000000005
64.0	0.024585640874841854	0.0019950000000000002
65.0	0.01505960127860943	0.0016779999999999998
66.0	0.0164454875651421	0.0013500000000000003
67.0	0.014870823054903604	0.001069
68.0	0.014707457284388947	8.119999999999999E-4
69.0	0.011014483283143736	6.4E-4
70.0	0.007679098801802831	5.05E-4
71.0	0.00700929914269274	4.0299999999999993E-4
72.0	0.0017198785284737463	3.2E-4
73.0	7.977695126799065E-4	2.79E-4
74.0	1.1163327651834871E-4	2.0700000000000002E-4
75.0	4.174903024263448E-5	2.0099999999999998E-4
76.0	2.4504865577198493E-5	1.54E-4
77.0	9.075876139703146E-6	1.12E-4
78.0	5.445525683821888E-6	7.699999999999999E-5
79.0	4.537938069851573E-6	6.3E-5
80.0	9.075876139703146E-7	3.7E-5
81.0	2.722762841910944E-6	2.8000000000000003E-5
82.0	1.8151752279406293E-6	1.6E-5
83.0	0.0	9.0E-6
84.0	0.0	4.0E-6
85.0	0.0	0.0
86.0	0.0	1.0E-6
87.0	0.0	0.0
88.0	0.0	0.0
89.0	9.075876139703146E-7	0.0
90.0	0.0	0.0
91.0	0.0	0.0
92.0	1.8151752279406293E-6	0.0
93.0	4.537938069851573E-6	0.0
94.0	7.260700911762517E-6	0.0
95.0	2.0874515121317235E-5	0.0
96.0	6.262354536395171E-5	0.0
97.0	1.7516440949627072E-4	0.0
98.0	3.303618914851945E-4	0.0
99.0	5.100642390513168E-4	0.0
100.0	0.0020856363369037827	0.0
