#Insert size (bp)	insert size
1.0	48.0
2.0	4.0
3.0	11.0
4.0	3.0
5.0	87.0
6.0	3.0
7.0	8.0
8.0	1.0
9.0	1.0
10.0	1.0
11.0	1.0
12.0	1.0
13.0	5.0
14.0	2.0
15.0	1.0
18.0	1.0
20.0	2.0
21.0	1.0
22.0	1.0
24.0	1.0
26.0	1.0
27.0	1.0
31.0	1.0
34.0	1.0
35.0	2.0
37.0	1.0
38.0	1.0
39.0	3.0
40.0	4.0
42.0	1.0
44.0	1.0
45.0	1.0
46.0	1.0
47.0	47.0
48.0	3.0
49.0	2.0
50.0	2.0
52.0	3.0
53.0	1.0
54.0	2.0
56.0	3.0
57.0	4.0
58.0	3.0
59.0	2.0
60.0	1.0
61.0	1.0
62.0	3.0
63.0	3.0
64.0	4.0
65.0	3.0
66.0	2.0
67.0	2.0
68.0	2.0
69.0	3.0
70.0	1.0
71.0	4.0
72.0	2.0
73.0	4.0
74.0	1.0
75.0	2.0
76.0	6.0
77.0	2.0
78.0	1.0
79.0	5.0
80.0	1.0
81.0	2.0
83.0	1.0
84.0	3.0
85.0	4.0
86.0	1.0
87.0	1.0
88.0	3.0
89.0	1.0
90.0	2.0
91.0	3.0
92.0	4.0
93.0	3.0
95.0	17.0
96.0	6.0
97.0	4.0
98.0	4.0
99.0	14.0
100.0	14.0
101.0	6.0
102.0	5.0
103.0	3.0
104.0	27.0
105.0	7.0
106.0	6.0
107.0	1.0
108.0	5.0
109.0	3.0
110.0	4.0
111.0	4.0
112.0	3.0
113.0	3.0
114.0	30.0
115.0	2.0
116.0	6.0
117.0	6.0
118.0	4.0
119.0	4.0
120.0	6.0
121.0	11.0
122.0	1.0
123.0	4.0
124.0	2.0
125.0	4.0
126.0	14.0
127.0	1.0
128.0	3.0
129.0	6.0
130.0	3.0
131.0	10.0
132.0	49.0
133.0	9.0
134.0	2.0
135.0	2.0
136.0	13.0
137.0	6.0
138.0	5.0
139.0	5.0
140.0	10.0
141.0	7.0
142.0	4.0
143.0	4.0
144.0	5.0
145.0	4.0
146.0	5.0
147.0	3.0
148.0	8.0
149.0	7.0
150.0	10.0
151.0	15.0
152.0	6.0
153.0	11.0
154.0	11.0
155.0	98.0
156.0	8.0
157.0	1.0
158.0	11.0
159.0	8.0
160.0	2.0
161.0	3.0
162.0	1.0
163.0	8.0
164.0	3.0
165.0	6.0
166.0	4.0
167.0	4.0
168.0	5.0
169.0	34.0
170.0	3.0
171.0	4.0
172.0	7.0
173.0	6.0
174.0	19.0
175.0	8.0
176.0	7.0
177.0	6.0
178.0	8.0
179.0	14.0
180.0	1524.0
181.0	902.0
182.0	9.0
183.0	5.0
184.0	7.0
185.0	11.0
186.0	13.0
187.0	1013.0
188.0	8.0
189.0	5.0
190.0	11.0
191.0	786.0
192.0	6.0
193.0	9.0
194.0	10.0
195.0	14.0
196.0	1831.0
197.0	13.0
198.0	751.0
199.0	1453.0
200.0	19.0
201.0	9.0
202.0	3.0
203.0	47.0
204.0	4.0
205.0	11.0
206.0	7.0
207.0	9.0
208.0	25.0
209.0	6.0
210.0	22.0
211.0	15.0
212.0	12.0
213.0	29.0
214.0	19.0
215.0	47.0
216.0	4217.0
217.0	3797.0
218.0	2779.0
219.0	4342.0
220.0	1375.0
221.0	1834.0
222.0	3667.0
223.0	4812.0
224.0	931.0
225.0	1750.0
226.0	2161.0
227.0	3068.0
228.0	1262.0
229.0	3423.0
230.0	2871.0
231.0	1957.0
232.0	1133.0
233.0	2610.0
234.0	6710.0
235.0	5234.0
236.0	3576.0
237.0	2199.0
238.0	3586.0
239.0	3895.0
240.0	8912.0
241.0	96.0
242.0	538.0
243.0	3.0
244.0	357.0
245.0	387.0
246.0	7.0
247.0	3.0
248.0	1.0
