#GC Content (%)	Sample	HUMAN (hg19)
1.0	4.882454898322877E-5	0.0
2.0	1.2206137245807192E-5	3.0E-6
3.0	1.0985523521226473E-4	3.0E-6
4.0	8.544296072065034E-5	1.0E-5
5.0	7.323682347484315E-5	8.0E-6
6.0	8.544296072065034E-5	1.2000000000000002E-5
7.0	9.764909796645754E-5	6.999999999999999E-6
8.0	7.323682347484315E-5	9.999999999999999E-6
9.0	6.103068622903596E-5	1.6E-5
10.0	8.544296072065034E-5	1.5000000000000002E-5
11.0	2.4412274491614384E-5	1.9999999999999998E-5
12.0	3.6618411737421576E-5	1.6E-5
13.0	6.103068622903596E-5	1.6E-5
14.0	1.0985523521226473E-4	2.4999999999999998E-5
15.0	2.4412274491614384E-5	2.2000000000000003E-5
16.0	3.6618411737421576E-5	2.6999999999999996E-5
17.0	0.0	3.3E-5
18.0	1.2206137245807192E-5	3.7000000000000005E-5
19.0	1.2206137245807192E-5	4.7000000000000004E-5
20.0	2.4412274491614384E-5	5.4999999999999995E-5
21.0	0.0	6.400000000000001E-5
22.0	0.0	9.3E-5
23.0	3.6618411737421576E-5	1.66E-4
24.0	7.323682347484315E-5	3.03E-4
25.0	2.929472938993726E-4	7.059999999999999E-4
26.0	0.0011595830383516832	0.0016020000000000001
27.0	0.0026365256450943536	0.0033690000000000005
28.0	0.0037106657227253866	0.006167999999999999
29.0	0.0019041574103459218	0.010352
30.0	0.008373410150623734	0.015647
31.0	0.011937602226399436	0.022148
32.0	0.012425847716231722	0.028808
33.0	0.023801967629324027	0.035106000000000005
34.0	0.030588579937992823	0.041161
35.0	0.029673119644557284	0.047408
36.0	0.03323731172033298	0.052698999999999996
37.0	0.0485438078265752	0.057517000000000006
38.0	0.041622928008202525	0.061487999999999994
39.0	0.04338061177159876	0.063321
40.0	0.05126577643239021	0.060248
41.0	0.0459927251422015	0.055508
42.0	0.042367502380196764	0.051446000000000006
43.0	0.040927178185191516	0.048194
44.0	0.023289309865000118	0.044423
45.0	0.011949808363645243	0.040655000000000004
46.0	0.01298733002953885	0.03652
47.0	0.012108488147840733	0.032315
48.0	0.013023948441276275	0.028137999999999996
49.0	0.02120206039596709	0.02458
50.0	0.024192564021189855	0.020810000000000002
51.0	0.02830603227302688	0.017532
52.0	0.036532968776700925	0.014506999999999997
53.0	0.029233698703708226	0.012007
54.0	0.015831360007811927	0.010018
55.0	0.021507213827112272	0.008414999999999999
56.0	0.021397358591900003	0.007258
57.0	0.028367062959255916	0.006174999999999999
58.0	0.03294436442643361	0.005363000000000001
59.0	0.024314625393647926	0.0046159999999999994
60.0	0.031015794741596076	0.003946
61.0	0.03107682542782511	0.0034579999999999993
62.0	0.022642384590972345	0.002915
63.0	0.01608768888997388	0.0024610000000000005
64.0	0.018321412005956595	0.0019950000000000002
65.0	0.011278470815125842	0.0016779999999999998
66.0	0.010924492834997435	0.0013500000000000003
67.0	0.00765324805312111	0.001069
68.0	0.005700266093791959	8.119999999999999E-4
69.0	0.0024778458608988594	6.4E-4
70.0	0.0020994556062788367	5.05E-4
71.0	0.0017454776261504287	4.0299999999999993E-4
72.0	5.492761760613235E-4	3.2E-4
73.0	2.0750433317872225E-4	2.79E-4
74.0	9.764909796645754E-5	2.0700000000000002E-4
75.0	1.2206137245807192E-5	2.0099999999999998E-4
76.0	0.0	1.54E-4
77.0	0.0	1.12E-4
78.0	0.0	7.699999999999999E-5
79.0	0.0	6.3E-5
80.0	0.0	3.7E-5
81.0	0.0	2.8000000000000003E-5
82.0	0.0	1.6E-5
83.0	0.0	9.0E-6
84.0	1.2206137245807192E-5	4.0E-6
85.0	1.2206137245807192E-5	0.0
86.0	0.0	1.0E-6
87.0	0.0	0.0
88.0	0.0	0.0
89.0	0.0	0.0
90.0	0.0	0.0
91.0	0.0	0.0
92.0	0.0	0.0
93.0	0.0	0.0
94.0	6.103068622903596E-5	0.0
95.0	4.882454898322877E-5	0.0
96.0	1.3426750970387913E-4	0.0
97.0	2.56328882161951E-4	0.0
98.0	3.7839025462002297E-4	0.0
99.0	7.323682347484316E-4	0.0
100.0	0.00425994189878671	0.0
