#Duplication rate	Coverage
1.0	1251.0
2.0	226.0
3.0	78.0
4.0	46.0
5.0	22.0
6.0	23.0
7.0	29.0
8.0	19.0
9.0	26.0
10.0	19.0
11.0	9.0
12.0	19.0
13.0	13.0
14.0	12.0
15.0	12.0
16.0	10.0
17.0	14.0
18.0	19.0
19.0	16.0
20.0	18.0
21.0	19.0
22.0	30.0
23.0	18.0
24.0	25.0
25.0	15.0
26.0	23.0
27.0	18.0
28.0	19.0
29.0	21.0
30.0	16.0
31.0	22.0
32.0	18.0
33.0	15.0
34.0	20.0
35.0	32.0
36.0	16.0
37.0	18.0
38.0	19.0
39.0	19.0
40.0	18.0
41.0	8.0
42.0	10.0
43.0	12.0
44.0	13.0
45.0	10.0
46.0	7.0
47.0	13.0
48.0	10.0
49.0	9.0
50.0	360.0
