#Coverage	Number of genomic locations
0.0	3.20923927E9
1.0	28038.0
2.0	19808.0
3.0	1304.0
4.0	6587.0
5.0	824.0
6.0	2826.0
7.0	433.0
8.0	2619.0
9.0	257.0
10.0	1677.0
11.0	54.0
12.0	2070.0
13.0	302.0
14.0	304.0
15.0	378.0
16.0	607.0
17.0	100.0
18.0	615.0
19.0	218.0
20.0	557.0
21.0	69.0
22.0	146.0
23.0	197.0
24.0	528.0
25.0	198.0
26.0	723.0
27.0	288.0
28.0	377.0
29.0	93.0
30.0	376.0
31.0	182.0
32.0	264.0
33.0	430.0
34.0	186.0
35.0	254.0
36.0	219.0
37.0	321.0
38.0	135.0
39.0	332.0
40.0	206.0
41.0	406.0
42.0	317.0
43.0	47.0
44.0	295.0
45.0	356.0
46.0	238.0
47.0	81.0
48.0	397.0
49.0	222.0
50.0	844.0
51.0	238.0
52.0	457.0
53.0	172.0
54.0	466.0
55.0	258.0
56.0	151.0
57.0	78.0
58.0	217.0
59.0	186.0
60.0	306.0
61.0	71.0
62.0	172.0
63.0	174.0
64.0	392.0
65.0	130.0
66.0	268.0
67.0	407.0
68.0	210.0
69.0	388.0
70.0	149.0
71.0	46.0
72.0	196.0
73.0	137.0
74.0	427.0
75.0	97.0
76.0	254.0
77.0	94.0
78.0	143.0
79.0	16.0
80.0	208.0
81.0	659.0
82.0	195.0
83.0	274.0
84.0	266.0
85.0	339.0
86.0	69.0
87.0	336.0
88.0	335.0
89.0	259.0
90.0	372.0
91.0	202.0
92.0	6.0
93.0	46.0
94.0	53.0
95.0	99.0
96.0	64.0
97.0	84.0
98.0	260.0
99.0	262.0
100.0	178.0
101.0	67.0
102.0	77.0
103.0	160.0
104.0	158.0
105.0	188.0
106.0	326.0
107.0	261.0
108.0	118.0
109.0	322.0
110.0	93.0
111.0	80.0
112.0	272.0
113.0	182.0
114.0	50.0
115.0	214.0
116.0	428.0
117.0	384.0
118.0	126.0
119.0	137.0
120.0	41.0
121.0	100.0
122.0	139.0
123.0	264.0
124.0	208.0
125.0	230.0
126.0	111.0
127.0	184.0
128.0	485.0
129.0	71.0
130.0	120.0
131.0	188.0
132.0	374.0
133.0	344.0
134.0	387.0
135.0	44.0
136.0	122.0
137.0	292.0
138.0	398.0
139.0	268.0
140.0	373.0
141.0	256.0
142.0	181.0
143.0	285.0
144.0	256.0
145.0	194.0
146.0	339.0
147.0	212.0
148.0	329.0
149.0	242.0
150.0	198.0
151.0	312.0
152.0	439.0
153.0	492.0
154.0	287.0
155.0	263.0
156.0	303.0
157.0	269.0
158.0	103.0
159.0	187.0
160.0	218.0
161.0	246.0
162.0	124.0
163.0	365.0
164.0	208.0
165.0	413.0
166.0	122.0
167.0	332.0
168.0	321.0
169.0	259.0
170.0	144.0
171.0	123.0
172.0	197.0
173.0	181.0
174.0	159.0
175.0	60.0
176.0	113.0
177.0	131.0
178.0	78.0
179.0	64.0
180.0	343.0
181.0	84.0
182.0	184.0
183.0	252.0
184.0	23.0
185.0	465.0
186.0	223.0
187.0	301.0
188.0	89.0
189.0	358.0
190.0	243.0
191.0	86.0
192.0	328.0
193.0	110.0
194.0	233.0
195.0	299.0
196.0	48.0
197.0	539.0
198.0	281.0
199.0	84.0
200.0	177.0
201.0	158.0
202.0	66.0
203.0	401.0
204.0	272.0
205.0	87.0
206.0	236.0
207.0	173.0
208.0	104.0
209.0	270.0
210.0	25.0
211.0	64.0
212.0	338.0
213.0	180.0
214.0	278.0
215.0	81.0
216.0	111.0
217.0	305.0
218.0	310.0
219.0	143.0
220.0	125.0
221.0	43.0
222.0	238.0
223.0	147.0
224.0	261.0
225.0	354.0
226.0	303.0
227.0	164.0
228.0	218.0
229.0	111.0
230.0	237.0
231.0	112.0
232.0	266.0
233.0	458.0
234.0	100.0
235.0	122.0
236.0	236.0
237.0	120.0
238.0	190.0
239.0	122.0
240.0	76.0
241.0	176.0
242.0	166.0
243.0	47.0
244.0	134.0
245.0	54.0
246.0	359.0
247.0	96.0
248.0	145.0
249.0	142.0
250.0	199.0
251.0	314.0
252.0	477.0
253.0	256.0
254.0	355.0
255.0	243.0
256.0	161.0
257.0	152.0
258.0	346.0
259.0	191.0
260.0	165.0
261.0	246.0
262.0	121.0
263.0	245.0
264.0	97.0
265.0	103.0
266.0	218.0
267.0	70.0
268.0	150.0
269.0	42.0
270.0	158.0
271.0	131.0
272.0	88.0
273.0	220.0
274.0	203.0
275.0	161.0
276.0	134.0
277.0	260.0
278.0	335.0
279.0	310.0
280.0	294.0
281.0	221.0
282.0	192.0
283.0	118.0
284.0	412.0
285.0	265.0
286.0	217.0
287.0	301.0
288.0	116.0
289.0	75.0
290.0	44.0
291.0	203.0
292.0	239.0
293.0	74.0
294.0	140.0
295.0	399.0
296.0	239.0
297.0	172.0
298.0	443.0
299.0	214.0
300.0	428.0
301.0	513.0
302.0	406.0
303.0	375.0
304.0	203.0
305.0	319.0
306.0	220.0
307.0	167.0
308.0	122.0
309.0	238.0
310.0	179.0
311.0	37.0
312.0	251.0
313.0	134.0
314.0	318.0
315.0	42.0
316.0	101.0
317.0	88.0
318.0	188.0
319.0	39.0
320.0	207.0
321.0	105.0
322.0	144.0
323.0	101.0
324.0	234.0
325.0	138.0
326.0	279.0
327.0	328.0
328.0	320.0
329.0	204.0
330.0	169.0
331.0	138.0
332.0	285.0
333.0	64.0
334.0	66.0
335.0	17.0
336.0	111.0
337.0	158.0
338.0	199.0
339.0	76.0
340.0	60.0
341.0	101.0
342.0	10.0
343.0	9.0
344.0	21.0
345.0	21.0
346.0	122.0
347.0	62.0
348.0	193.0
349.0	342.0
350.0	166.0
351.0	175.0
352.0	127.0
353.0	157.0
354.0	155.0
355.0	80.0
356.0	41.0
357.0	86.0
358.0	71.0
359.0	194.0
360.0	151.0
361.0	311.0
362.0	179.0
363.0	165.0
364.0	121.0
365.0	65.0
366.0	253.0
367.0	95.0
368.0	56.0
369.0	104.0
370.0	131.0
371.0	77.0
372.0	95.0
373.0	60.0
374.0	157.0
375.0	179.0
376.0	143.0
377.0	100.0
378.0	135.0
379.0	108.0
380.0	127.0
381.0	127.0
382.0	151.0
383.0	140.0
384.0	94.0
385.0	226.0
386.0	238.0
387.0	192.0
388.0	268.0
389.0	173.0
390.0	60.0
391.0	74.0
392.0	104.0
393.0	272.0
394.0	514.0
395.0	14.0
396.0	98.0
397.0	22.0
398.0	121.0
399.0	176.0
400.0	40.0
401.0	124.0
402.0	124.0
403.0	275.0
404.0	162.0
405.0	136.0
406.0	27.0
407.0	31.0
408.0	66.0
409.0	98.0
410.0	155.0
411.0	185.0
412.0	181.0
413.0	81.0
414.0	6.0
415.0	66.0
416.0	137.0
417.0	53.0
418.0	15.0
419.0	86.0
420.0	98.0
421.0	146.0
422.0	118.0
423.0	118.0
424.0	189.0
425.0	209.0
426.0	8.0
427.0	49.0
428.0	75.0
429.0	237.0
430.0	56.0
431.0	23.0
432.0	62.0
433.0	190.0
434.0	22.0
435.0	24.0
436.0	51.0
437.0	68.0
438.0	96.0
439.0	100.0
440.0	142.0
441.0	137.0
442.0	151.0
443.0	57.0
444.0	112.0
445.0	122.0
446.0	13.0
447.0	85.0
448.0	96.0
449.0	337.0
450.0	65.0
451.0	65.0
452.0	77.0
453.0	82.0
454.0	177.0
455.0	20.0
456.0	39.0
457.0	26.0
458.0	71.0
459.0	207.0
460.0	128.0
461.0	62.0
462.0	117.0
463.0	117.0
464.0	23.0
465.0	63.0
466.0	87.0
467.0	103.0
468.0	223.0
469.0	96.0
470.0	162.0
471.0	117.0
472.0	21.0
473.0	100.0
474.0	11.0
475.0	17.0
476.0	153.0
477.0	72.0
478.0	162.0
479.0	154.0
480.0	218.0
481.0	29.0
482.0	118.0
483.0	216.0
484.0	213.0
485.0	290.0
486.0	192.0
487.0	110.0
488.0	132.0
489.0	73.0
490.0	71.0
491.0	144.0
492.0	195.0
493.0	96.0
494.0	252.0
495.0	41.0
496.0	128.0
497.0	198.0
498.0	129.0
499.0	177.0
500.0	143.0
501.0	39.0
502.0	48.0
503.0	81.0
504.0	54.0
505.0	57.0
506.0	131.0
507.0	63.0
508.0	32.0
509.0	15.0
510.0	22.0
511.0	69.0
512.0	13.0
513.0	17.0
514.0	33.0
515.0	126.0
516.0	120.0
517.0	45.0
518.0	51.0
519.0	29.0
520.0	160.0
521.0	38.0
522.0	43.0
523.0	30.0
524.0	122.0
525.0	22.0
526.0	9.0
527.0	43.0
528.0	105.0
529.0	49.0
530.0	104.0
531.0	131.0
532.0	15.0
533.0	105.0
534.0	65.0
535.0	7.0
536.0	55.0
537.0	220.0
538.0	24.0
539.0	15.0
540.0	78.0
541.0	224.0
542.0	81.0
543.0	26.0
544.0	27.0
545.0	67.0
546.0	60.0
547.0	57.0
548.0	113.0
549.0	171.0
550.0	41.0
551.0	62.0
552.0	43.0
553.0	133.0
554.0	70.0
555.0	122.0
556.0	186.0
557.0	213.0
558.0	220.0
559.0	85.0
560.0	153.0
561.0	156.0
562.0	115.0
563.0	133.0
564.0	40.0
565.0	125.0
566.0	41.0
567.0	18.0
568.0	23.0
569.0	121.0
570.0	168.0
571.0	15.0
572.0	62.0
573.0	61.0
574.0	24.0
575.0	25.0
576.0	40.0
577.0	104.0
578.0	196.0
579.0	96.0
580.0	267.0
581.0	76.0
582.0	32.0
583.0	42.0
584.0	24.0
585.0	76.0
586.0	220.0
587.0	184.0
588.0	192.0
589.0	180.0
590.0	180.0
591.0	148.0
592.0	41.0
593.0	9.0
594.0	6.0
595.0	46.0
596.0	3.0
597.0	58.0
598.0	42.0
599.0	31.0
600.0	124.0
601.0	81.0
602.0	90.0
603.0	206.0
604.0	154.0
605.0	85.0
606.0	109.0
607.0	78.0
608.0	189.0
609.0	268.0
610.0	103.0
611.0	61.0
612.0	224.0
613.0	101.0
614.0	70.0
615.0	21.0
616.0	105.0
617.0	67.0
618.0	45.0
619.0	125.0
620.0	84.0
621.0	59.0
622.0	57.0
623.0	34.0
624.0	37.0
625.0	70.0
626.0	46.0
627.0	43.0
628.0	25.0
629.0	44.0
630.0	60.0
631.0	41.0
632.0	17.0
633.0	143.0
634.0	106.0
635.0	76.0
636.0	47.0
637.0	34.0
638.0	203.0
639.0	90.0
640.0	214.0
641.0	53.0
642.0	24.0
643.0	24.0
644.0	19.0
645.0	84.0
646.0	154.0
647.0	147.0
648.0	77.0
649.0	261.0
650.0	113.0
651.0	68.0
652.0	57.0
653.0	35.0
654.0	15.0
655.0	60.0
656.0	53.0
657.0	98.0
658.0	188.0
659.0	74.0
660.0	184.0
661.0	108.0
662.0	95.0
663.0	110.0
664.0	6.0
665.0	11.0
666.0	6.0
667.0	16.0
668.0	8.0
669.0	169.0
670.0	23.0
671.0	101.0
672.0	41.0
673.0	252.0
674.0	78.0
675.0	15.0
676.0	79.0
677.0	77.0
678.0	78.0
679.0	79.0
680.0	65.0
681.0	78.0
682.0	52.0
683.0	32.0
684.0	60.0
685.0	100.0
686.0	22.0
687.0	51.0
688.0	40.0
689.0	27.0
690.0	67.0
691.0	123.0
692.0	45.0
693.0	42.0
694.0	86.0
695.0	65.0
696.0	116.0
697.0	161.0
698.0	82.0
699.0	38.0
700.0	34.0
701.0	38.0
702.0	105.0
703.0	31.0
704.0	107.0
705.0	153.0
706.0	51.0
707.0	29.0
708.0	44.0
709.0	104.0
710.0	64.0
711.0	79.0
712.0	181.0
713.0	160.0
714.0	133.0
715.0	156.0
716.0	47.0
717.0	98.0
718.0	57.0
719.0	27.0
720.0	22.0
721.0	30.0
722.0	29.0
723.0	50.0
724.0	61.0
725.0	166.0
726.0	71.0
727.0	58.0
728.0	41.0
729.0	41.0
730.0	40.0
731.0	131.0
732.0	122.0
733.0	45.0
734.0	60.0
735.0	110.0
736.0	82.0
737.0	20.0
738.0	46.0
739.0	329.0
740.0	271.0
741.0	74.0
742.0	40.0
743.0	49.0
744.0	35.0
745.0	142.0
746.0	166.0
747.0	80.0
748.0	100.0
749.0	83.0
750.0	147.0
751.0	13.0
752.0	1.0
754.0	1.0
755.0	3.0
756.0	15.0
757.0	80.0
758.0	35.0
759.0	29.0
760.0	9.0
761.0	22.0
762.0	24.0
763.0	37.0
764.0	106.0
765.0	4.0
766.0	2.0
768.0	11.0
769.0	2.0
770.0	10.0
771.0	14.0
772.0	49.0
773.0	67.0
774.0	69.0
775.0	199.0
776.0	68.0
777.0	47.0
778.0	72.0
779.0	72.0
780.0	57.0
781.0	1.0
782.0	9.0
783.0	20.0
784.0	13.0
785.0	6.0
786.0	39.0
787.0	23.0
788.0	38.0
789.0	54.0
790.0	161.0
791.0	125.0
792.0	120.0
793.0	41.0
794.0	48.0
795.0	28.0
797.0	49.0
798.0	16.0
799.0	20.0
800.0	19.0
801.0	14.0
802.0	17.0
803.0	8.0
804.0	16.0
805.0	20.0
806.0	77.0
807.0	53.0
808.0	35.0
809.0	1.0
810.0	20.0
811.0	31.0
812.0	15.0
813.0	12.0
814.0	58.0
815.0	42.0
816.0	57.0
817.0	63.0
818.0	114.0
819.0	30.0
820.0	47.0
821.0	54.0
822.0	25.0
823.0	14.0
824.0	29.0
825.0	4.0
826.0	40.0
827.0	13.0
828.0	31.0
829.0	40.0
830.0	65.0
831.0	106.0
832.0	26.0
833.0	2.0
834.0	4.0
835.0	4.0
836.0	11.0
837.0	17.0
838.0	37.0
839.0	18.0
840.0	28.0
841.0	19.0
842.0	23.0
843.0	5.0
844.0	3.0
845.0	12.0
846.0	38.0
847.0	6.0
848.0	10.0
849.0	125.0
850.0	42.0
851.0	58.0
852.0	50.0
853.0	45.0
854.0	44.0
855.0	32.0
856.0	18.0
857.0	51.0
858.0	35.0
859.0	106.0
860.0	60.0
861.0	18.0
862.0	12.0
863.0	36.0
864.0	1.0
866.0	2.0
868.0	4.0
869.0	6.0
870.0	46.0
871.0	8.0
872.0	5.0
873.0	6.0
874.0	33.0
875.0	16.0
876.0	67.0
877.0	10.0
878.0	12.0
879.0	14.0
880.0	10.0
881.0	17.0
882.0	39.0
883.0	15.0
884.0	85.0
885.0	94.0
886.0	127.0
887.0	91.0
888.0	101.0
889.0	110.0
890.0	72.0
891.0	118.0
892.0	63.0
893.0	24.0
894.0	18.0
895.0	49.0
896.0	35.0
897.0	10.0
898.0	29.0
899.0	74.0
900.0	95.0
901.0	44.0
902.0	47.0
903.0	41.0
904.0	117.0
905.0	100.0
906.0	43.0
907.0	174.0
908.0	89.0
909.0	105.0
910.0	58.0
911.0	102.0
912.0	61.0
913.0	4.0
914.0	5.0
915.0	6.0
916.0	7.0
917.0	22.0
918.0	65.0
919.0	52.0
920.0	71.0
921.0	52.0
922.0	133.0
923.0	147.0
924.0	77.0
925.0	92.0
926.0	39.0
927.0	22.0
928.0	32.0
929.0	21.0
930.0	106.0
931.0	69.0
932.0	45.0
933.0	94.0
934.0	11.0
935.0	71.0
936.0	19.0
937.0	15.0
938.0	7.0
939.0	61.0
940.0	25.0
941.0	81.0
942.0	52.0
943.0	66.0
944.0	103.0
945.0	52.0
946.0	16.0
947.0	4.0
948.0	17.0
949.0	15.0
950.0	47.0
951.0	21.0
952.0	23.0
953.0	36.0
954.0	32.0
955.0	43.0
956.0	111.0
957.0	13.0
958.0	6.0
959.0	16.0
960.0	6.0
961.0	5.0
962.0	1.0
963.0	1.0
964.0	4.0
965.0	3.0
966.0	9.0
967.0	40.0
968.0	4.0
970.0	3.0
971.0	4.0
972.0	7.0
973.0	3.0
974.0	4.0
975.0	7.0
976.0	7.0
977.0	13.0
978.0	44.0
979.0	31.0
980.0	67.0
981.0	119.0
982.0	41.0
983.0	48.0
984.0	17.0
985.0	89.0
986.0	7.0
987.0	6.0
988.0	7.0
989.0	36.0
990.0	48.0
991.0	27.0
992.0	100.0
993.0	219.0
994.0	130.0
995.0	77.0
996.0	99.0
997.0	61.0
998.0	54.0
999.0	155.0
1000.0	93.0
1001.0	85.0
1002.0	61.0
1003.0	59.0
1004.0	88.0
1005.0	93.0
1006.0	68.0
1007.0	65.0
1008.0	9.0
1009.0	22.0
1010.0	4.0
1011.0	15.0
1012.0	21.0
1013.0	17.0
1014.0	16.0
1015.0	16.0
1016.0	16.0
1017.0	2.0
1018.0	9.0
1019.0	14.0
1020.0	7.0
1021.0	12.0
1022.0	10.0
1023.0	9.0
1024.0	10.0
1025.0	11.0
1026.0	49.0
1027.0	46.0
1028.0	10.0
1029.0	49.0
1030.0	47.0
1031.0	66.0
1032.0	74.0
1033.0	94.0
1034.0	28.0
1035.0	48.0
1036.0	59.0
1037.0	9.0
1038.0	32.0
1039.0	28.0
1040.0	61.0
1041.0	134.0
1042.0	47.0
1043.0	59.0
1044.0	52.0
1045.0	9.0
1046.0	4.0
1047.0	3.0
1048.0	1.0
1049.0	3.0
1050.0	2.0
1051.0	5.0
1052.0	5.0
1053.0	9.0
1054.0	10.0
1055.0	7.0
1056.0	9.0
1057.0	8.0
1058.0	37.0
1059.0	37.0
1060.0	141.0
1061.0	78.0
1062.0	15.0
1063.0	5.0
1064.0	4.0
1065.0	9.0
1066.0	11.0
1067.0	29.0
1068.0	9.0
1069.0	17.0
1070.0	35.0
1071.0	13.0
1072.0	17.0
1073.0	19.0
1074.0	20.0
1075.0	52.0
1076.0	33.0
1077.0	86.0
1078.0	48.0
1079.0	126.0
1080.0	188.0
1081.0	302.0
1082.0	125.0
1083.0	99.0
1084.0	37.0
1085.0	46.0
1086.0	132.0
1087.0	65.0
1088.0	19.0
1089.0	47.0
1090.0	34.0
1091.0	23.0
1092.0	77.0
1093.0	49.0
1094.0	133.0
1095.0	75.0
1096.0	24.0
1097.0	29.0
1098.0	41.0
1099.0	76.0
1100.0	140.0
1101.0	56.0
1102.0	43.0
1103.0	79.0
1104.0	2.0
1105.0	10.0
1106.0	10.0
1107.0	12.0
1108.0	29.0
1109.0	31.0
1110.0	2.0
1111.0	1.0
1112.0	2.0
1113.0	8.0
1114.0	8.0
1115.0	2.0
1116.0	15.0
1117.0	2.0
1118.0	20.0
1119.0	36.0
1120.0	14.0
1121.0	34.0
1122.0	42.0
1123.0	46.0
1124.0	40.0
1125.0	90.0
1126.0	29.0
1127.0	12.0
1128.0	2.0
1130.0	2.0
1131.0	2.0
1132.0	3.0
1133.0	8.0
1134.0	26.0
1135.0	22.0
1136.0	4.0
1137.0	16.0
1138.0	14.0
1139.0	82.0
1140.0	158.0
1141.0	32.0
1142.0	15.0
1143.0	5.0
1144.0	8.0
1145.0	53.0
1146.0	56.0
1147.0	49.0
1148.0	2.0
1149.0	33.0
1150.0	3.0
1151.0	1.0
1152.0	3.0
1153.0	2.0
1154.0	8.0
1155.0	23.0
