#Mapping quality	mapping quality
0.0	25165.0
1.0	660.0
2.0	520.0
3.0	3239.0
4.0	372.0
5.0	1371.0
6.0	919.0
7.0	552.0
8.0	402.0
9.0	389.0
10.0	93.0
11.0	363.0
12.0	213.0
13.0	412.0
14.0	240.0
15.0	380.0
16.0	551.0
17.0	650.0
18.0	230.0
19.0	26.0
20.0	124.0
21.0	179.0
22.0	66.0
24.0	30.0
25.0	34.0
26.0	5.0
27.0	1070.0
28.0	59.0
29.0	64.0
30.0	93.0
31.0	76.0
33.0	36.0
34.0	148.0
37.0	31.0
38.0	15.0
39.0	23.0
40.0	276.0
41.0	249.0
42.0	1001.0
43.0	176.0
44.0	491.0
45.0	1534.0
46.0	180.0
47.0	86.0
48.0	3.0
49.0	71.0
50.0	208.0
51.0	99.0
52.0	77.0
53.0	437.0
54.0	245.0
55.0	284.0
56.0	571.0
57.0	718.0
58.0	1120.0
59.0	34843.0
60.0	137189.0
